gene_id	TCGA-BH-A1FC-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FC-11A-32R-A13Q-07
?|100133144	21.9287	removed	removed
removed	removed	?|100134869	5.4201
?|10357	101.2784	?|10357	63.9053
?|10431	976.5355	?|10431	937.8698
?|155060	70.6142	?|155060	242.6036
?|57714	509.8933	?|57714	231.9527
?|645851	10.5921	?|645851	14.7929
?|652919	11.8249	removed	removed
?|653553	107.9809	?|653553	172.1893
?|8225	353.071	?|8225	360.355
removed	removed	?|90288	23.6686
A1BG	27.1865	A1BG	77.8107
A2LD1	60.2898	A2LD1	108.6982
A2ML1	45.8992	removed	removed
A2M	4642.2626	A2M	39712.9053
A4GALT	213.3137	A4GALT	524.2604
AAAS	622.5818	AAAS	586.3905
AACS	211.2541	AACS	812.426
removed	removed	AADACL3	11.2426
removed	removed	AADAC	6.5089
AADAT	416.918	AADAT	65.6805
AAGAB	1064.8032	AAGAB	1413.6095
AAK1	698.7863	AAK1	1075.1479
AAMP	2179.6249	AAMP	1847.929
AARS2	522.5362	AARS2	289.3491
AARSD1	503.7146	AARSD1	400
AARS	5074.5127	AARS	2373.9645
AASDHPPT	550.7907	AASDHPPT	827.2189
AASDH	442.2214	AASDH	354.4379
AASS	144.4649	AASS	599.4083
AATF	1866.2744	AATF	752.071
AATK	18.5362	AATK	43.787
ABAT	85.3255	ABAT	780.4734
removed	removed	ABCA10	428.4024
ABCA11P	38.0081	ABCA11P	124.2663
removed	removed	ABCA12	21.8935
ABCA13	537.5506	removed	removed
ABCA17P	5.5903	removed	removed
ABCA1	826.4715	ABCA1	1088.1657
ABCA2	295.4027	ABCA2	1104.142
ABCA3	2346.4509	ABCA3	776.3314
removed	removed	ABCA4	87.574
ABCA5	114.7481	ABCA5	794.6746
ABCA6	12.6517	ABCA6	514.2012
ABCA7	120.0441	ABCA7	256.213
removed	removed	ABCA8	1679.2899
removed	removed	ABCA9	671.0059
ABCB10	368.9592	ABCB10	439.0533
ABCB1	75.616	ABCB1	447.929
ABCB4	13.5344	ABCB4	16.568
removed	removed	ABCB5	52.071
ABCB6	895.3086	ABCB6	396.9645
ABCB7	794.9982	ABCB7	446.7456
ABCB8	560.7944	ABCB8	400
ABCB9	313.7742	ABCB9	112.1893
ABCC10	434.2773	ABCC10	278.1065
ABCC11	1213.6815	ABCC11	1497.6331
removed	removed	ABCC12	30.1775
ABCC1	1619.4189	ABCC1	831.9527
ABCC2	12.3575	ABCC2	9.4675
ABCC3	136.815	ABCC3	477.5148
ABCC4	485.1784	ABCC4	188.7574
ABCC5	783.5234	ABCC5	385.2071
removed	removed	ABCC6P1	23.6686
ABCC6P2	6.473	ABCC6P2	26.0355
ABCC6	8.5325	ABCC6	220.7101
removed	removed	ABCC8	29.5858
ABCC9	76.2045	ABCC9	815.3846
ABCD1	786.1714	ABCD1	229.5858
ABCD2	28.8341	ABCD2	165.0888
ABCD3	887.0908	ABCD3	1742.0118
ABCD4	273.63	ABCD4	725.4438
ABCE1	2886.6495	ABCE1	1610.6509
ABCF1	3979.9926	ABCF1	1468.6391
ABCF2	2065.4652	ABCF2	1260.355
ABCF3	950.0552	ABCF3	771.0059
ABCG1	576.6826	ABCG1	528.4024
ABCG2	7.9441	ABCG2	113.0178
removed	removed	ABCG4	6.5089
ABHD10	811.1806	ABHD10	730.1775
ABHD11	601.986	ABHD11	519.5266
ABHD12	1144.2442	ABHD12	842.0118
ABHD13	330.4156	ABHD13	634.3195
ABHD14A	95.0349	ABHD14A	301.1834
ABHD14B	1132.4752	ABHD14B	2645.5621
ABHD15	229.2019	ABHD15	498.8166
removed	removed	ABHD1	11.2426
ABHD2	1306.6569	ABHD2	2478.6982
ABHD3	495.1821	ABHD3	444.9704
ABHD4	408.9739	ABHD4	1034.3195
ABHD5	1302.2435	ABHD5	936.6864
ABHD6	107.9809	ABHD6	375.7396
ABHD8	90.9158	ABHD8	208.8757
ABI1	2076.078	ABI1	1541.4201
ABI2	1208.0912	ABI2	1382.2485
ABI3BP	10.5921	ABI3BP	1256.213
ABI3	201.8389	ABI3	285.7988
ABL1	4212.431	ABL1	2947.929
ABL2	3885.5462	ABL2	1045.5621
ABLIM1	1104.8179	ABLIM1	5365.6805
ABLIM2	188.0103	ABLIM2	138.4615
ABLIM3	140.6399	ABLIM3	2334.3195
removed	removed	ABO	11.8343
ABP1	20.0074	ABP1	8.8757
ABR	1619.7131	ABR	1891.716
ABT1	1068.0397	ABT1	570.4142
