gene_id	TCGA-BH-A1FD-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FD-11B-21R-A13Q-07
?|100133144	13.4107	removed	removed
?|100134869	8.051	removed	removed
?|10357	129.5534	?|10357	136.0807
?|10431	1611.6589	?|10431	842.6813
?|155060	196.3457	?|155060	134.0629
removed	removed	?|390284	5.814
removed	removed	?|553137	6.156
?|57714	3280.4524	?|57714	316.3475
removed	removed	?|645851	8.8919
?|652919	7.2506	?|652919	32.5068
?|653553	363.6891	?|653553	144.3228
removed	removed	?|729884	6.8399
?|8225	265.6613	?|8225	263.3379
?|90288	48.4339	?|90288	22.2298
A1BG	48.4977	A1BG	40.7627
removed	removed	A2BP1	6.4979
A2LD1	20.7889	A2LD1	101.4877
A2M	6471.8503	A2M	33808.9979
A4GALT	156.0325	A4GALT	287.9617
AAAS	926.3341	AAAS	577.9754
AACS	3469.8376	AACS	661.7647
AADAT	12.761	AADAT	89.6033
AAGAB	3169.3735	AAGAB	1416.5527
AAK1	1251.4501	AAK1	1130.985
AAMP	3154.8724	AAMP	1226.7442
AARS2	365.1363	AARS2	224.3228
AARSD1	318.7355	AARSD1	363.5431
AARS	2877.6102	AARS	2155.9508
AASDHPPT	656.0325	AASDHPPT	1002.052
AASDH	231.7285	AASDH	483.2421
AASS	147.6218	AASS	880.985
AATF	667.9234	AATF	817.0315
AATK	37.993	AATK	35.9097
ABAT	4626.7401	ABAT	524.9658
removed	removed	ABCA10	191.8605
ABCA11P	214.6027	ABCA11P	160.855
ABCA12	259.8608	ABCA12	75.5814
removed	removed	ABCA13	8.2079
ABCA1	846.8677	ABCA1	3142.1546
ABCA2	749.71	ABCA2	926.8126
ABCA3	2233.4687	ABCA3	736.6621
ABCA4	20.5916	ABCA4	64.2955
ABCA5	288.5731	ABCA5	1002.736
ABCA6	42.6334	ABCA6	519.1518
ABCA7	131.3805	ABCA7	250
removed	removed	ABCA8	1708.6183
ABCA9	23.7819	ABCA9	1255.472
ABCB10	457.3666	ABCB10	484.9521
removed	removed	ABCB11	6.4979
ABCB1	8.4107	ABCB1	441.5185
ABCB4	22.0418	ABCB4	28.7278
removed	removed	ABCB5	216.1423
ABCB6	663.2715	ABCB6	401.9186
ABCB7	553.9443	ABCB7	600.2052
ABCB8	819.3155	ABCB8	271.8878
ABCB9	424.8405	ABCB9	80.9884
ABCC10	247.9698	ABCC10	237.6881
ABCC11	98.0278	ABCC11	131.6689
ABCC1	1212.877	ABCC1	1041.7237
removed	removed	ABCC2	10.2599
ABCC3	139.7912	ABCC3	594.0492
ABCC4	91.9374	ABCC4	151.1628
ABCC5	871.8097	ABCC5	592.6813
removed	removed	ABCC6P1	12.3119
ABCC6P2	35.3828	ABCC6P2	22.9138
ABCC6	26.6821	ABCC6	214.4323
ABCC8	200.116	ABCC8	43.7756
ABCC9	191.9954	ABCC9	1110.8071
ABCD1	410.3828	ABCD1	320.7934
removed	removed	ABCD2	666.8947
ABCD3	3986.6589	ABCD3	1911.7647
ABCD4	169.6636	ABCD4	614.9111
ABCE1	1766.8213	ABCE1	1604.9932
ABCF1	2488.3991	ABCF1	1102.5992
ABCF2	2693.7355	ABCF2	956.5663
ABCF3	1713.1671	ABCF3	683.9945
ABCG1	1490.4292	ABCG1	481.8741
ABCG2	23.7819	ABCG2	205.8824
ABHD10	785.9629	ABHD10	702.1204
ABHD11	1304.5244	ABHD11	357.0451
ABHD12B	83.2367	ABHD12B	7.8659
ABHD12	693.4455	ABHD12	718.8782
ABHD13	289.4432	ABHD13	743.1601
ABHD14A	204.7564	ABHD14A	301.1594
ABHD14B	1428.0742	ABHD14B	3546.1696
ABHD15	162.413	ABHD15	969.2202
ABHD1	12.471	ABHD1	34.5417
ABHD2	9044.6636	ABHD2	2459.3023
ABHD3	677.2042	ABHD3	406.6347
ABHD4	1166.7633	ABHD4	1212.3803
ABHD5	1029.2923	ABHD5	1613.8851
ABHD6	154.8724	ABHD6	351.9152
ABHD8	249.42	ABHD8	125.171
ABI1	1829.0052	ABI1	1524.2818
ABI2	1615.7193	ABI2	1361.4911
ABI3BP	141.2413	ABI3BP	951.7784
ABI3	91.6473	ABI3	162.4487
ABL1	1173.1439	ABL1	1916.8947
ABL2	1057.4246	ABL2	819.4254
ABLIM1	4093.3875	ABLIM1	6559.1655
ABLIM2	110.4988	ABLIM2	67.3735
ABLIM3	1469.8376	ABLIM3	2356.7031
ABO	6.6705	ABO	21.2038
removed	removed	ABP1	9.9179
removed	removed	ABRA	7.1819
ABR	861.3689	ABR	1641.2449
ABT1	745.0696	ABT1	480.5062
ABTB1	118.9095	ABTB1	517.7839
ABTB2	148.2019	ABTB2	92.6813
ACAA1	1074.536	ACAA1	974.3502
ACAA2	609.3387	ACAA2	2977.7702
ACACA	1297.8538	ACACA	1925.7866
ACACB	291.7633	ACACB	9767.7839
ACAD10	370.6497	ACAD10	475.3762
ACAD11	262.7291	ACAD11	752.3906
ACAD8	328.3063	ACAD8	511.9699
ACAD9	738.109	ACAD9	933.6525
removed	removed	ACADL	424.4186
ACADM	1174.3039	ACADM	1921.3406
ACADSB	1924.884	ACADSB	2695.9644
ACADS	58.5847	ACADS	909.7127
ACADVL	1473.3092	ACADVL	4657.6607
ACAN	49.3039	ACAN	5.13
ACAP1	15.9513	ACAP1	26.3338
ACAP2	1025.232	ACAP2	1717.1683
ACAP3	624.7709	ACAP3	233.6047
ACAT1	1121.8097	ACAT1	2639.1929
ACAT2	785.0667	ACAT2	280.6464
ACBD3	3626.1601	ACBD3	1630.643
ACBD4	88.7471	ACBD4	179.5486
ACBD5	1500	ACBD5	997.264
ACBD6	437.935	ACBD6	322.8454
ACBD7	130.5104	ACBD7	25.9918
ACCN1	28.1323	removed	removed
ACCN2	357.3086	ACCN2	50.6156
ACCN3	16.5313	ACCN3	7.1819
ACCS	69.0255	ACCS	296.8536
ACD	248.2599	ACD	288.3037
removed	removed	ACE2	20.8618
ACER2	92.2274	ACER2	309.8495
ACER3	1183.2947	ACER3	655.9508
ACE	280.4524	ACE	576.2654
ACHE	9.5708	ACHE	8.5499
ACIN1	2925.174	ACIN1	2375.171
ACLY	4048.1439	ACLY	2664.1587
ACN9	12.181	ACN9	194.2544
ACO1	740.4292	ACO1	6674.7606
ACO2	2176.482	ACO2	3019.1518
ACOT11	21.7517	ACOT11	39.4289
ACOT13	612.4507	ACOT13	774.6922
ACOT1	306.5545	ACOT1	1260.6019
ACOT2	200.406	ACOT2	675.4446
ACOT4	150.522	ACOT4	243.1601
ACOT6	5.8005	ACOT6	12.3119
ACOT7	641.8213	ACOT7	203.8304
ACOT8	353.46	ACOT8	168.8714
ACOT9	582.6566	ACOT9	551.2996
ACOX1	1580.7657	ACOX1	3244.4425
ACOX2	203.3063	ACOX2	451.4364
ACOX3	470.9977	ACOX3	555.7456
ACP1	2400.522	ACP1	1411.0807
ACP2	1081.2065	ACP2	871.067
ACP5	555.9745	ACP5	596.4432
ACP6	323.9559	ACP6	301.2996
ACPL2	619.1995	ACPL2	330.0274
ACPP	9.2807	ACPP	30.0958
ACRBP	15.6613	ACRBP	19.4938
ACRC	29.2923	ACRC	37.9617
removed	removed	ACR	6.4979
removed	removed	ACSBG1	17.0999
ACSF2	184.1647	ACSF2	897.4008
ACSF3	181.8445	ACSF3	196.9904
ACSL1	1811.1949	ACSL1	24246.58
ACSL3	2893.2715	ACSL3	2485.6361
ACSL4	799.594	ACSL4	2063.6115
ACSL5	156.3225	ACSL5	909.7127
ACSL6	8.1206	ACSL6	7.8659
ACSM1	9.8608	ACSM1	9.2339
ACSM3	8.4629	ACSM3	68.2182
ACSM5	6.3805	ACSM5	1008.5499
ACSS1	132.5406	ACSS1	573.1874
ACSS2	594.5476	ACSS2	3731.5321
ACSS3	72.7958	ACSS3	1214.4323
ACTA2	4345.1856	ACTA2	12935.6053
ACTB	94236.949	ACTB	78431.6005
ACTG1	64133.7007	ACTG1	45546.8536
ACTG2	51.6241	ACTG2	1680.9166
ACTL6A	1614.5592	ACTL6A	733.9261
ACTL8	7.2506	removed	removed
ACTN1	5187.065	ACTN1	6059.8495
ACTN4	7342.674	ACTN4	7795.7661
ACTR10	578.8863	ACTR10	1310.1915
ACTR1A	2073.6659	ACTR1A	2751.71
ACTR1B	684.4548	ACTR1B	993.844
ACTR2	6991.0093	ACTR2	5662.4487
ACTR3B	149.0719	ACTR3B	119.015
ACTR3C	54.5244	ACTR3C	31.8057
ACTR3	6002.9002	ACTR3	2792.7497
ACTR5	224.768	ACTR5	168.9466
ACTR6	990.4292	ACTR6	663.8167
ACTR8	592.5174	ACTR8	516.4159
ACVR1B	1613.109	ACVR1B	1226.4022
removed	removed	ACVR1C	2268.4679
ACVR1	813.5151	ACVR1	1254.788
ACVR2A	205.0464	ACVR2A	569.0834
ACVR2B	275.522	ACVR2B	399.1108
ACVRL1	265.9513	ACVRL1	854.6512
ACY1	1223.3179	ACY1	585.9815
ACYP1	65.8353	ACYP1	46.1696
ACYP2	147.0418	ACYP2	206.2244
ADAL	291.7633	ADAL	261.2859
ADAM10	1001.4501	ADAM10	1743.1601
removed	removed	ADAM11	8.8919
ADAM12	1672.5638	ADAM12	579.3434
ADAM15	4587.326	ADAM15	2451.8023
ADAM17	933.2947	ADAM17	732.2161
ADAM19	211.1369	ADAM19	70.1094
ADAM21	13.9211	removed	removed
ADAM22	67.5754	ADAM22	78.6594
ADAM23	14.7912	ADAM23	21.5458
ADAM28	322.5058	ADAM28	82.7633
ADAM32	7.8306	ADAM32	58.1395
ADAM33	49.884	ADAM33	330.3694
ADAM6	1664.8202	ADAM6	32490.5301
ADAM8	583.5267	ADAM8	42.4077
ADAM9	4693.1555	ADAM9	2268.1259
ADAMDEC1	214.3271	ADAMDEC1	61.5595
ADAMTS10	38.2831	ADAMTS10	75.5814
ADAMTS12	276.6821	ADAMTS12	285.5677
ADAMTS13	16.8213	ADAMTS13	25.3078
ADAMTS14	89.0371	removed	removed
ADAMTS15	115.7193	ADAMTS15	245.212
ADAMTS16	194.8956	ADAMTS16	12.3119
ADAMTS17	58.0046	ADAMTS17	38.9877
removed	removed	ADAMTS18	60.1915
ADAMTS19	5.5104	removed	removed
ADAMTS1	329.1763	ADAMTS1	5910.3967
ADAMTS2	513.6311	ADAMTS2	362.1751
ADAMTS3	17.4014	ADAMTS3	100.8892
ADAMTS4	524.652	ADAMTS4	118.3311
ADAMTS5	329.7564	ADAMTS5	2411.7647
ADAMTS6	51.9142	ADAMTS6	37.9617
ADAMTS7	201.2761	ADAMTS7	51.9836
removed	removed	ADAMTS8	27.7018
ADAMTS9	109.0487	ADAMTS9	626.539
ADAMTSL1	86.1369	ADAMTSL1	82.4213
ADAMTSL2	220.9977	ADAMTSL2	15.0479
ADAMTSL3	89.9072	ADAMTSL3	202.1204
ADAMTSL4	126.1601	ADAMTSL4	656.2927
ADAMTSL5	16.2413	ADAMTSL5	33.1737
ADAP1	184.4954	ADAP1	55.4583
ADAP2	247.0998	ADAP2	247.264
ADARB1	409.2227	ADARB1	804.7196
ADAR	13263.6311	ADAR	6719.9042
ADAT1	171.4037	ADAT1	229.8222
ADAT2	147.9118	ADAT2	133.7209
ADAT3	16.8213	ADAT3	18.8098
ADA	151.1021	ADA	78.3174
ADCK1	82.0766	ADCK1	166.2107
ADCK2	869.4896	ADCK2	568.7415
ADCK4	601.5081	ADCK4	301.2996
ADCK5	31.3225	ADCK5	34.8837
ADCY1	162.413	ADCY1	285.2257
ADCY2	103.8283	ADCY2	89.9453
ADCY3	1115.9774	ADCY3	1133.7688
ADCY4	39.7332	ADCY4	652.1888
removed	removed	ADCY5	632.3529
ADCY6	1670.5336	ADCY6	2943.5705
ADCY7	601.5081	ADCY7	341.3133
ADCY9	1183.8747	ADCY9	632.3529
removed	removed	ADCYAP1R1	23.5978
removed	removed	ADCYAP1	64.2955
ADC	148.7819	ADC	72.1614
ADD1	3718.6775	ADD1	6764.3639
ADD2	12.761	ADD2	60.8755
ADD3	622.6798	ADD3	2280.7798
removed	removed	ADH1A	349.4836
ADH1B	8.4107	ADH1B	45116.6211
removed	removed	ADH1C	170.3146
removed	removed	ADH4	20.8618
ADH5	1189.6752	ADH5	4726.4022
ADHFE1	9.2807	ADHFE1	455.8824
ADI1	1739.8492	ADI1	1949.0424
ADIPOQ	12.471	ADIPOQ	61565.6635
ADIPOR1	3143.2715	ADIPOR1	2704.5144
ADIPOR2	2748.2599	ADIPOR2	4492.8181
ADK	641.2413	ADK	559.5075
ADM2	419.3735	ADM2	29.7538
ADM	273.2019	ADM	1068.3995
ADNP2	1631.0905	ADNP2	906.2927
ADNP	4665.0232	ADNP	2987.6881
ADORA1	199.536	ADORA1	136.7989
ADORA2A	61.1949	ADORA2A	62.2435
ADORA2B	38.8631	ADORA2B	28.7278
ADORA3	331.4965	ADORA3	141.2449
ADO	753.4803	ADO	727.4282
ADPGK	931.424	ADPGK	865.9473
ADPRHL1	43.5035	ADPRHL1	69.0834
ADPRHL2	1189.0951	ADPRHL2	392.9549
ADPRH	372.0998	ADPRH	545.4856
removed	removed	ADRA1A	55.4036
removed	removed	ADRA1B	42.7497
removed	removed	ADRA1D	8.2079
ADRA2A	258.4107	ADRA2A	2905.6088
removed	removed	ADRA2B	49.2476
ADRA2C	5.2204	ADRA2C	90.6293
