gene_id	TCGA-BH-A1FE-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FE-11B-14R-A13Q-07
?|100133144	17.8035	?|100133144	26.598
?|100134869	8.3227	?|100134869	17.4118
?|10357	109.2667	?|10357	98.8124
?|10431	918.1873	?|10431	618.2326
?|155060	123.0894	?|155060	202.2354
?|390284	5.9255	removed	removed
?|553137	30.1663	removed	removed
?|57714	1685.5431	?|57714	656.6539
?|645851	13.4671	?|645851	20.2585
?|652919	102.1211	?|652919	110.0314
?|653553	155.9491	?|653553	53.4404
?|729884	12.6591	removed	removed
?|8225	189.0782	?|8225	227.0346
?|90288	52.2524	?|90288	6.6364
A1BG	57.8762	A1BG	55.4104
A2LD1	43.4422	A2LD1	73.5592
A2ML1	15.6218	A2ML1	7.6842
A2M	26597.2231	A2M	22454.628
A4GALT	201.7373	A4GALT	81.0339
AAAS	627.5672	AAAS	532.6581
AACS	1112.6523	AACS	951.4495
removed	removed	AADAC	60.4261
AADAT	56.0232	AADAT	147.0486
AAGAB	2000.9427	AAGAB	853.65
AAK1	1560.8377	AAK1	1342.2983
AAMP	1396.8083	AAMP	639.8882
AARS2	230.8208	AARS2	227.3664
AARSD1	291.6975	AARSD1	242.7524
AARS	1955.6932	AARS	1358.3654
AASDHPPT	1072.7897	AASDHPPT	1382.8152
AASDH	586.8965	AASDH	865.1764
AASS	232.7116	AASS	1039.4691
AATF	1048.5489	AATF	555.0122
AATK	7.8109	AATK	12.9235
ABAT	745.8084	ABAT	334.2648
ABCA10	71.9143	ABCA10	587.1463
ABCA11P	223.6321	ABCA11P	179.979
ABCA12	323.4799	ABCA12	10.8278
removed	removed	ABCA13	135.8715
removed	removed	ABCA17P	9.4307
ABCA1	1119.6418	ABCA1	1640.5274
ABCA2	1127.1968	ABCA2	861.6835
ABCA3	1007.6089	ABCA3	877.052
ABCA4	42.2867	ABCA4	114.5651
ABCA5	378.4257	ABCA5	2073.3496
ABCA6	386.506	ABCA6	749.9127
ABCA7	190.1555	ABCA7	114.5651
ABCA8	330.2135	ABCA8	689.8358
ABCA9	281.1932	ABCA9	914.4254
ABCB10	444.4145	ABCB10	634.9983
ABCB1	436.0649	ABCB1	631.1561
ABCB4	44.9801	ABCB4	12.2249
ABCB5	49.8283	ABCB5	146.35
ABCB6	470.4653	ABCB6	336.2173
ABCB7	503.4004	ABCB7	749.9127
ABCB8	401.3198	ABCB8	134.4743
ABCB9	238.2681	ABCB9	86.3116
ABCC10	321.3252	ABCC10	309.1163
ABCC11	759.2755	ABCC11	136.2207
ABCC13	93.4617	removed	removed
ABCC1	1717.0561	ABCC1	750.6112
ABCC2	11.8511	ABCC2	18.8613
ABCC3	205.508	ABCC3	209.2211
ABCC4	375.1936	ABCC4	163.4649
ABCC5	2439.1623	ABCC5	1395.3895
ABCC6P2	7.2722	ABCC6P2	9.4307
ABCC6	13.7364	ABCC6	24.7992
ABCC8	80.8026	ABCC8	94.3067
ABCC9	397.549	ABCC9	581.2085
ABCD1	170.7629	ABCD1	93.2588
ABCD2	68.1436	ABCD2	163.1156
ABCD3	3309.4068	ABCD3	2023.0527
ABCD4	280.1158	ABCD4	409.3608
ABCE1	2602.9224	ABCE1	3555.0122
ABCF1	1559.7603	ABCF1	988.4736
ABCF2	1332.7049	ABCF2	870.4156
ABCF3	731.2639	ABCF3	425.4279
ABCG1	1105.6495	ABCG1	463.1505
ABCG2	180.1899	ABCG2	211.6661
ABHD10	580.4323	ABHD10	948.306
ABHD11	680.6276	ABHD11	354.1739
ABHD12	1084.6408	ABHD12	489.6961
ABHD13	492.3574	ABHD13	1072.3018
ABHD14A	111.777	ABHD14A	119.4551
ABHD14B	1006.2622	ABHD14B	2518.6867
ABHD15	296.2763	ABHD15	315.7527
ABHD1	5.1175	ABHD1	31.0863
ABHD2	9210.4235	ABHD2	3493.8875
ABHD3	407.2453	ABHD3	325.8819
ABHD4	710.5245	ABHD4	741.1806
ABHD5	908.2217	ABHD5	1637.094
ABHD6	101.8113	ABHD6	163.8142
ABHD8	164.8374	ABHD8	104.4359
ABI1	2027.4783	ABI1	2223.2134
ABI2	1910.9824	ABI2	3293.7478
ABI3BP	1881.8935	ABI3BP	1110.0244
ABI3	148.9462	ABI3	97.1009
ABL1	2675.6447	ABL1	1747.1184
ABL2	1952.1918	ABL2	1476.4233
ABLIM1	5446.0979	ABLIM1	7758.9941
ABLIM2	57.9086	ABLIM2	22.7035
ABLIM3	694.0947	ABLIM3	833.7408
ABO	5.1175	ABO	17.1149
ABP1	36.6305	removed	removed
ABR	1246.246	ABR	1410.4087
ABT1	453.3028	ABT1	515.5431
ABTB1	164.0294	ABTB1	259.518
ABTB2	58.4472	ABTB2	120.8523
ACAA1	527.1026	ACAA1	326.2312
ACAA2	968.0156	ACAA2	1412.5044
ACACA	4912.2618	ACACA	1966.1195
ACACB	443.3371	ACACB	1929.4446
ACAD10	669.0459	ACAD10	572.1271
ACAD11	352.5581	ACAD11	570.723
ACAD8	342.0645	ACAD8	489.3468
ACAD9	644.6408	ACAD9	592.0363
ACADL	6.1949	ACADL	127.1394
ACADM	963.9755	ACADM	1660.8453
ACADSB	1488.654	ACADSB	2928.0475
ACADS	146.5221	ACADS	172.8956
ACADVL	1307.3867	ACADVL	3290.2515
ACAN	41.4787	ACAN	5.5885
ACAP1	193.3877	ACAP1	75.4453
ACAP2	1918.524	ACAP2	2525.6724
ACAP3	234.3303	ACAP3	212.3961
ACAT1	693.0173	ACAT1	1201.5368
ACAT2	525.2252	ACAT2	276.109
ACBD3	1775.7727	ACBD3	2020.6078
ACBD4	117.7025	ACBD4	153.3357
ACBD5	955.6259	ACBD5	853.9993
ACBD6	254.5283	ACBD6	259.8673
ACBD7	9.6963	ACBD7	292.0014
ACCN2	41.2093	ACCN2	279.0779
removed	removed	ACCN3	11.8757
ACCS	82.688	ACCS	406.2173
ACD	225.4394	ACD	290.255
ACE2	5.3868	ACE2	44.7083
ACER2	272.3049	ACER2	217.2546
ACER3	499.3603	ACER3	615.0891
ACE	348.2594	ACE	225.2882
ACHE	17.5072	ACHE	8.3828
ACIN1	2575.7188	ACIN1	3214.1111
ACLY	6121.8773	ACLY	1946.5596
ACN9	99.9259	ACN9	201.1876
ACO1	1011.9184	ACO1	1251.8337
ACO2	2082.8604	ACO2	982.7838
ACOT11	14.6845	ACOT11	18.5121
ACOT13	925.8313	ACOT13	493.8142
ACOT1	646.1518	ACOT1	305.9728
ACOT2	445.4919	ACOT2	209.2211
ACOT4	260.4538	ACOT4	59.029
ACOT6	8.8883	removed	removed
ACOT7	329.1361	ACOT7	78.2396
ACOT8	267.3975	ACOT8	175.3231
ACOT9	455.4575	ACOT9	329.3748
ACOX1	1566.7632	ACOX1	1822.5637
ACOX2	111.777	ACOX2	208.8718
ACOX3	786.2097	ACOX3	549.0744
ACP1	1650.2592	ACP1	1939.9232
ACP2	933.8092	ACP2	461.0548
ACP5	680.3582	ACP5	298.6378
ACP6	289.0041	ACP6	330.7719
ACPL2	964.2448	ACPL2	557.4572
ACPP	50.0976	ACPP	33.5313
ACRBP	20.47	ACRBP	16.4163
ACRC	17.5072	ACRC	31.4356
removed	removed	ACR	5.2393
ACSBG1	5.9255	ACSBG1	19.2106
ACSF2	455.9962	ACSF2	387.3559
ACSF3	171.0323	ACSF3	175.3406
ACSL1	3872.6012	ACSL1	2853.3007
ACSL3	5067.6722	ACSL3	5193.8526
ACSL4	1683.927	ACSL4	1926.9997
ACSL5	675.2407	ACSL5	1076.8425
ACSL6	14.2751	ACSL6	13.2728
ACSM1	27.2036	ACSM1	38.072
ACSM3	80.3986	ACSM3	186.357
ACSM5	15.3525	ACSM5	114.2159
ACSS1	996.2965	ACSS1	736.2906
ACSS2	675.5101	ACSS2	1289.2071
ACSS3	165.1067	ACSS3	393.643
ACTA2	8173.6934	ACTA2	31733.926
removed	removed	ACTBL2	9.78
ACTB	101416.7396	ACTB	76003.1436
ACTG1	70568.9853	ACTG1	52422.6336
ACTG2	882.9035	ACTG2	3788.6832
ACTL6A	1355.8683	ACTL6A	1016.0671
ACTN1	5550.6027	ACTN1	5269.6472
ACTN4	5977.7389	ACTN4	5223.147
ACTR10	1212.3089	ACTR10	1463.4998
ACTR1A	3001.01	ACTR1A	1371.6381
ACTR1B	750.3872	ACTR1B	615.4384
ACTR2	10485.2199	ACTR2	6184.0727
ACTR3B	229.7488	ACTR3B	361.5089
ACTR3C	53.3297	ACTR3C	53.7897
ACTR3	5973.2005	ACTR3	3969.263
ACTR5	235.6744	ACTR5	198.3933
ACTR6	681.7049	ACTR6	1104.4359
ACTR8	532.2201	ACTR8	567.2372
ACVR1B	1219.3118	ACVR1B	1158.5749
ACVR1C	16.6992	ACVR1C	1256.7237
ACVR1	1619.5542	ACVR1	1482.3612
ACVR2A	390.8154	ACVR2A	1315.7527
ACVR2B	404.5519	ACVR2B	569.6822
ACVRL1	502.5924	ACVRL1	348.9347
ACY1	388.6607	ACY1	352.4275
ACY3	6.1949	ACY3	16.7656
ACYP1	66.2582	ACYP1	63.2204
ACYP2	58.9859	ACYP2	185.8191
ADAL	285.772	ADAL	261.963
ADAM10	2785.5363	ADAM10	2884.0377
removed	removed	ADAM11	20.957
ADAM12	7088.0075	ADAM12	687.7401
ADAM15	2250.9003	ADAM15	1217.6109
ADAM17	1153.323	ADAM17	1078.5889
ADAM19	924.9209	ADAM19	130.2829
ADAM21	13.1978	ADAM21	5.2393
ADAM22	109.0836	ADAM22	108.278
ADAM23	73.5304	ADAM23	8.0335
ADAM28	126.8601	ADAM28	169.4027
removed	removed	ADAM32	134.8236
ADAM33	162.144	ADAM33	316.4513
ADAM6	21013.5802	ADAM6	51079.001
ADAM8	197.6971	ADAM8	54.4883
ADAM9	3873.4092	ADAM9	1605.3091
ADAMDEC1	186.6541	ADAMDEC1	9.78
ADAMTS10	58.9859	ADAMTS10	44.3591
ADAMTS12	813.6826	ADAMTS12	159.9721
ADAMTS13	43.6334	ADAMTS13	32.4834
ADAMTS14	221.9379	removed	removed
ADAMTS15	159.4505	ADAMTS15	72.6511
ADAMTS16	156.4878	ADAMTS16	130.2829
ADAMTS17	311.3595	ADAMTS17	61.474
ADAMTS18	55.4845	ADAMTS18	122.948
removed	removed	ADAMTS19	5.9378
ADAMTS1	1724.5977	ADAMTS1	2991.6172
ADAMTS20	10.5043	removed	removed
ADAMTS2	951.5858	ADAMTS2	125.7422
ADAMTS3	73.5304	ADAMTS3	84.5267
ADAMTS4	830.1125	ADAMTS4	135.5222
ADAMTS5	294.6603	ADAMTS5	3397.1359
ADAMTS6	145.1754	ADAMTS6	15.7178
ADAMTS7	137.0951	ADAMTS7	18.5121
ADAMTS8	62.4874	ADAMTS8	72.6511
ADAMTS9	780.2842	ADAMTS9	1133.0772
ADAMTSL1	203.892	ADAMTSL1	86.9717
ADAMTSL2	59.5246	ADAMTSL2	5.9378
ADAMTSL3	93.1924	ADAMTSL3	132.3786
ADAMTSL4	120.3959	ADAMTSL4	349.284
ADAMTSL5	54.4071	ADAMTSL5	28.6413
ADAP1	77.0588	ADAP1	27.1114
ADAP2	284.4253	ADAP2	159.9721
ADARB1	1367.45	ADARB1	623.1226
ADAR	13980.742	ADAR	7828.8509
ADAT1	348.2594	ADAT1	292.7
ADAT2	145.7141	ADAT2	358.7146
ADAT3	11.3124	ADAT3	14.6699
ADA	116.8945	ADA	63.5697
ADCK1	122.82	ADCK1	102.6895
ADCK2	730.507	ADCK2	469.7869
ADCK4	263.4166	ADCK4	253.5802
ADCK5	85.3815	ADCK5	15.0192
ADCY1	173.4563	ADCY1	440.4471
ADCY2	169.6855	ADCY2	119.4551
ADCY3	876.6036	ADCY3	918.8054
ADCY4	205.2387	ADCY4	337.7576
ADCY5	450.6094	ADCY5	267.2022
ADCY6	1842.5695	ADCY6	1655.606
ADCY7	862.1642	ADCY7	587.4956
ADCY9	864.5882	ADCY9	580.8592
ADCYAP1R1	11.3124	ADCYAP1R1	46.4548
ADC	138.4419	ADC	98.1488
ADD1	4955.3565	ADD1	4656.3046
ADD2	34.4758	ADD2	25.847
ADD3	2333.5802	ADD3	4191.4076
ADH1A	5.1175	ADH1A	109.3259
ADH1B	457.3429	ADH1B	15398.8823
ADH1C	18.3153	ADH1C	173.2448
removed	removed	ADH4	7.6842
ADH5	2464.4805	ADH5	3559.5529
ADHFE1	39.324	ADHFE1	329.0255
ADI1	879.6714	ADI1	1471.8826
ADIPOQ	127.9375	ADIPOQ	14022.0049
ADIPOR1	2138.3072	ADIPOR1	2392.9445
ADIPOR2	2648.7105	ADIPOR2	1899.4062
ADK	357.9557	ADK	407.6144
ADM2	138.1725	ADM2	55.5362
ADM	83.4961	ADM	144.2543
ADNP2	1235.203	ADNP2	1035.2777
ADNP	6038.9199	ADNP	4292.0014
ADORA1	65.9888	ADORA1	328.3269
ADORA2A	250.4855	ADORA2A	47.1498
ADORA2B	65.4501	ADORA2B	133.4265
ADORA3	83.4961	ADORA3	82.0817
ADO	646.1518	ADO	950.4017
ADPGK	936.0124	ADPGK	948.2885
ADPRHL1	27.2036	ADPRHL1	66.7132
ADPRHL2	440.9131	ADPRHL2	317.4991
ADPRH	301.6632	ADPRH	351.3797
removed	removed	ADRA1A	21.3063
removed	removed	ADRA1B	8.0335
ADRA2A	696.7881	ADRA2A	387.7052
removed	removed	ADRA2B	8.3828
ADRA2C	30.4357	ADRA2C	12.9235
removed	removed	ADRB1	15.7178
ADRB2	81.6107	ADRB2	219.6996
ADRBK1	1263.4839	ADRBK1	881.942
ADRBK2	736.112	ADRBK2	2182.6755
