gene_id	TCGA-BH-A1FG-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FG-11B-12R-A13Q-07
?|10357	73.4778	?|10357	68.2279
?|10431	1576.1107	?|10431	1322.1617
?|155060	98.3248	?|155060	40.2178
?|390284	8.74	removed	removed
?|57714	580.4807	?|57714	207.3733
removed	removed	?|645851	6.703
?|652919	8.2957	removed	removed
?|653553	647.8514	?|653553	227.4822
removed	removed	?|729884	12.987
?|8225	325.2003	?|8225	150.8169
?|90288	48.7983	?|90288	9.2166
A1BG	211.3656	A1BG	31.4202
A2LD1	147.713	A2LD1	104.8513
removed	removed	A2ML1	10.4734
A2M	5853.9111	A2M	23177.6163
A4GALT	348.8711	A4GALT	97.6121
AAAS	822.287	AAAS	362.3796
AACS	1542.6074	AACS	387.9346
AADAT	12.0175	AADAT	72.057
AAGAB	3182.8114	AAGAB	1080.4357
AAK1	770.5754	AAK1	798.9108
AAMP	2723.598	AAMP	421.4495
AARS2	264.7378	AARS2	113.9506
AARSD1	747.9971	AARSD1	121.4914
AARS	1830.2986	AARS	1059.07
AASDHPPT	1424.6176	AASDHPPT	1592.3754
AASDH	344.5011	AASDH	635.1068
AASS	82.6657	AASS	509.4261
AATF	1509.8325	AATF	464.5999
AATK	120.9031	AATK	7.1219
ABAT	6123.4523	ABAT	422.7063
ABCA10	6.555	ABCA10	430.2472
ABCA11P	102.9825	ABCA11P	111.7721
ABCA12	84.8507	ABCA12	15.0817
ABCA17P	13.8383	ABCA17P	8.7977
ABCA1	614.7123	ABCA1	1824.0385
ABCA2	560.8157	ABCA2	297.0256
ABCA3	3923.5251	ABCA3	203.6028
ABCA4	15.6591	ABCA4	36.8664
ABCA5	343.4086	ABCA5	1032.677
ABCA6	24.7633	ABCA6	304.5664
ABCA7	121.6315	ABCA7	30.5823
ABCA8	30.9541	ABCA8	1128.1944
ABCA9	28.405	ABCA9	723.9212
ABCB10	535.3241	ABCB10	737.3272
ABCB1	22.2141	ABCB1	140.7625
ABCB4	7.2833	ABCB4	5.4462
removed	removed	ABCB5	111.8559
ABCB6	460.0255	ABCB6	125.2618
ABCB7	403.496	ABCB7	493.0876
ABCB8	625.2731	ABCB8	85.8819
ABCB9	203.8893	ABCB9	43.1504
ABCC10	286.9629	ABCC10	186.8454
ABCC11	2403.1318	ABCC11	128.6133
ABCC12	12.3816	removed	removed
ABCC13	22.5783	removed	removed
ABCC1	1335.3969	ABCC1	734.8136
removed	removed	ABCC2	5.8651
ABCC3	99.0532	ABCC3	436.9501
ABCC4	62.2724	ABCC4	219.1035
ABCC5	579.7524	ABCC5	487.2225
removed	removed	ABCC6P1	21.3657
ABCC6P2	43.3358	ABCC6P2	40.6368
ABCC6	556.4457	ABCC6	106.8287
ABCC8	108.5215	ABCC8	55.2995
ABCC9	130.7356	ABCC9	558.0226
ABCD1	300.8012	ABCD1	47.3398
removed	removed	ABCD2	122.7482
ABCD3	7988.7109	ABCD3	2982.8236
ABCD4	564.8216	ABCD4	366.15
ABCE1	1881.2819	ABCE1	2777.1261
ABCF1	1558.6307	ABCF1	907.8341
ABCF2	1366.7152	ABCF2	697.9472
ABCF3	1170.4297	ABCF3	221.6171
ABCG1	842.6803	ABCG1	379.5559
ABCG2	38.2374	ABCG2	372.853
ABHD10	636.5623	ABHD10	1442.8152
ABHD11	947.9243	ABHD11	185.5886
removed	removed	ABHD12B	6.703
