gene_id	TCGA-BH-A1FH-01A-12R-A13Q-07	gene_id	TCGA-BH-A1FH-11B-42R-A13Q-07
?|100133144	14.8556	?|100133144	5.3016
?|100134869	7.7467	removed	removed
?|10357	103.1845	?|10357	91.8252
?|10431	576.2056	?|10431	730.5726
?|155060	166.886	?|155060	161.5542
removed	removed	?|390284	6.135
?|57714	676.523	?|57714	206.544
?|645851	9.9079	removed	removed
?|652919	76.2753	removed	removed
?|653553	96.9115	?|653553	162.0654
?|729884	10.5271	removed	removed
?|8225	301.5713	?|8225	346.1145
?|90288	7.4309	?|90288	9.2025
A1BG	94.7008	A1BG	80.8742
A2LD1	69.6958	A2LD1	64.5706
removed	removed	A2ML1	48.0573
A2M	32207.1027	A2M	25382.8067
A4GALT	278.6593	A4GALT	512.7812
AAAS	452.357	AAAS	535.7873
AACS	701.6023	AACS	860.4294
AADAC	13.6233	AADAC	247.955
AADAT	146.7606	AADAT	107.362
AAGAB	1822.1225	AAGAB	962.6789
AAK1	1550.5844	AAK1	888.5481
AAMP	1797.3527	AAMP	1730.0613
AARS2	444.2666	AARS2	291.9172
AARSD1	310.86	AARSD1	391.1043
AARS	3147.3024	AARS	1883.4356
AASDHPPT	900.6889	AASDHPPT	724.9489
AASDH	425.1103	AASDH	332.8221
AASS	480.2229	AASS	532.2086
AATF	722.6566	AATF	793.9673
AATK	38.7027	AATK	46.5235
ABAT	798.2042	ABAT	313.3947
ABCA10	187.9402	ABCA10	369.6319
ABCA11P	113.1543	ABCA11P	90.9407
ABCA12	59.1377	ABCA12	19.9387
ABCA13	79.8823	ABCA13	21.4724
ABCA17P	7.1213	removed	removed
ABCA1	1660.7911	ABCA1	1971.8405
ABCA2	1060.4536	ABCA2	981.0838
ABCA3	1544.7016	ABCA3	812.3722
ABCA4	12.6945	ABCA4	69.5297
ABCA5	788.2963	ABCA5	660.5317
ABCA6	546.1723	ABCA6	1050.1022
ABCA7	252.0319	ABCA7	296.0123
ABCA8	634.724	ABCA8	1611.4519
ABCA9	503.4445	ABCA9	1691.7178
ABCB10	406.8426	ABCB10	430.9816
removed	removed	ABCB11	5.1125
ABCB1	788.9156	ABCB1	365.0307
ABCB4	44.8951	ABCB4	16.3599
ABCB5	209.3041	ABCB5	279.6524
ABCB6	296.8279	ABCB6	323.8804
ABCB7	378.0478	ABCB7	514.3149
ABCB8	445.5453	ABCB8	329.2434
ABCB9	224.4632	ABCB9	115.7924
ABCC10	448.0223	ABCC10	291.9223
ABCC11	374.0228	ABCC11	8.6912
ABCC1	1190.4946	ABCC1	1084.3558
ABCC2	8.6694	ABCC2	10.2249
ABCC3	319.5294	ABCC3	650.3067
ABCC4	397.554	ABCC4	168.7117
ABCC5	727.6105	ABCC5	652.863
ABCC6P2	10.8368	ABCC6P2	19.9387
ABCC6	122.6101	ABCC6	115.0307
ABCC8	61.3051	ABCC8	19.9387
ABCC9	652.0629	ABCC9	1172.8016
ABCD1	309.3119	ABCD1	322.5971
ABCD2	36.5353	ABCD2	175.3579
ABCD3	2041.3345	ABCD3	1161.5542
ABCD4	544.9338	ABCD4	744.8875
ABCE1	1716.8511	ABCE1	1764.3149
ABCF1	1610.0317	ABCF1	1319.0184
ABCF2	1070.9807	ABCF2	1072.5971
ABCF3	832.8818	ABCF3	611.4519
ABCG1	764.7651	ABCG1	987.2188
ABCG2	189.1787	ABCG2	168.7117
ABHD10	669.7113	ABHD10	651.8405
ABHD11	299.0944	ABHD11	513.8037
ABHD12B	43.6566	ABHD12B	5.1125
ABHD12	843.4089	ABHD12	935.0716
ABHD13	597.5695	ABHD13	790.8998
ABHD14A	158.5262	ABHD14A	353.1135
ABHD14B	1042.8052	ABHD14B	2381.3906
ABHD15	347.3953	ABHD15	450.409
ABHD1	8.3598	ABHD1	16.8712
ABHD2	12379.9056	ABHD2	2725.4601
ABHD3	507.7792	ABHD3	267.8937
ABHD4	837.5261	ABHD4	844.5808
ABHD5	835.6684	ABHD5	1148.2618
ABHD6	154.5011	ABHD6	316.9734
ABHD8	203.7309	ABHD8	258.18
ABI1	1514.5383	ABI1	1639.908
ABI2	1818.7166	ABI2	1779.1411
ABI3BP	2025.5438	ABI3BP	2599.182
ABI3	154.8107	ABI3	232.6176
ABL1	3658.4875	ABL1	3036.2986
ABL2	2280.6719	ABL2	1481.0838
ABLIM1	4156.9781	ABLIM1	7516.3599
ABLIM2	102.7943	ABLIM2	80.7771
ABLIM3	1404.7527	ABLIM3	1293.456
ABO	32.2006	ABO	6.6462
ABP1	5.5732	removed	removed
ABR	2396.1607	ABR	1919.2229
ABT1	420.7756	ABT1	605.8282
ABTB1	372.165	ABTB1	580.7771
ABTB2	97.5308	ABTB2	155.4192
ACAA1	743.4012	ACAA1	887.0143
ACAA2	1067.8845	ACAA2	2047.0348
ACACA	1623.9647	ACACA	1152.863
ACACB	917.4085	ACACB	2101.7382
ACAD10	560.1053	ACAD10	389.5706
ACAD11	309.9311	ACAD11	478.0164
ACAD8	753.9283	ACAD8	443.7628
ACAD9	647.1089	ACAD9	839.9796
ACADL	9.2886	ACADL	82.3108
ACADM	1207.2142	ACADM	1165.1329
ACADSB	1984.9834	ACADSB	1479.0389
ACADS	263.1783	ACADS	506.6462
ACADVL	2225.5345	ACADVL	4513.7832
ACAN	92.8864	ACAN	7.6687
ACAP1	65.6398	ACAP1	98.6708
ACAP2	2044.7403	ACAP2	1562.3722
ACAP3	494.1559	ACAP3	435.6084
ACAT1	890.781	ACAT1	1607.362
ACAT2	326.8488	ACAT2	348.3078
ACBD3	2332.9979	ACBD3	1435.0716
ACBD4	137.4719	ACBD4	283.2311
ACBD5	1094.8216	ACBD5	720.8589
ACBD6	424.8007	ACBD6	387.5256
ACBD7	37.4642	ACBD7	66.4622
ACCN2	148.9279	ACCN2	89.9796
ACCN3	33.1295	ACCN3	6.135
ACCS	197.5385	ACCS	290.3885
ACD	276.8016	ACD	454.499
ACE2	8.979	ACE2	31.1861
ACER2	268.7515	ACER2	104.2945
ACER3	592.6155	ACER3	401.3292
