gene_id	TCGA-BH-A1FJ-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FJ-11B-42R-A13Q-07
removed	removed	?|100133144	14.1096
removed	removed	?|100134869	6.2662
?|10357	85.7918	?|10357	92.2679
?|10431	952.7575	?|10431	905.0019
?|155060	72.2612	?|155060	101.085
?|390284	6.8171	?|390284	7.1448
?|391343	7.3625	removed	removed
?|57714	473.3792	?|57714	401.1646
?|645851	9.8166	?|645851	10.8494
?|652919	15.2703	?|652919	17.4332
?|653553	196.8778	?|653553	90.2356
removed	removed	?|728788	5.0278
?|729884	52.628	?|729884	6.6155
?|8225	295.5893	?|8225	112.1991
?|90288	11.18	?|90288	9.5263
A1BG	151.0505	A1BG	37.3115
A2LD1	55.4612	A2LD1	102.7574
A2M	4458.368	A2M	29948.2019
A4GALT	256.8682	A4GALT	154.5383
AAAS	917.854	AAAS	377.0841
AACS	1059.1042	AACS	529.5055
removed	removed	AADAC	6.6155
AADAT	83.9866	AADAT	86.7955
AAGAB	1829.4362	AAGAB	1247.4208
AAK1	1269.0708	AAK1	1236.836
AAMP	2097.2118	AAMP	557.2907
AARS2	370.572	AARS2	143.1597
AARSD1	636.9896	AARSD1	201.1115
AARS	3183.0391	AARS	1307.225
AASDHPPT	978.9352	AASDHPPT	1201.6414
AASDH	524.0984	AASDH	576.6079
AASS	376.0311	AASS	767.1347
AATF	1200.0818	AATF	529.5055
AATK	19.0879	AATK	13.231
ABAT	2231.9176	ABAT	468.3782
removed	removed	ABCA10	624.7689
ABCA11P	198.004	ABCA11P	207.3169
ABCA12	1103.5517	ABCA12	32.2837
ABCA13	11.7254	ABCA13	15.0834
removed	removed	ABCA17P	5.557
ABCA1	515.6262	ABCA1	2238.1253
ABCA2	706.2513	ABCA2	492.194
ABCA3	1892.9716	ABCA3	456.9995
ABCA4	24.2689	ABCA4	46.044
ABCA5	106.3467	ABCA5	1291.6124
ABCA6	12.5435	ABCA6	876.9522
ABCA7	187.3338	ABCA7	113.2576
