gene_id	TCGA-BH-A1FM-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FM-11B-23R-A13Q-07
removed	removed	?|100133144	9.7428
?|100134869	5.1473	?|100134869	8.2711
?|10357	107.2333	?|10357	104.7126
?|10431	2230.7204	?|10431	606.0606
?|155060	41.6855	?|155060	216.1667
?|390284	5.7997	removed	removed
?|553137	7.6121	removed	removed
?|57714	484.6398	?|57714	756.5835
?|645851	17.0367	?|645851	19.5405
?|652919	5.5025	?|652919	91.5472
?|653553	1099.0485	?|653553	87.0163
?|8225	171.8169	?|8225	411.2663
removed	removed	?|90288	12.2128
A1BG	67.5125	A1BG	64.9874
A2LD1	120.0652	A2LD1	60.9663
A2ML1	9.787	A2ML1	45.1874
A2M	8517.6004	A2M	34211.651
A4GALT	40.9606	A4GALT	252.8051
AAAS	612.2338	AAAS	570.3381
AACS	707.2043	AACS	1180.6732
removed	removed	AADAC	14.6554
AADAT	104.7576	AADAT	86.4056
AAGAB	2198.8219	AAGAB	933.3639
AAK1	943.1808	AAK1	1333.6387
AAMP	421.9302	AAMP	1769.3306
AARS2	102.2202	AARS2	412.1579
AARSD1	155.8677	AARSD1	406.9918
AARS	2284.3679	AARS	2265.4759
AASDHPPT	3285.1835	AASDHPPT	834.7454
AASDH	441.8668	AASDH	511.106
AASS	188.8536	AASS	1121.1358
AATF	589.0349	AATF	860.6977
AATK	7.6121	AATK	54.0417
ABAT	531.0376	ABAT	520.5709
removed	removed	ABCA10	662.2395
ABCA11P	263.4998	ABCA11P	142.4258
ABCA12	793.8378	ABCA12	147.775
ABCA13	19.5741	ABCA13	25.0363
ABCA17P	5.7997	ABCA17P	7.0224
ABCA1	1608.3371	ABCA1	2117.6612
ABCA2	749.6149	ABCA2	1137.6231
ABCA3	764.1142	ABCA3	951.9884
removed	removed	ABCA4	64.1172
ABCA5	473.0403	ABCA5	1277.1544
ABCA6	29.3611	ABCA6	824.6699
ABCA7	25.7363	ABCA7	172.2006
ABCA8	9.0621	ABCA8	1900.313
ABCA9	448.029	ABCA9	1687.5048
ABCB10	901.8577	ABCB10	471.7197
ABCB1	7.2497	ABCB1	880.5435
ABCB4	33.3484	ABCB4	18.0139
removed	removed	ABCB5	360.2778
ABCB6	259.5705	ABCB6	391.6129
ABCB7	698.5048	ABCB7	547.1338
ABCB8	176.5292	ABCB8	319.6703
ABCB9	248.5184	ABCB9	106.1476
ABCC10	156.5927	ABCC10	401.8014
