gene_id	TCGA-BH-A1FN-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FN-11A-34R-A13Q-07
?|100133144	17.3779	removed	removed
?|10357	103.407	?|10357	118.7315
?|10431	1262.2591	?|10431	706.1895
?|155060	84.6044	?|155060	89.3911
?|57714	1107.151	?|57714	309.6968
?|645851	13.6145	?|645851	8.3624
?|652919	19.2937	removed	removed
?|653553	147.3284	?|653553	164.941
?|729884	6.321	?|729884	44.6955
?|8225	269.3727	?|8225	203.8693
?|90288	27.229	?|90288	7.7857
A1BG	366.2302	A1BG	56.2501
A2BP1	12.1558	removed	removed
A2LD1	70.8197	A2LD1	83.1914
removed	removed	A2ML1	5.4788
removed	removed	A2M	49368.2891
A4GALT	184.2821	A4GALT	275.9589
AAAS	355.4358	AAAS	541.8253
AACS	492.5534	AACS	816.6308
AADAT	139.5487	AADAT	108.7111
AAGAB	791.5862	AAGAB	1048.1825
AAK1	1363.3955	AAK1	1017.3282
AAMP	2060.1664	AAMP	1003.487
AARS2	217.307	AARS2	261.789
AARSD1	326.7481	AARSD1	275.3822
AARS	3765.8694	AARS	1803.1046
AASDHPPT	789.1551	AASDHPPT	1027.9974
AASDH	408.4352	AASDH	515.5847
AASS	132.7414	AASS	614.78
AATF	1046.372	AATF	765.5914
AATK	73.2071	AATK	29.1242
ABAT	251.8683	ABAT	303.353
removed	removed	ABCA10	287.2049
ABCA11P	103.3438	ABCA11P	150.2606
ABCA12	118.6407	ABCA12	15.283
ABCA17P	5.8348	ABCA17P	8.9391
ABCA1	1035.1789	ABCA1	1137.2737
ABCA2	730.321	ABCA2	588.251
ABCA3	1101.8025	ABCA3	461.3733
ABCA4	9.7246	ABCA4	40.3702
ABCA5	279.5836	ABCA5	793.2738
ABCA6	17.0181	ABCA6	748.8666
ABCA7	145.3835	ABCA7	151.6765
ABCA8	8.7522	ABCA8	1409.2071
ABCA9	19.4493	ABCA9	1023.0953
ABCB10	883.4841	ABCB10	470.6008
ABCB1	16.5319	ABCB1	949.8523
ABCB4	12.642	ABCB4	43.2537
ABCB5	13.6145	ABCB5	452.1459
ABCB6	703.8213	ABCB6	260.6356
ABCB7	488.1773	ABCB7	579.6002
ABCB8	267.4278	ABCB8	166.0944
ABCB9	94.9028	ABCB9	83.5403
ABCC10	184.2821	ABCC10	252.3135
ABCC11	255.272	removed	removed
ABCC12	12.642	removed	removed
ABCC13	309.2438	removed	removed
ABCC1	1732.932	ABCC1	880.9347
ABCC2	10.6971	ABCC2	8.074
ABCC3	877.6494	ABCC3	346.3183
ABCC4	118.1545	ABCC4	300.4694
ABCC5	1167.4438	ABCC5	789.5251
ABCC6P2	5.8348	ABCC6P2	6.3439
ABCC6	8.2659	ABCC6	12.6878
ABCC8	280.5561	ABCC8	234.147
ABCC9	172.1262	ABCC9	581.6187
ABCD1	245.0611	ABCD1	126.3009
removed	removed	ABCD2	43.8305
ABCD3	2146.2295	ABCD3	1473.7994
ABCD4	278.1249	ABCD4	708.4964
ABCE1	2806.0468	ABCE1	1912.6808
ABCF1	2190.4767	ABCF1	1331.9271
ABCF2	962.2538	ABCF2	1090.2828
ABCF3	1090.1329	ABCF3	562.0104
ABCG1	1172.3062	ABCG1	659.4755
ABCG2	27.229	ABCG2	414.9476
ABCG4	7.7797	removed	removed
ABHD10	637.4506	ABHD10	833.0672
ABHD11	595.6346	ABHD11	302.1995
ABHD12	982.1893	ABHD12	719.454
ABHD13	647.1752	ABHD13	789.8135
ABHD14A	71.9624	ABHD14A	245.9697
ABHD14B	460.462	ABHD14B	2431.149
ABHD15	283.4734	ABHD15	296.144
ABHD1	12.1558	ABHD1	22.7803
ABHD2	3741.5578	ABHD2	2564.9473
ABHD3	466.783	ABHD3	306.8133
ABHD4	782.8341	ABHD4	1080.767
ABHD5	266.9416	ABHD5	1079.9019
ABHD6	105.5124	ABHD6	265.578
ABHD8	277.6387	ABHD8	138.9887
ABI1	1470.2547	ABI1	2024.088
ABI2	2202.1462	ABI2	1977.8498
ABI3BP	82.6595	ABI3BP	2603.5873
ABI3	75.366	ABI3	364.1966
ABL1	1664.3733	ABL1	1819.541
ABL2	1620.1261	ABL2	1050.7777
ABLIM1	1221.4156	ABLIM1	6011.9827
ABLIM2	36.9537	ABLIM2	97.7535
ABLIM3	284.4459	ABLIM3	974.3628
ABO	10.6971	ABO	21.9152
