gene_id	TCGA-BH-A1FR-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FR-11B-42R-A13Q-07
?|100133144	6.6911	?|100133144	5.0531
removed	removed	?|100134869	9.0955
?|10357	51.2433	?|10357	53.9768
?|10431	753.7934	?|10431	619.5048
?|155060	231.0328	?|155060	322.385
?|57714	210.4748	?|57714	356.7458
?|645851	15.1738	?|645851	22.2335
removed	removed	?|652919	95.7858
?|653553	215.859	?|653553	195.048
removed	removed	?|729884	19.7069
?|8225	540.8713	?|8225	400.7074
?|90288	108.6637	?|90288	12.6326
A1BG	147.4988	A1BG	94.8914
A2LD1	63.0054	A2LD1	74.4265
A2M	9796.8184	A2M	34083.0571
A4GALT	99.3637	A4GALT	244.568
AAAS	767.9883	AAAS	648.3072
AACS	2489.9657	AACS	4815.0581
removed	removed	AADAC	83.3754
AADAT	33.7739	AADAT	397.6756
AAGAB	1756.7303	AAGAB	1073.2693
AAK1	1385.2178	AAK1	1251.6422
AAMP	2640.7244	AAMP	1658.9186
AARS2	454.1557	AARS2	374.9015
AARSD1	470.8762	AARSD1	391.6119
AARS	3975.0367	AARS	2407.7817
AASDHPPT	987.2736	AASDHPPT	827.6908
AASDH	398.9232	AASDH	438.1001
AASS	147.8218	AASS	684.6892
AATF	672.0509	AATF	630.6215
AATK	622.79	AATK	82.8701
ABAT	409.2022	ABAT	742.2941
ABCA10	10.279	ABCA10	431.5311
ABCA11P	115.7513	ABCA11P	140.7832
ABCA12	49.4371	ABCA12	1093.9869
removed	removed	ABCA13	16.6751
ABCA17P	14.6843	ABCA17P	6.569
ABCA1	289.2805	ABCA1	1437.524
ABCA2	2739.5986	ABCA2	1188.479
ABCA3	3020.0685	ABCA3	1526.5285
removed	removed	ABCA4	39.9192
ABCA5	579.0504	ABCA5	929.7625
ABCA6	22.0264	ABCA6	583.6281
ABCA7	668.6246	ABCA7	294.5932
ABCA8	46.9897	ABCA8	1565.4371
ABCA9	28.8791	ABCA9	864.0728
ABCB10	427.8023	ABCB10	552.8044
ABCB1	82.7215	ABCB1	314.8055
ABCB4	24.4738	ABCB4	27.2865
ABCB5	7.3421	ABCB5	241.0308
ABCB6	1188.5854	ABCB6	643.7797
ABCB7	537.9344	ABCB7	446.6902
ABCB8	738.6197	ABCB8	347.145
ABCB9	138.2819	ABCB9	118.1809
ABCC10	440.0392	ABCC10	408.287
ABCC11	706.8037	ABCC11	5347.145
removed	removed	ABCC12	56.0889
ABCC1	260.4014	ABCC1	1509.8535
removed	removed	ABCC2	255.6847
ABCC3	82.232	ABCC3	500.2527
ABCC4	104.7479	ABCC4	517.9384
ABCC5	582.4767	ABCC5	1090.4497
ABCC6P1	6.3632	ABCC6P1	12.1273
ABCC6P2	12.2369	ABCC6P2	17.1804
ABCC6	299.5595	ABCC6	359.2724
ABCC8	1593.2452	ABCC8	122.284
ABCC9	103.769	ABCC9	893.3805
ABCD1	415.5653	ABCD1	273.8757
ABCD2	8.8106	ABCD2	66.195
ABCD3	4078.3162	ABCD3	1770.0859
ABCD4	633.3823	ABCD4	750.379
ABCE1	1581.9873	ABCE1	1579.0803
ABCF1	1418.5022	ABCF1	1222.8398
ABCF2	1061.674	ABCF2	1023.2441
ABCF3	1192.3642	ABCF3	777.6655
ABCG1	981.3999	ABCG1	627.0844
ABCG2	95.4479	ABCG2	344.1132
ABHD10	1469.8972	ABHD10	721.5766
ABHD11	590.3084	ABHD11	450.2274
ABHD12B	14.6843	removed	removed
ABHD12	2939.7944	ABHD12	1007.5796
ABHD13	476.2604	ABHD13	646.7913
ABHD14A	350.465	ABHD14A	302.1728
ABHD14B	2044.5423	ABHD14B	2052.0465
ABHD15	540.8713	ABHD15	388.5801
ABHD1	11.258	ABHD1	19.2016
ABHD2	4674.9878	ABHD2	3280.4447
ABHD3	302.0069	ABHD3	576.5538
ABHD4	1074.8899	ABHD4	1118.7468
ABHD5	718.5512	ABHD5	809.4997
ABHD6	196.28	ABHD6	419.4037
ABHD8	458.6393	ABHD8	176.3517
ABI1	1531.9873	ABI1	1703.0167
ABI2	1746.9408	ABI2	2015.1592
ABI3BP	183.5536	ABI3BP	2261.2431
ABI3	369.0651	ABI3	248.6104
ABL1	2155.6535	ABL1	2285.4977
ABL2	870.7783	ABL2	955.5331
ABLIM1	1066.0793	ABLIM1	5088.9338
ABLIM2	17.6211	ABLIM2	54.573
ABLIM3	1497.7974	ABLIM3	1522.9914
removed	removed	ABO	13.1379
removed	removed	ABP1	5.5584
ABR	2277.0436	ABR	2354.7246
ABT1	468.4288	ABT1	506.3163
ABTB1	491.9236	ABTB1	580.091
ABTB2	46.9897	ABTB2	148.5599
ACAA1	1523.2501	ACAA1	1290.5508
ACAA2	1405.7758	ACAA2	1426.9833
ACACA	2831.6202	ACACA	3882.7691
ACACB	392.56	ACACB	1629.1056
ACAD10	622.1243	ACAD10	470.9449
ACAD11	358.6784	ACAD11	552.2991
ACAD8	568.7714	ACAD8	658.4133
ACAD9	825.257	ACAD9	721.5766
removed	removed	ACADL	99.5452
ACADM	1327.9491	ACADM	2727.6402
ACADSB	7039.1581	ACADSB	2068.7216
ACADS	644.6402	ACADS	425.4674
ACADVL	5622.4376	ACADVL	5437.5644
ACAN	148.3113	ACAN	66.7004
ACAP1	89.0847	ACAP1	109.6513
