gene_id	TCGA-BH-A1FU-01A-11R-A14D-07	gene_id	TCGA-BH-A1FU-11A-23R-A14D-07
removed	removed	?|100133144	22.795
?|100134869	10.026	?|100134869	9.1924
?|10357	119.6275	?|10357	75.8626
?|10431	860.1126	?|10431	538.0178
?|155060	93.1139	?|155060	353.9591
?|390284	9.5279	?|390284	5.7682
?|57714	1085.3183	?|57714	956.4761
?|645851	7.7956	?|645851	20.451
?|652919	19.922	?|652919	68.065
?|653553	118.233	?|653553	148.925
removed	removed	?|729884	47.7189
?|8225	473.7982	?|8225	571.5784
removed	removed	?|90288	22.5485
A1BG	39.1641	A1BG	52.4017
A2LD1	55.0801	A2LD1	65.0184
A2ML1	182.7631	A2ML1	8.3901
A2M	26083.1269	A2M	34542.5695
A4GALT	255.5219	A4GALT	274.2528
AAAS	420.0953	AAAS	640.7971
AACS	1120.8315	AACS	1192.4489
AADAC	40.7103	removed	removed
AADAT	193.5903	AADAT	83.377
AAGAB	1294.4998	AAGAB	990.0367
AAK1	1105.6735	AAK1	1093.3403
AAMP	1857.9472	AAMP	1979.549
AARS2	488.9216	AARS2	558.4006
AARSD1	237.3322	AARSD1	399.5805
AARS	3935.4699	AARS	2851.075
AASDHPPT	1022.9537	AASDHPPT	747.247
AASDH	401.0394	AASDH	492.3964
AASS	203.5513	AASS	858.9407
AATF	1106.1065	AATF	815.9413
AATK	32.4816	AATK	73.9381
ABAT	205.2837	ABAT	932.8789
ABCA10	26.4184	ABCA10	338.2276
ABCA11P	97.4794	ABCA11P	164.2685
ABCA12	716.3274	ABCA12	128.9984
removed	removed	ABCA13	9.9633
removed	removed	ABCA17P	8.3901
ABCA1	820.2165	ABCA1	1670.0629
ABCA2	1164.5734	ABCA2	1916.0986
ABCA3	519.2724	ABCA3	887.7819
ABCA4	112.6029	ABCA4	123.2302
ABCA5	233.0013	ABCA5	980.5978
ABCA6	232.5682	ABCA6	655.4798
ABCA7	208.3153	ABCA7	330.8862
ABCA8	415.7644	ABCA8	1396.9586
ABCA9	164.1403	ABCA9	710.5401
ABCB10	383.7159	ABCB10	382.8002
ABCB1	332.1784	ABCB1	772.9418
ABCB4	45.0411	ABCB4	14.1584
removed	removed	ABCB5	229.6801
ABCB6	829.5496	ABCB6	390.7604
