gene_id	TCGA-BH-A204-01A-11R-A157-07	gene_id	TCGA-BH-A204-11A-53R-A157-07
?|100133144	17.746	?|100133144	6.1973
?|10357	158.3634	?|10357	107.9923
?|10431	1231.8693	?|10431	791.8762
?|155060	103.053	?|155060	137.3308
?|390284	5.6747	?|390284	8.8975
?|57714	870.9568	?|57714	503.2882
?|645851	7.9446	?|645851	6.5764
?|652919	76.7291	?|652919	114.3907
?|653553	292.1348	?|653553	188.0077
?|8225	160.2542	?|8225	368.2785
?|90288	24.5148	?|90288	13.1528
A1BG	28.4304	A1BG	30.1547
A2BP1	9.9875	removed	removed
A2LD1	167.2432	A2LD1	102.5803
A2M	11944.5988	A2M	44992.3559
A4GALT	59.6981	A4GALT	549.7099
AAAS	826.9209	AAAS	538.4913
AACSL	9.9875	removed	removed
AACS	868.4599	AACS	1178.3366
removed	removed	AADACL2	11.2186
removed	removed	AADAC	450.677
AADAT	68.0967	AADAT	71.5667
AAGAB	4402.6785	AAGAB	694.3907
AAK1	988.764	AAK1	1231.3346
AAMP	1695.6078	AAMP	1674.6615
AARS2	220.8557	AARS2	217.795
AARSD1	476.6769	AARSD1	448.3559
AARS	2692.9974	AARS	2492.4565
AASDHPPT	1018.9536	AASDHPPT	658.4139
AASDH	277.6075	AASDH	310.6383
AASS	79.6731	AASS	1029.7872
AATF	1337.8731	AATF	879.3037
AATK	27.023	AATK	37.5242
ABAT	787.6518	ABAT	367.118
removed	removed	ABCA10	438.2979
ABCA11P	194.8882	ABCA11P	95.6789
ABCA12	34.2753	ABCA12	5.8027
ABCA17P	185.904	removed	removed
ABCA1	334.8088	ABCA1	3629.2456
ABCA2	1400.9761	ABCA2	1119.1489
ABCA3	4218.3634	ABCA3	918.7621
ABCA4	30.1895	ABCA4	32.1083
ABCA5	371.127	ABCA5	779.8839
ABCA6	51.5265	ABCA6	1716.0542
ABCA7	113.0405	ABCA7	163.6364
ABCA8	15.4353	ABCA8	5764.0232
ABCA9	5.6747	ABCA9	2068.8588
ABCB10	663.4888	ABCB10	425.5319
removed	removed	ABCB11	50.2901
ABCB1	51.9805	ABCB1	209.2843
ABCB4	35.6373	ABCB4	55.3191
removed	removed	ABCB5	144.6809
ABCB6	19.9296	ABCB6	554.7389
removed	removed	ABCB7	590.3288
ABCB8	801.9521	ABCB8	333.0754
ABCB9	118.7402	ABCB9	62.441
ABCC10	223.8111	ABCC10	252.6112
ABCC11	7.9446	ABCC11	40.619
ABCC13	15.2083	removed	removed
ABCC1	1256.3841	ABCC1	1224.3714
ABCC2	7.0367	ABCC2	52.2244
ABCC3	77.6302	ABCC3	205.029
ABCC4	84.6669	ABCC4	158.9942
ABCC5	3469.5267	ABCC5	464.9903
removed	removed	ABCC6P1	19.7292
removed	removed	ABCC6P2	68.0851
ABCC6	11.8034	ABCC6	490.1354
ABCC8	104.4149	ABCC8	6.1896
ABCC9	244.2402	ABCC9	2900.1934
ABCD1	94.8814	ABCD1	471.9536
removed	removed	ABCD2	975.2418
ABCD3	7060.4926	ABCD3	1229.4004
ABCD4	159.5733	ABCD4	769.4391
ABCE1	3776.4158	ABCE1	1356.6731
ABCF1	1659.5165	ABCF1	1340.4255
ABCF2	1841.1077	ABCF2	918.7621
ABCF3	760.1861	ABCF3	725.7253
ABCG1	1524.0041	ABCG1	509.0909
