gene_id	TCGA-E2-A153-01A-12R-A12D-07	gene_id	TCGA-E2-A153-11A-31R-A12D-07
removed	removed	?|100133144	6.2314
?|100134869	6.0178	removed	removed
?|10357	98.9433	?|10357	82.6116
?|10431	902.6696	?|10431	654.4794
?|155060	109.5662	?|155060	283.4109
?|57714	696.3293	?|57714	679.9137
?|645851	7.7864	?|645851	12.7172
?|652919	5.5617	?|652919	87.3169
?|653553	611.2347	?|653553	135.8011
removed	removed	?|729884	188.9406
?|8225	503.8932	?|8225	524.1285
?|90288	51.7241	?|90288	17.259
A1BG	177.1079	A1BG	66.8014
A2LD1	86.2458	A2LD1	72.8602
removed	removed	A2ML1	9.0837
A2M	14395.3949	A2M	27514.4272
A4GALT	389.3215	A4GALT	367.8892
AAAS	604.5606	AAAS	648.1208
AACS	691.3237	AACS	11771.9995
removed	removed	AADAC	52.6854
AADAT	29.4772	AADAT	145.7931
AAGAB	1218.02	AAGAB	1083.2292
AAK1	735.2614	AAK1	1566.027
AAMP	2274.1935	AAMP	2061.0878
AARS2	421.0178	AARS2	523.2065
AARSD1	611.2347	AARSD1	405.1323
AARS	1971.079	AARS	2490.746
AASDHPPT	951.6129	AASDHPPT	852.9579
AASDH	251.3904	AASDH	436.471
AASS	250.8343	AASS	589.5311
AATF	1348.7208	AATF	855.683
AATK	31.7186	AATK	61.769
ABAT	3163.515	ABAT	794.3681
ABCA10	6.6741	ABCA10	388.3275
ABCA11P	80.9066	ABCA11P	132.6218
ABCA12	1043.9377	ABCA12	3164.3011
ABCA13	5.0056	ABCA13	15.4423
ABCA17P	9.4549	removed	removed
ABCA1	770.8565	ABCA1	1325.7454
ABCA2	1421.0234	ABCA2	1641.8758
ABCA3	2437.1524	ABCA3	4540.025
ABCA4	94.5495	ABCA4	47.6893
ABCA5	176.8632	ABCA5	1007.8347
ABCA6	56.1735	ABCA6	381.0605
ABCA7	130.7008	ABCA7	436.9252
removed	removed	ABCA8	853.4121
ABCA9	16.6852	ABCA9	812.0813
ABCB10	567.8532	ABCB10	456.9093
ABCB1	39.4883	ABCB1	535.029
ABCB4	64.5161	ABCB4	14.5339
removed	removed	ABCB5	171.6816
ABCB6	436.218	ABCB6	1130.2509
ABCB7	473.8598	ABCB7	477.8017
ABCB8	649.0545	ABCB8	517.3158
ABCB9	117.9143	ABCB9	184.6577
ABCC10	362.6251	ABCC10	478.2559
ABCC11	934.3715	ABCC11	19325.5365
ABCC12	11.6796	ABCC12	149.4266
ABCC13	113.4594	removed	removed
ABCC1	1850.3893	ABCC1	2265.0165
ABCC2	7.7864	ABCC2	1136.823
ABCC3	474.416	ABCC3	789.3721
ABCC4	169.6329	ABCC4	849.7786
ABCC5	1100.1112	ABCC5	900.6472
ABCC6P1	6.6741	ABCC6P1	9.9921
ABCC6P2	25.584	ABCC6P2	28.6136
ABCC6	149.0545	ABCC6	759.3959
ABCC8	45.6062	ABCC8	143.9764
ABCC9	570.0779	ABCC9	346.5425
ABCD1	516.6852	ABCD1	455.5467
removed	removed	ABCD2	24.9801
ABCD3	2063.96	ABCD3	1891.6771
ABCD4	464.4049	ABCD4	718.9735
ABCE1	1382.6474	ABCE1	1625.9793
ABCF1	1389.3215	ABCF1	1697.2862
ABCF2	1081.7575	ABCF2	1147.2692
ABCF3	1075.6396	ABCF3	1051.8905
ABCG1	884.8721	ABCG1	845.2367
ABCG2	67.297	ABCG2	297.0364
ABCG4	6.1179	removed	removed
ABHD10	454.3938	ABHD10	494.6066
ABHD11	569.5217	ABHD11	777.1091
ABHD12B	5.5617	removed	removed
ABHD12	1779.7553	ABHD12	1202.2255
ABHD13	462.7364	ABHD13	603.6108
