gene_id	TCGA-E2-A15I-01A-21R-A137-07	gene_id	TCGA-E2-A15I-11A-32R-A137-07
?|100133144	15.4051	removed	removed
?|100134869	8.6157	?|100134869	6.5309
?|10357	104.3632	?|10357	97.5649
?|10431	547.5324	?|10431	586.0279
?|155060	410.1195	?|155060	111.2442
removed	removed	?|390284	5.3227
?|57714	1191.8545	?|57714	568.4631
?|645851	25.4338	?|645851	9.0486
?|652919	13.8543	removed	removed
?|653553	170.9714	?|653553	105.3892
?|8225	410.826	?|8225	371.5236
?|90288	136.7065	?|90288	11.7099
A1BG	121.4462	A1BG	23.9521
A2LD1	88.8839	A2LD1	130.7997
removed	removed	A2ML1	7.984
A2M	10337.0097	A2M	28776.3939
A4GALT	77.0078	A4GALT	204.3912
AAAS	708.613	AAAS	554.6241
AACS	890.1818	AACS	1345.5755
removed	removed	AADACL2	10.1131
removed	removed	AADAC	96.8729
AADAT	20.8416	AADAT	105.3892
AAGAB	1724.1973	AAGAB	489.6873
AAK1	1761.2882	AAK1	1322.688
AAMP	1865.496	AAMP	1480.2395
AARS2	463.0394	AARS2	283.167
AARSD1	374.4415	AARSD1	383.7658
AARS	1146.6389	AARS	2217.9641
AASDHPPT	1099.3038	AASDHPPT	988.9554
AASDH	486.4208	AASDH	425.2828
AASS	748.8831	AASS	1421.69
AATF	979.9064	AATF	781.3706
AATK	16.2493	AATK	15.4358
ABAT	4379.1998	ABAT	359.2814
ABCA10	46.9818	ABCA10	673.682
ABCA11P	111.6366	ABCA11P	114.4963
ABCA12	582.5039	ABCA12	9.0486
removed	removed	ABCA13	7.984
ABCA17P	10.2442	ABCA17P	5.855
ABCA1	1426.0323	ABCA1	6354.0439
ABCA2	1668.3843	ABCA2	962.342
ABCA3	2144.5609	ABCA3	1289.155
ABCA4	358.8987	ABCA4	46.3074
ABCA5	324.2805	ABCA5	1467.6354
ABCA6	156.4883	ABCA6	2112.0426
removed	removed	ABCA7	185.7618
ABCA8	160.7273	ABCA8	5150.7651
ABCA9	137.413	ABCA9	4145.3094
ABCB10	501.6104	ABCB10	696.7399
removed	removed	ABCB11	68.6627
ABCB1	119.7506	ABCB1	217.1657
ABCB4	58.2857	ABCB4	47.9042
ABCB5	5.2987	ABCB5	152.2289
ABCB6	253.5181	ABCB6	583.6381
ABCB7	681.413	ABCB7	1012.9075
ABCB8	776.0831	ABCB8	201.1976
ABCB9	348.22	ABCB9	79.4358
ABCC10	365.9636	ABCC10	239.521
ABCC11	501.2571	ABCC11	77.179
ABCC1	1029.361	ABCC1	613.1737
ABCC2	7.7714	ABCC2	11.7099
ABCC3	247.2727	ABCC3	139.4544
ABCC4	134.587	ABCC4	84.6307
ABCC5	6976.623	ABCC5	516.833
removed	removed	ABCC6P1	40.9847
removed	removed	ABCC6P2	25.0166
ABCC6	16.2493	ABCC6	266.6667
ABCC8	535.1688	ABCC8	10.6454
ABCC9	162.1403	ABCC9	4007.4518
ABCD1	318.6286	ABCD1	579.1084
ABCD2	22.961	ABCD2	1851.2309
ABCD3	3278.4829	ABCD3	1375.9148
ABCD4	603.6987	ABCD4	669.5941
ABCE1	1527.4389	ABCE1	1524.9501
ABCF1	1529.2051	ABCF1	925.6154
ABCF2	1444.4259	ABCF2	800.5323
ABCF3	906.7844	ABCF3	574.8503
ABCG1	2366.7531	ABCG1	261.344
ABCG2	91.8442	ABCG2	203.8589
removed	removed	ABCG5	10.1131
removed	removed	ABCG8	63.8723
ABHD10	906.4311	ABHD10	870.7917
ABHD11	864.0415	ABHD11	151.6966
removed	removed	ABHD12B	13.839
ABHD12	1447.9584	ABHD12	751.0313
ABHD13	970.3688	ABHD13	715.3693
ABHD14A	172.0276	ABHD14A	399.2016
ABHD14B	1402.7428	ABHD14B	4449.7671
ABHD15	300.613	ABHD15	1799.6008
ABHD1	47.6883	ABHD1	70.2595
ABHD2	15430.1706	ABHD2	2350.499
ABHD3	1712.1869	ABHD3	578.0439
ABHD4	766.1922	ABHD4	1064.0053
ABHD5	710.3792	ABHD5	3291.5502
ABHD6	253.6312	ABHD6	460.9448
ABHD8	191.1065	ABHD8	121.8896
ABI1	1453.9636	ABI1	1427.0126
ABI2	1825.9324	ABI2	1190.6853
ABI3BP	635.4909	ABI3BP	3038.7226
ABI3	128.2286	ABI3	76.6467
ABL1	2260.7791	ABL1	2308.982
ABL2	1220.4675	ABL2	862.8077
ABLIM1	3347.3661	ABLIM1	7736.5269
ABLIM2	32.4987	ABLIM2	37.2588
ABLIM3	1265.6831	ABLIM3	5203.992
ABO	5.2987	ABO	26.0812
ABP1	5.2987	removed	removed
ABR	1534.1506	ABR	1370.0599
ABT1	425.3091	ABT1	382.7013
ABTB1	275.1792	ABTB1	868.6627
ABTB2	23.6675	ABTB2	57.485
ACAA1	1056.9142	ACAA1	1202.9275
ACAA2	706.1402	ACAA2	5292.8809
ACACA	6200.5399	ACACA	4439.1218
ACACB	377.6208	ACACB	19603.992
ACAD10	652.4467	ACAD10	492.8809
ACAD11	494.5454	ACAD11	1310.4405
ACAD8	536.2285	ACAD8	657.8842
ACAD9	669.4979	ACAD9	1292.8756
removed	removed	ACADL	960.7452
ACADM	1509.7765	ACADM	3537.9907
ACADSB	4981.1322	ACADSB	2022.0892
ACADS	258.9299	ACADS	1587.2255
ACADVL	2056.2351	ACADVL	6070.499
ACAN	8.4779	removed	removed
ACAP1	155.7818	ACAP1	31.9361
ACAP2	1561.3506	ACAP2	2049.7671
ACAP3	882.7636	ACAP3	235.316
ACAT1	902.5454	ACAT1	5067.7312
ACAT2	196.2745	ACAT2	367.8935
ACBD3	1757.4025	ACBD3	1399.8669
ACBD4	314.7428	ACBD4	197.4717
ACBD5	812.4675	ACBD5	1269.4611
ACBD6	289.3091	ACBD6	315.6354
ACBD7	124.3429	ACBD7	18.0971
ACCN2	33.2052	ACCN2	114.4378
ACCN3	21.9013	removed	removed
ACCS	282.9506	ACCS	262.4085
ACD	180.5091	ACD	266.6667
removed	removed	ACE2	14.3713
ACER2	495.9584	ACER2	650.9647
ACER3	377.974	ACER3	1450.9647
ACE	303.4389	ACE	652.0293
ACHE	8.8312	ACHE	7.984
ACIN1	6193.475	ACIN1	2179.6407
ACLY	4877.9842	ACLY	2506.4538
ACN9	205.2364	ACN9	192.149
ACO1	558.4831	ACO1	9156.6201
ACO2	1248.3987	ACO2	4574.5842
ACOT11	27.5532	ACOT11	15.9681
ACOT13	484.9053	ACOT13	798.6534
ACOT1	529.5169	ACOT1	2148.2369
ACOT2	438.026	ACOT2	1354.0918
ACOT4	227.4909	ACOT4	212.9075
removed	removed	ACOT6	19.6939
ACOT7	133.174	ACOT7	132.5349
ACOT8	236.5164	ACOT8	175.1697
ACOT9	220.0727	ACOT9	531.2043
ACOX1	1885.8395	ACOX1	3939.8536
ACOX2	32.4987	ACOX2	600.9315
ACOX3	1067.1584	ACOX3	322.5549
ACP1	1677.5687	ACP1	1243.9122
ACP2	1427.4665	ACP2	527.4784
ACP5	772.9039	ACP5	102.1956
ACP6	314.7428	ACP6	331.6035
ACPL2	881.7039	ACPL2	270.3925
ACPP	115.5117	ACPP	20.7585
ACRBP	30.7325	ACRBP	13.3067
ACRC	25.4338	ACRC	49.501
removed	removed	ACR	9.0486
removed	removed	ACSBG1	22.8876
ACSBG2	9.8909	removed	removed
ACSF2	406.9402	ACSF2	866.0013
ACSF3	247.626	ACSF3	281.0379
ACSL1	755.948	ACSL1	38894.4777
ACSL3	4672.0413	ACSL3	2261.6101
ACSL4	638.6701	ACSL4	4142.1158
ACSL5	752.4155	ACSL5	965.0033
ACSL6	12.3636	ACSL6	5.855
ACSM1	155.0753	ACSM1	14.3713
removed	removed	ACSM2A	9.0486
ACSM3	169.4065	ACSM3	47.0206
ACSM5	14.1299	ACSM5	1272.1224
ACSS1	2507.6986	ACSS1	419.9601
ACSS2	618.535	ACSS2	6773.1204
ACSS3	98.9091	ACSS3	3458.6826
ACTA1	39.2104	removed	removed
ACTA2	4467.7411	ACTA2	7685.3067
ACTB	57579.2178	ACTB	48744.1118
removed	removed	ACTC1	6.3872
ACTG1	39370.4083	ACTG1	26202.5283
ACTG2	327.4597	ACTG2	1153.9587
ACTL6A	836.4883	ACTL6A	653.6261
ACTN1	3370.3271	ACTN1	3245.7751
ACTN4	6899.1878	ACTN4	4798.9195
ACTR10	1226.1194	ACTR10	1366.8663
ACTR1A	2018.4518	ACTR1A	2452.1623
ACTR1B	917.0285	ACTR1B	1214.1051
ACTR2	6821.9009	ACTR2	4967.6647
ACTR3B	233.4961	ACTR3B	157.0193
ACTR3C	43.4493	ACTR3C	25.0166
ACTR3	2663.8336	ACTR3	2500.5988
ACTR5	182.9818	ACTR5	172.9874
ACTR6	725.922	ACTR6	743.0472
ACTR8	367.3766	ACTR8	416.7665
ACVR1B	1321.496	ACVR1B	884.6307
ACVR1C	12.3636	ACVR1C	8897.9375
ACVR1	994.0363	ACVR1	2117.3653
ACVR2A	352.5402	ACVR2A	671.7232
ACVR2B	582.8571	ACVR2B	457.7512
ACVRL1	270.2338	ACVRL1	941.5835
ACY1	706.1438	ACY1	913.9055
ACY3	89.3714	removed	removed
ACYP1	90.4312	ACYP1	41.517
ACYP2	145.8909	ACYP2	215.0366
ADAL	206.2961	ADAL	341.1843
ADAM10	2110.6492	ADAM10	1481.8363
ADAM11	9.5377	ADAM11	9.0486
ADAM12	2590.3583	ADAM12	942.1158
ADAM15	3400.7063	ADAM15	2006.7438
ADAM17	684.9454	ADAM17	601.996
ADAM19	322.5143	ADAM19	166.6001
ADAM21	10.9506	removed	removed
ADAM22	203.1169	ADAM22	99.002
ADAM23	20.4883	ADAM23	20.2262
ADAM28	279.0649	ADAM28	39.9202
ADAM32	10.2442	ADAM32	29.2748
ADAM33	76.6545	ADAM33	523.7525
ADAM6	7804.3614	ADAM6	57958.0253
ADAM8	673.2883	ADAM8	31.4039
ADAM9	1012.0519	ADAM9	2054.5576
ADAMDEC1	102.4416	removed	removed
ADAMTS10	82.3065	ADAMTS10	75.5822
ADAMTS12	211.948	ADAMTS12	585.4957
ADAMTS13	114.4519	ADAMTS13	32.4684
ADAMTS14	55.813	removed	removed
ADAMTS15	278.7117	ADAMTS15	222.4884
ADAMTS16	223.2519	ADAMTS16	145.3094
ADAMTS17	22.2545	ADAMTS17	23.4198
ADAMTS18	8.8312	ADAMTS18	172.9874
ADAMTS1	950.2337	ADAMTS1	4714.837
ADAMTS2	365.9636	ADAMTS2	496.0745
ADAMTS3	22.961	ADAMTS3	215.0366
ADAMTS4	219.3662	ADAMTS4	126.1477
ADAMTS5	379.387	ADAMTS5	4006.3872
ADAMTS6	89.3714	ADAMTS6	28.7425
ADAMTS7	63.9377	ADAMTS7	82.5017
ADAMTS8	11.6571	ADAMTS8	17.0326
ADAMTS9	186.8675	ADAMTS9	794.145
ADAMTSL1	108.0935	ADAMTSL1	456.1544
ADAMTSL2	96.7896	ADAMTSL2	66.5336
ADAMTSL3	88.6649	ADAMTSL3	525.3493
ADAMTSL4	525.6311	ADAMTSL4	1273.7192
ADAMTSL5	57.9325	ADAMTSL5	8.5163
ADAP1	185.1331	ADAP1	17.6394
ADAP2	211.948	ADAP2	144.7771
ADARB1	533.7558	ADARB1	611.0446
ADAR	8497.3502	ADAR	5695.2761
ADAT1	293.1948	ADAT1	248.5695
ADAT2	91.4909	ADAT2	112.841
ADAT3	13.4234	ADAT3	9.5808
ADA	67.1169	ADA	164.4711
ADCK1	243.7402	ADCK1	96.3407
ADCK2	938.2233	ADCK2	632.8676
ADCK4	491.3662	ADCK4	299.1351
ADCK5	83.3662	ADCK5	36.1943
ADCY1	582.5039	ADCY1	241.65
ADCY2	329.9325	ADCY2	63.34
ADCY3	358.7397	ADCY3	1347.5768
ADCY4	118.3377	ADCY4	522.688
ADCY5	199.9377	ADCY5	670.6587
ADCY6	3042.1609	ADCY6	4772.8543
ADCY7	470.5247	ADCY7	352.3619
ADCY9	3147.4284	ADCY9	669.0619
removed	removed	ADCYAP1R1	125.6154
ADCYAP1	14.8364	ADCYAP1	11.7099
ADC	256.8104	ADC	94.2116
ADD1	5348.8621	ADD1	7455.489
ADD2	19.4286	ADD2	24.4844
ADD3	1004.2805	ADD3	4993.2136
removed	removed	ADH1A	1916.173
ADH1B	193.9325	ADH1B	207319.7552
ADH1C	9.8909	ADH1C	553.0273
removed	removed	ADH4	6.9195
ADH5	1859.1376	ADH5	6732.668
removed	removed	ADH6	11.1776
ADHFE1	224.6649	ADHFE1	1176.8463
ADI1	2974.6908	ADI1	1952.8942
ADIPOQ	84.426	ADIPOQ	157965.6687
ADIPOR1	2160.1038	ADIPOR1	2726.813
ADIPOR2	1453.9636	ADIPOR2	4124.0186
ADK	334.5247	ADK	479.0419
ADM2	135.6467	ADM2	12.2422
ADM	32.8519	ADM	685.0299
ADNP2	1388.9662	ADNP2	757.9508
ADNP	4705.2465	ADNP	2624.6174
ADORA1	16.9558	ADORA1	309.7804
ADORA2A	170.8902	ADORA2A	44.7106
ADORA2B	19.4286	ADORA2B	23.9521
ADORA3	166.3792	ADORA3	61.2109
ADO	599.1065	ADO	582.8343
ADPGK	1147.084	ADPGK	790.4192
ADPRHL1	268.8208	ADPRHL1	61.7432
ADPRHL2	431.6675	ADPRHL2	343.8456
ADPRH	266.7013	ADPRH	396.008
removed	removed	ADRA1A	201.7299
removed	removed	ADRA1B	63.8723
removed	removed	ADRA1D	6.3872
