gene_id	TCGA-E2-A15K-01A-11R-A12P-07	gene_id	TCGA-E2-A15K-11A-13R-A12P-07
?|100133144	6.6022	removed	removed
?|10357	150.9559	?|10357	79.7882
?|10431	1037.2213	?|10431	843.0429
?|155060	194.4312	?|155060	146.8464
removed	removed	?|390284	8.1849
?|57714	502.5356	?|57714	100.1444
?|645851	8.803	removed	removed
?|652919	7.4213	removed	removed
?|653553	323.414	?|653553	857.0053
?|8225	530.4756	?|8225	823.3028
?|90288	91.4745	?|90288	19.2585
A1BG	197.6194	A1BG	229.7737
A2LD1	33.2523	A2LD1	69.8074
removed	removed	A2ML1	11.0737
A2M	6744.235	A2M	41819.7304
A4GALT	140.8478	A4GALT	1610.0144
AAAS	978.6623	AAAS	826.6731
AACS	939.623	AACS	856.0424
removed	removed	AADACL2	8.1849
AADAT	10.7167	AADAT	38.5171
AAGAB	1915.6062	AAGAB	860.3755
AAK1	686.2501	AAK1	815.5994
AAMP	2463.6877	AAMP	2804.5258
AARS2	562.239	AARS2	419.8363
AARSD1	583.6762	AARSD1	611.9403
AARS	1635.8243	AARS	2741.454
AASDHPPT	511.7214	AASDHPPT	462.2051
AASDH	317.6729	AASDH	228.2138
AASS	188.6901	AASS	261.9162
AATF	1154.3393	AATF	1194.0299
AATK	40.5703	AATK	128.5508
ABAT	6345.8042	ABAT	232.5469
removed	removed	ABCA10	265.2865
ABCA11P	90.3416	ABCA11P	98.4882
ABCA12	912.0658	ABCA12	13.481
ABCA17P	8.0375	ABCA17P	8.6663
ABCA1	377.3802	ABCA1	1275.8787
ABCA2	1308.2002	ABCA2	1675.975
ABCA3	4014.1613	ABCA3	1079.923
ABCA4	425.9879	ABCA4	38.9986
ABCA5	44.0149	ABCA5	400.5778
ABCA6	66.2138	ABCA6	669.7159
ABCA7	638.7905	ABCA7	443.9095
ABCA8	96.0674	ABCA8	1969.6678
ABCA9	25.2607	ABCA9	1004.3332
ABCB10	663.6685	ABCB10	214.7328
ABCB1	71.1894	ABCB1	190.6596
ABCB4	34.4465	ABCB4	33.221
removed	removed	ABCB5	62.1088
ABCB6	490.9119	ABCB6	546.3987
ABCB7	417.9504	ABCB7	427.5397
ABCB8	1194.5268	ABCB8	619.6437
ABCB9	458.8154	ABCB9	178.6423
ABCC10	375.0837	ABCC10	477.6119
ABCC11	433.26	ABCC11	10.5922
ABCC1	1871.5912	ABCC1	882.5229
removed	removed	ABCC2	9.1478
ABCC3	274.0408	ABCC3	861.3385
ABCC4	83.8197	ABCC4	120.8474
ABCC5	2245.5267	ABCC5	630.7174
removed	removed	ABCC6P1	7.222
removed	removed	ABCC6P2	29.8507
ABCC6	58.559	ABCC6	235.9172
ABCC8	176.4424	ABCC8	10.1107
ABCC9	158.8365	ABCC9	507.4627
ABCD1	525.1172	ABCD1	552.7203
ABCD2	28.3226	ABCD2	57.2942
ABCD3	3068.0318	ABCD3	696.6779
ABCD4	659.0757	ABCD4	1025.999
ABCE1	1229.7388	ABCE1	811.2662
ABCF1	1897.2347	ABCF1	1621.5696
ABCF2	1309.7311	ABCF2	1163.2162
ABCF3	1175.7727	ABCF3	1196.9186
ABCG1	2075.2081	ABCG1	951.3722
ABCG2	24.1125	ABCG2	148.7723
removed	removed	ABCG4	10.5922
ABHD10	855.4205	ABHD10	614.3476
ABHD11	574.4905	ABHD11	520.9437
ABHD12	2079.0355	ABHD12	1385.6524
ABHD13	456.2243	ABHD13	379.3934
ABHD14A	316.1611	ABHD14A	673.5676
ABHD14B	1839.8239	ABHD14B	3357.246
ABHD15	612.3816	ABHD15	461.2422
ABHD1	33.681	ABHD1	29.8507
ABHD2	2601.4735	ABHD2	1559.9422
ABHD3	2346.187	ABHD3	144.9206
ABHD4	1498.4212	ABHD4	1242.1762
ABHD5	756.2913	ABHD5	779.0082
ABHD6	249.1628	ABHD6	401.5407
ABHD8	309.6354	ABHD8	565.7198
ABI1	1304.1891	ABI1	1060.0818
ABI2	1102.6696	ABI2	989.8893
ABI3BP	763.946	ABI3BP	1687.0486
ABI3	185.6282	ABI3	526.7212
ABL1	2082.4801	ABL1	2967.2605
ABL2	605.4923	ABL2	563.7939
ABLIM1	1745.6703	ABLIM1	6615.792
ABLIM2	15.6923	ABLIM2	230.1396
ABLIM3	1011.1951	ABLIM3	2616.2735
ABO	75.3995	ABO	14.4439
ABP1	33.2982	ABP1	15.8883
ABR	1747.2012	ABR	2606.1627
ABT1	573.725	ABT1	724.6028
ABTB1	270.5961	ABTB1	1657.6793
ABTB2	35.2119	ABTB2	100.6259
ACAA1	1729.2125	ACAA1	1684.6413
ACAA2	802.2199	ACAA2	2324.025
ACACA	1419.1943	ACACA	884.9302
ACACB	97.5983	ACACB	3473.7602
ACAD10	549.9952	ACAD10	510.8329
ACAD11	231.5223	ACAD11	361.5792
ACAD8	213.9508	ACAD8	457.8719
ACAD9	872.2419	ACAD9	993.7362
removed	removed	ACADL	76.5527
ACADM	1028.8011	ACADM	461.2422
ACADSB	1540.1397	ACADSB	404.4295
ACADS	599.3685	ACADS	1390.467
ACADVL	4697.3266	ACADVL	9759.1671
ACAN	34.4465	ACAN	13.481
ACAP1	285.1402	ACAP1	176.6972
ACAP2	1030.332	ACAP2	629.7545
ACAP3	982.7423	ACAP3	743.9191
ACAT1	740.599	ACAT1	1609.0515
ACAT2	651.9185	ACAT2	235.9846
ACBD3	2329.7292	ACBD3	733.7506
ACBD4	287.4366	ACBD4	505.0554
ACBD5	759.3532	ACBD5	391.4299
ACBD6	578.7006	ACBD6	490.13
removed	removed	ACBD7	33.221
removed	removed	ACCN1	8.6663
ACCN2	136.6376	ACCN2	105.922
ACCN3	43.2494	ACCN3	12.9995
ACCS	81.5233	ACCS	350.5055
ACD	231.5568	ACD	553.2017
removed	removed	ACE2	17.8142
ACER2	208.2097	ACER2	50.5537
ACER3	271.3616	ACER3	230.6211
ACE	520.9071	ACE	1238.3245
ACHE	29.0881	ACHE	27.9249
ACIN1	5251.1721	ACIN1	3098.7
ACLY	3656.6836	ACLY	2106.8849
ACMSD	53.2007	removed	removed
ACN9	104.8703	ACN9	121.8103
ACO1	333.748	ACO1	2268.1753
ACO2	3701.6821	ACO2	2376.3842
ACOT11	136.8864	ACOT11	57.1979
ACOT13	630.9521	ACOT13	558.079
ACOT1	483.3987	ACOT1	720.7511
ACOT2	362.0706	ACOT2	319.2104
ACOT4	540.044	ACOT4	96.2927
removed	removed	ACOT6	5.2961
ACOT7	649.1245	ACOT7	502.1666
ACOT8	380.1665	ACOT8	375.4983
ACOT9	206.296	ACOT9	571.4974
ACOX1	1346.0913	ACOX1	1540.9244
ACOX2	2565.4961	ACOX2	311.507
ACOX3	689.6948	ACOX3	549.35
ACOXL	6.1238	removed	removed
ACP1	1549.3254	ACP1	983.1488
ACP2	1892.6419	ACP2	1406.8368
ACP5	2395.1775	ACP5	1746.7501
ACP6	321.1176	ACP6	225.325
ACPL2	186.7764	ACPL2	227.7323
ACPP	57.4108	ACPP	21.6659
ACRBP	56.2626	ACRBP	21.6659
ACRC	18.7542	ACRC	43.8132
removed	removed	ACR	11.0737
ACSBG1	5.3583	ACSBG1	18.7771
ACSF2	898.67	ACSF2	1207.0294
ACSF3	278.6336	ACSF3	565.2383
ACSL1	394.2206	ACSL1	3851.2277
ACSL3	3029.7579	ACSL3	1556.572
ACSL4	360.9224	ACSL4	860.3755
ACSL5	928.9063	ACSL5	943.1873
ACSL6	7.6548	ACSL6	6.259
ACSM1	184.48	ACSM1	46.702
ACSM3	10.1464	ACSM3	61.5792
ACSM5	5.3583	ACSM5	175.7342
ACSS1	2270.4047	ACSS1	915.7439
ACSS2	670.1751	ACSS2	1597.9779
ACSS3	211.6544	ACSS3	166.105
removed	removed	ACTA1	33.7025
ACTA2	2326.4338	ACTA2	35353.4377
ACTB	93947.3735	ACTB	121987.4819
removed	removed	ACTC1	5.7776
ACTG1	56205.5306	ACTG1	83192.5855
ACTG2	19.5197	ACTG2	7721.714
ACTL6A	989.379	ACTL6A	501.6851
ACTL8	5.7411	removed	removed
ACTN1	4776.1937	ACTN1	11677.4194
removed	removed	ACTN2	5.2961
ACTN4	9586.0109	ACTN4	15974.4054
ACTR10	972.9213	ACTR10	1125.662
ACTR1A	2890.0584	ACTR1A	4030.8137
ACTR1B	1259.9751	ACTR1B	1968.7049
ACTR2	7129.6527	ACTR2	2812.2292
ACTR3B	171.0841	ACTR3B	153.1054
ACTR3C	24.878	ACTR3C	21.1844
ACTR3	4011.8649	ACTR3	2137.2171
ACTR5	240.3598	ACTR5	235.4357
ACTR6	510.1904	ACTR6	414.5402
ACTR8	450.1005	ACTR8	363.5051
ACVR1B	1196.0578	ACVR1B	899.8556
ACVR1C	22.1988	ACVR1C	185.3635
ACVR1	1184.1929	ACVR1	1038.5171
ACVR2A	167.2567	ACVR2A	499.2778
ACVR2B	335.2789	ACVR2B	275.8787
ACVRL1	484.1642	ACVRL1	2842.5614
ACY1	739.4316	ACY1	649.4945
ACY3	43.6322	ACY3	9.6293
ACYP1	134.3412	ACYP1	107.8479
ACYP2	84.5852	ACYP2	186.3264
removed	removed	ADAD2	8.9697
ADAL	291.264	ADAL	138.6615
ADAM10	1254.9995	ADAM10	746.2687
removed	removed	ADAM11	10.5922
ADAM12	2231.7482	ADAM12	356.7646
ADAM15	4768.9216	ADAM15	5273.1536
ADAM17	566.8357	ADAM17	373.6158
ADAM19	503.6839	ADAM19	154.5498
ADAM21P1	6.1238	removed	removed
ADAM21	19.5197	removed	removed
