gene_id	TCGA-E2-A15M-01A-11R-A12D-07	gene_id	TCGA-E2-A15M-11A-22R-A12D-07
?|100133144	13.1333	removed	removed
?|100134869	12.4443	?|100134869	6.2536
?|10357	116.9843	?|10357	89.5413
?|10431	887.5825	?|10431	629.0378
?|155060	74.2574	?|155060	102.5405
?|390284	8.2508	?|390284	10.1161
?|57714	1055.8993	?|57714	379.3539
?|645851	10.9323	removed	removed
?|652919	12.1844	?|652919	73.7602
?|653553	94.4719	?|653553	257.9607
?|729884	42.2855	removed	removed
?|8225	158.2096	?|8225	299.3448
?|90288	17.1205	?|90288	14.2545
A1BG	31.9967	A1BG	57.8641
A2LD1	55.5342	A2LD1	53.6429
A2ML1	977.104	removed	removed
A2M	28112.1473	A2M	47027.8009
A4GALT	161.3036	A4GALT	538.4527
AAAS	596.9472	AAAS	463.9614
AACS	602.5165	AACS	719.6229
AADAC	26.1964	AADAC	155.88
AADAT	29.2904	AADAT	30.8081
AAGAB	1857.0545	AAGAB	971.1461
AAK1	1719.6782	AAK1	1129.3252
AAMP	1394.5957	AAMP	1472.3531
AARS2	330.4229	AARS2	297.9653
AARSD1	276.8152	AARSD1	348.5458
AARS	2307.962	AARS	2161.168
AASDHPPT	766.7079	AASDHPPT	772.0428
AASDH	277.6403	AASDH	379.3539
AASS	290.2228	AASS	555.926
AATF	991.9554	AATF	799.1723
AATK	17.533	AATK	77.2503
ABAT	686.0561	ABAT	615.703
ABCA10	99.0099	ABCA10	300.2644
ABCA11P	128.2467	ABCA11P	71.3139
ABCA12	19.1832	ABCA12	28.9688
ABCA1	2359.7195	ABCA1	2105.0695
ABCA2	569.5132	ABCA2	1108.1734
ABCA3	1219.6782	ABCA3	803.3107
ABCA4	19.1832	ABCA4	37.2457
ABCA5	324.0512	ABCA5	696.172
ABCA6	673.8861	ABCA6	782.6187
ABCA7	132.8383	ABCA7	194.5051
ABCA8	1483.0858	ABCA8	3313.4843
ABCA9	532.1782	ABCA9	1265.8926
ABCB10	708.1271	ABCB10	430.3943
removed	removed	ABCB11	5.9777
ABCB1	241.1304	ABCB1	383.9522
ABCB4	59.6122	ABCB4	18.3929
ABCB5	7.8383	ABCB5	165.5363
ABCB6	214.1605	ABCB6	341.391
ABCB7	605.198	ABCB7	487.4123
ABCB8	348.8036	ABCB8	294.7465
ABCB9	88.9026	ABCB9	67.9021
ABCC10	355.8168	ABCC10	327.394
ABCC11	600.0413	ABCC11	153.121
ABCC13	16.9142	removed	removed
ABCC1	1011.3449	ABCC1	1216.6916
ABCC2	11.9637	ABCC2	16.5536
ABCC3	186.6749	ABCC3	771.1231
ABCC4	294.3482	ABCC4	163.697
ABCC5	1021.4521	ABCC5	522.8187
removed	removed	ABCC6P1	8.2768
ABCC6P2	5.1568	ABCC6P2	13.7947
ABCC6	24.7525	ABCC6	110.3575
ABCC8	79.4142	ABCC8	198.6435
ABCC9	1140.6766	ABCC9	993.6774
ABCD1	232.467	ABCD1	257.9607
ABCD2	151.4026	ABCD2	201.8623
ABCD3	4217.203	ABCD3	1531.6703
ABCD4	368.1931	ABCD4	690.1943
ABCE1	1757.8383	ABCE1	1343.1429
ABCF1	1663.5726	ABCF1	1181.2852
ABCF2	1025.165	ABCF2	982.6417
ABCF3	759.0759	ABCF3	727.8998
ABCG1	1420.5858	ABCG1	769.2838
ABCG2	257.8383	ABCG2	283.7108
ABHD10	3715.7591	ABHD10	568.801
ABHD11	288.9851	ABHD11	323.2555
ABHD12B	112.6238	removed	removed
ABHD12	1387.995	ABHD12	814.3465
ABHD13	606.8482	ABHD13	720.5426
ABHD14A	116.3366	ABHD14A	283.8395
ABHD14B	1018.7706	ABHD14B	1961.145
ABHD15	358.9109	ABHD15	461.6623
ABHD1	5.9818	ABHD1	22.0715
ABHD2	5158.4158	ABHD2	3092.3095
ABHD3	628.7129	ABHD3	249.224
ABHD4	715.1403	ABHD4	1087.0215
ABHD5	1097.3597	ABHD5	1137.602
