gene_id	TCGA-E2-A1BC-01A-11R-A12P-07	gene_id	TCGA-E2-A1BC-11A-32R-A12P-07
?|100133144	6.2212	removed	removed
?|100134869	7.3031	removed	removed
?|10357	66.2609	?|10357	74.1145
?|10431	1034.2084	?|10431	647.7617
?|155060	96.2609	?|155060	163.3672
?|390284	9.5465	?|390284	7.8473
?|57714	818.6158	?|57714	264.6692
?|645851	10.3421	removed	removed
?|652919	67.6531	?|652919	76.0692
?|653553	55.6881	?|653553	229.7129
?|8225	233.0947	?|8225	1077.2249
?|90288	109.7852	?|90288	28.5358
A1BG	69.3158	A1BG	27.109
A2LD1	91.2092	A2LD1	132.8554
A2M	10629.1169	A2M	27631.6176
A4GALT	167.0644	A4GALT	565.7214
AAAS	478.1225	AAAS	631.3537
AACS	1622.1161	AACS	4730.5154
removed	removed	AADACL2	8.5607
AADAC	31.8218	AADAC	179.0619
AADAT	31.8218	AADAT	63.4921
AAGAB	2141.607	AAGAB	405.9212
AAK1	1114.5585	AAK1	938.8265
AAMP	1864.7574	AAMP	3068.3075
AARS2	335.6722	AARS2	358.8086
AARSD1	521.8775	AARSD1	631.3537
AARS	1706.4439	AARS	2598.8942
AASDHPPT	1468.576	AASDHPPT	900.3032
AASDH	533.8107	AASDH	284.6442
AASS	597.4543	AASS	2699.4828
AATF	630.8671	AATF	1298.377
AATK	33.4129	AATK	31.3893
ABAT	3732.6969	ABAT	505.7963
ABCA10	53.3015	ABCA10	305.5466
ABCA11P	119.634	ABCA11P	127.0697
ABCA12	6099.4431	removed	removed
ABCA17P	5.5688	removed	removed
ABCA1	1373.8266	ABCA1	6582.0225
ABCA2	649.9602	ABCA2	1607.99
ABCA3	1233.8902	ABCA3	1137.15
removed	removed	ABCA4	13.5545
ABCA5	402.5457	ABCA5	761.6907
ABCA6	378.6794	ABCA6	2246.4776
ABCA7	209.2283	ABCA7	399.5006
ABCA8	466.9849	ABCA8	3303.0141
ABCA9	260.9387	ABCA9	2297.842
ABCB10	476.5314	ABCB10	609.2385
ABCB11	15.9109	ABCB11	125.5573
ABCB1	68.4169	ABCB1	143.3922
ABCB4	17.502	ABCB4	12.8411
removed	removed	ABCB5	27.109
ABCB6	316.2291	ABCB6	884.259
ABCB7	599.8409	ABCB7	926.6988
ABCB8	265.712	ABCB8	400.214
ABCB9	205.4336	ABCB9	44.6371
ABCC10	266.5076	ABCC10	279.6504
ABCC11	6233.0947	ABCC11	13.5545
ABCC12	70.8035	removed	removed
ABCC13	14.3198	removed	removed
ABCC1	872.7128	ABCC1	493.6686
ABCC2	9.5465	ABCC2	10.7009
ABCC3	161.4956	ABCC3	15.6947
ABCC4	111.3763	ABCC4	69.9126
ABCC5	1530.6285	ABCC5	306.046
removed	removed	ABCC6P1	10.7009
ABCC6P2	15.1154	ABCC6P2	14.9813
ABCC6	42.9594	ABCC6	136.2582
ABCC8	371.5195	removed	removed
ABCC9	723.9459	ABCC9	2388.443
ABCD1	209.2283	ABCD1	1513.1086
ABCD2	134.4471	ABCD2	1144.9973
ABCD3	2621.3206	ABCD3	933.8327
ABCD4	385.8393	ABCD4	763.3315
ABCE1	1517.1042	ABCE1	1429.6415
ABCF1	1498.8067	ABCF1	1426.7879
ABCF2	714.3994	ABCF2	913.1443
ABCF3	1030.2307	ABCF3	1234.1716
ABCG1	656.3246	ABCG1	435.8837
ABCG2	56.4837	ABCG2	34.9563
