gene_id	TCGA-E2-A1IG-01A-11R-A144-07	gene_id	TCGA-E2-A1IG-11A-22R-A144-07
?|100133144	8.3719	?|100133144	7.4987
?|100134869	7.8685	?|100134869	6.7795
?|10357	112.7081	?|10357	102.3903
?|10431	808.3638	?|10431	709.1486
?|155060	140.4791	?|155060	154.9445
?|388795	5.2781	removed	removed
removed	removed	?|390284	10.0476
?|57714	552.5782	?|57714	888.9476
?|645851	17.8644	?|645851	9.5188
removed	removed	?|652919	21.7715
?|653553	555.4202	?|653553	147.541
?|8225	498.173	?|8225	573.2417
?|90288	14.6163	?|90288	28.0275
A1BG	176.0901	A1BG	60.2961
A2LD1	102.6269	A2LD1	73.5061
removed	removed	A2ML1	7.4035
A2M	15290.2436	A2M	38504.9339
A4GALT	377.1823	A4GALT	371.2322
AAAS	850.5887	AAAS	523.0037
AACS	949.6549	AACS	1718.6674
removed	removed	AADAC	70.862
AADAT	71.4576	AADAT	71.3908
AAGAB	1614.2915	AAGAB	686.4093
AAK1	682.501	AAK1	932.3109
AAMP	2664.2306	AAMP	2149.6563
AARS2	456.7519	AARS2	381.761
AARSD1	1393.4227	AARSD1	478.5828
AARS	7205.0345	AARS	2953.9926
AASDHPPT	513.6013	AASDHPPT	708.6198
AASDH	297.1985	AASDH	316.7636
AASS	388.1445	AASS	843.9979
AATF	2276.8981	AATF	782.6547
AATK	25.9846	AATK	46.5362
ABAT	477.4665	ABAT	518.7731
removed	removed	ABCA10	382.3374
ABCA11P	102.6228	ABCA11P	74.5479
ABCA12	60.0893	ABCA12	54.9974
removed	removed	ABCA13	41.7768
ABCA17P	5.2781	removed	removed
ABCA1	784.8153	ABCA1	3526.1185
ABCA2	1229.8011	ABCA2	2495.505
ABCA3	1573.6906	ABCA3	1270.2274
ABCA4	11.3683	ABCA4	39.1327
ABCA5	439.7077	ABCA5	963.5114
ABCA6	59.2773	ABCA6	846.642
ABCA7	290.2964	ABCA7	464.3046
ABCA8	10.5562	ABCA8	2547.3295
ABCA9	12.5863	ABCA9	958.2232
ABCB10	328.0552	ABCB10	395.5579
removed	removed	ABCB11	20.624
ABCB1	14.2103	ABCB1	241.6711
ABCB4	41.0069	ABCB4	16.3934
removed	removed	ABCB5	69.2755
ABCB6	279.3829	ABCB6	735.6108
ABCB7	380.0244	ABCB7	502.9085
ABCB8	786.0333	ABCB8	471.7081
ABCB9	114.324	ABCB9	100.8408
ABCC10	699.5534	ABCC10	457.4299
ABCC11	6.9022	ABCC11	805.394
removed	removed	ABCC12	5.817
ABCC1	1298.0106	ABCC1	1306.716
removed	removed	ABCC2	16.3934
ABCC3	840.4385	ABCC3	601.798
ABCC4	73.8936	ABCC4	126.917
ABCC5	1438.8957	ABCC5	616.0762
ABCC6P2	21.1125	ABCC6P2	38.6039
ABCC6	57.6533	ABCC6	778.9529
ABCC8	51.1571	ABCC8	30.1428
ABCC9	295.1685	ABCC9	2074.0349
ABCD1	309.3788	ABCD1	759.3866
ABCD2	6.0901	ABCD2	792.7023
ABCD3	975.2335	ABCD3	1314.6483
ABCD4	811.2058	ABCD4	597.0386
ABCE1	1365.002	ABCE1	1492.3321
ABCF1	2257.4097	ABCF1	1526.7054
ABCF2	1569.6305	ABCF2	1063.9873
ABCF3	1507.9172	ABCF3	1057.6415
ABCG1	1153.0654	ABCG1	637.7578
ABCG2	64.5554	ABCG2	241.6711
ABHD10	500.609	ABHD10	505.0238
ABHD11	915.9562	ABHD11	450.5553
ABHD12B	18.2704	ABHD12B	10.5764
ABHD12	1531.8717	ABHD12	841.8826
ABHD13	475.4365	ABHD13	553.1465
ABHD14A	260.2517	ABHD14A	310.4178
ABHD14B	2439.3017	ABHD14B	2944.4738
ABHD15	695.8993	ABHD15	860.3913
ABHD1	11.7743	ABHD1	42.8345
ABHD2	47284.6123	ABHD2	3217.8741
ABHD3	195.6963	ABHD3	258.5933
ABHD4	1637.84	ABHD4	1138.551
ABHD5	877.3853	ABHD5	1624.0085
ABHD6	167.2757	ABHD6	372.8186
ABHD8	280.5522	ABHD8	168.165
ABI1	1497.767	ABI1	1289.2173
ABI2	1531.0597	ABI2	1360.6557
ABI3BP	73.8936	ABI3BP	1562.6653
ABI3	184.3281	ABI3	202.0095
ABL1	2349.9797	ABL1	3116.3406
ABL2	1454.324	ABL2	1271.285
ABLIM1	1020.7065	ABLIM1	7343.2047
ABLIM2	143.7272	ABLIM2	88.3131
ABLIM3	278.5221	ABLIM3	2966.6843
removed	removed	ABO	20.0952
ABR	1356.0698	ABR	2267.0545
ABT1	447.0158	ABT1	434.6906
ABTB1	889.5656	ABTB1	755.156
ABTB2	59.6833	ABTB2	92.0148
ACAA1	920.4222	ACAA1	1420.9413
ACAA2	870.8892	ACAA2	2623.4796
ACACA	3181.892	ACACA	3798.5193
ACACB	108.4044	ACACB	18000.5288
ACAD10	670.3207	ACAD10	595.4521
ACAD11	244.0114	ACAD11	953.4638
ACAD8	1543.646	ACAD8	592.2792
ACAD9	649.2083	ACAD9	1327.0545
removed	removed	ACADL	386.568
ACADM	689.8092	ACADM	1855.1031
ACADSB	3905.3999	ACADSB	1640.9307
ACADS	324.8071	ACADS	1487.0439
ACADVL	2434.4174	ACADVL	7023.2364
ACAN	208.2826	ACAN	7.4035
ACAP1	39.3829	ACAP1	43.3633
ACAP2	977.2635	ACAP2	1472.7657
ACAP3	581.4495	ACAP3	450.0687
ACAT1	710.1096	ACAT1	2344.2623
ACAT2	539.8498	ACAT2	291.3379
ACBD3	2106.3743	ACBD3	1358.0116
ACBD4	615.9156	ACBD4	305.1296
ACBD5	963.8652	ACBD5	791.6446
ACBD6	549.3301	ACBD6	317.8213
ACBD7	21.5185	ACBD7	68.7467
ACCN1	203.4105	removed	removed
ACCN2	149.8173	ACCN2	117.927
ACCN3	77.9537	removed	removed
ACCN4	5.2781	removed	removed
ACCS	148.5993	ACCS	242.1999
ACD	498.985	ACD	287.6785
removed	removed	ACE2	36.4886
ACER1	5.6841	removed	removed
ACER2	153.8774	ACER2	228.4506
ACER3	146.1632	ACER3	948.1756
ACE	275.6801	ACE	1042.8345
ACHE	8.5262	ACHE	17.4511
ACIN1	3776.2891	ACIN1	2590.1639
ACLY	8144.5392	ACLY	3682.1787
