gene_id	TCGA-E2-A1L7-01A-11R-A144-07	gene_id	TCGA-E2-A1L7-11A-33R-A144-07
?|100133144	9.3461	?|100133144	8.6889
?|100134869	6.1822	?|100134869	8.8192
?|10357	255.999	?|10357	74.1857
?|10431	955.9626	?|10431	684.4463
?|155060	186.8252	?|155060	191.7752
?|390284	8.2494	removed	removed
?|57714	521.1695	?|57714	623.7785
removed	removed	?|645851	10.5863
?|653553	255.2469	?|653553	224.3485
?|729884	12.1315	?|729884	131.9218
?|8225	646.3666	?|8225	538.6808
?|90288	37.8503	?|90288	32.5733
A1BG	51.8937	A1BG	115.6596
A2LD1	56.6105	A2LD1	77.0073
removed	removed	A2ML1	24.0228
A2M	11425.908	A2M	47452.6914
A4GALT	393.546	A4GALT	470.684
AAAS	683.7317	AAAS	713.7622
AACS	348.9021	AACS	912.4593
AADAT	178.0905	AADAT	80.2117
AAGAB	2017.712	AAGAB	1139.2508
AAK1	823.9719	AAK1	973.127
AAMP	3152.7357	AAMP	2195.8469
AARS2	550.2754	AARS2	593.5912
AARSD1	342.1085	AARSD1	521.5798
AARS	1763.4356	AARS	2796.0098
AASDHPPT	634.2351	AASDHPPT	764.2508
AASDH	223.2197	AASDH	403.9088
AASS	113.5509	AASS	579.8046
AATF	1096.6881	AATF	981.6775
AATK	34.4535	AATK	73.2899
ABAT	99.4783	ABAT	727.1987
ABCA10	8.2494	ABCA10	110.7858
ABCA11P	250.8213	ABCA11P	199.9267
ABCA12	437.7047	ABCA12	85.9121
removed	removed	ABCA13	65.5537
removed	removed	ABCA17P	10.9935
ABCA1	474.5796	ABCA1	595.6596
ABCA2	1470.3385	ABCA2	1550.8958
ABCA3	437.7047	ABCA3	1061.0749
removed	removed	ABCA4	32.9805
ABCA5	464.8793	ABCA5	826.1034
ABCA6	97.052	ABCA6	309.4463
ABCA7	351.3284	ABCA7	327.7687
ABCA8	89.7731	ABCA8	684.8534
ABCA9	53.8639	ABCA9	263.8436
ABCB10	392.0903	ABCB10	367.2638
ABCB11	9.2199	removed	removed
ABCB1	66.9659	ABCB1	652.2801
ABCB4	12.1315	ABCB4	13.4365
removed	removed	ABCB5	52.9316
ABCB6	1044.4595	ABCB6	516.4984
ABCB7	365.8862	ABCB7	486.1564
ABCB8	484.775	ABCB8	467.0195
ABCB9	102.1958	ABCB9	163.2044
ABCC10	535.242	ABCC10	495.9283
ABCC11	1133.5679	ABCC11	171.0098
ABCC12	26.6893	removed	removed
ABCC13	872.4979	removed	removed
ABCC1	901.6135	ABCC1	1311.4821
removed	removed	ABCC2	12.6221
ABCC3	587.6501	ABCC3	954.3974
ABCC4	1183.5497	ABCC4	150.2443
ABCC5	481.3781	ABCC5	781.759
removed	removed	ABCC6P1	7.329
ABCC6P2	7.7642	ABCC6P2	9.772
ABCC6	8.7347	ABCC6	68.8111
ABCC8	799.2236	ABCC8	219.8697
ABCC9	96.5668	ABCC9	299.2671
ABCD1	376.0767	ABCD1	255.2932
ABCD2	32.9977	ABCD2	50.0814
ABCD3	1243.7219	ABCD3	1622.557
ABCD4	374.6209	ABCD4	820.4397
ABCE1	1243.7219	ABCE1	1653.9088
ABCF1	1678.0298	ABCF1	1541.1238
ABCF2	673.0559	ABCF2	1156.759
removed	removed	ABCF3	994.7068
ABCG1	1378.139	ABCG1	520.3583
ABCG2	39.3061	ABCG2	198.6971
ABHD10	410.0449	ABHD10	567.5896
ABHD11	614.3394	ABHD11	594.0554
ABHD12B	304.7434	removed	removed
ABHD12	1508.1888	ABHD12	790.7166
ABHD13	394.5166	ABHD13	506.9218
ABHD14A	202.3535	ABHD14A	260.8021
ABHD14B	624.5299	ABHD14B	1763.0293
ABHD15	168.3853	ABHD15	296.8241
ABHD1	12.1315	ABHD1	13.4365
ABHD2	27017.8333	ABHD2	4131.9218
ABHD3	701.6863	ABHD3	231.2704
ABHD4	1138.4205	ABHD4	697.4756
ABHD5	876.8652	ABHD5	1014.2508
ABHD6	58.2312	ABHD6	149.8371
ABHD8	344.0495	ABHD8	250.8143
ABI1	1403.5521	ABI1	1524.1938
ABI2	2805.2893	ABI2	1870.9283
ABI3BP	470.7024	ABI3BP	1176.3029
ABI3	215.9408	ABI3	320.4397
ABL1	2534.9994	ABL1	2646.5798
ABL2	927.3323	ABL2	1013.8436
ABLIM1	1415.9893	ABLIM1	4736.5635
ABLIM2	132.476	ABLIM2	128.2573
ABLIM3	84.4353	ABLIM3	1041.5309
removed	removed	ABO	23.6156
ABP1	14.5578	removed	removed
ABR	1668.3246	ABR	2683.6319
ABT1	656.5571	ABT1	534.202
ABTB1	472.1582	ABTB1	569.2182
ABTB2	512.9201	ABTB2	131.9218
ACAA1	867.16	ACAA1	1199.9186
ACAA2	2078.3695	ACAA2	975.57
ACACA	792.4299	ACACA	1560.2606
ACACB	401.7955	ACACB	1468.6482
ACAD10	468.7614	ACAD10	608.7134
ACAD11	306.6845	ACAD11	433.5953
ACAD8	348.4168	ACAD8	543.9739
