gene_id	TCGA-E2-A1LB-01A-11R-A144-07	gene_id	TCGA-E2-A1LB-11A-22R-A144-07
removed	removed	?|100134869	6.7759
?|10357	74.7838	?|10357	75.8705
?|10431	1386.0496	?|10431	553.8714
?|155060	65.5959	?|155060	239.2462
?|390284	6.7393	?|390284	7.7837
?|57714	283.4999	?|57714	452.6833
?|645851	16.6236	?|645851	9.0127
?|652919	21.1165	?|652919	40
?|653553	190.0483	?|653553	76.1983
?|729884	172.9754	removed	removed
?|8225	612.3779	?|8225	596.0672
?|90288	18.87	?|90288	13.1094
A1BG	40.7368	A1BG	95.9484
A2LD1	116.7112	A2LD1	107.374
A2M	8424.9759	A2M	19780.7948
A4GALT	131.641	A4GALT	161.4093
AAAS	546.3327	AAAS	686.1942
AACS	8954.7344	AACS	1930.7661
AADAC	13.9279	removed	removed
AADAT	473.9975	AADAT	104.4654
AAGAB	1739.6383	AAGAB	909.873
AAK1	1071.9982	AAK1	758.2958
AAMP	3320.2291	AAMP	2537.075
AARS2	491.0659	AARS2	656.2802
AARSD1	394.9231	AARSD1	687.4232
AARS	7596.0912	AARS	2576.8128
AASDHPPT	1107.4649	AASDHPPT	985.2519
AASDH	251.6006	AASDH	487.9148
AASS	62.9001	AASS	433.0193
AATF	539.5934	AATF	913.1503
AATK	29.2036	AATK	74.5596
ABAT	1190.6099	ABAT	496.5178
removed	removed	ABCA10	146.2515
ABCA11P	38.9621	ABCA11P	129.578
ABCA12	519.3755	ABCA12	10.6514
removed	removed	ABCA13	147.8902
removed	removed	ABCA17P	13.519
ABCA1	462.7654	ABCA1	710.7579
ABCA2	491.969	ABCA2	1920.5244
ABCA3	1763.4505	ABCA3	2453.9123
removed	removed	ABCA4	34.4121
ABCA5	584.9714	ABCA5	1248.2589
ABCA6	32.3486	ABCA6	210.9791
ABCA7	274.0649	ABCA7	243.7526
ABCA8	17.9715	ABCA8	253.5846
ABCA9	25.6093	ABCA9	146.6612
ABCB10	373.3573	ABCB10	466.2024
ABCB1	17.5222	ABCB1	320.3605
ABCB4	46.7258	ABCB4	11.4707
removed	removed	ABCB5	5.7354
