gene_id	TCGA-E2-A1LH-01A-11R-A14D-07	gene_id	TCGA-E2-A1LH-11A-22R-A14D-07
removed	removed	?|100133144	18.4332
?|100134869	12.1474	?|100134869	10.7954
?|10357	126.3207	?|10357	94.3747
?|10431	1411.5377	?|10431	583.6128
?|155060	178.2751	?|155060	187.8294
?|390284	6.9458	removed	removed
?|553137	7.7175	?|553137	11.0206
?|57714	227.6674	?|57714	374.2214
?|645851	14.6633	?|645851	10.0623
removed	removed	?|652919	79.1615
?|653553	728.5356	?|653553	74.2693
?|8225	432.1821	?|8225	547.1969
?|90288	7.7175	?|90288	42.1658
A1BG	229.7743	A1BG	121.2889
A2LD1	197.7002	A2LD1	78.9363
A2ML1	3200.4631	A2ML1	12.9372
A2M	28638.0861	A2M	19826.9765
A4GALT	1038.7806	A4GALT	154.7676
AAAS	737.0249	AAAS	709.631
AACS	788.7324	AACS	1245.8074
AADAT	13.1198	AADAT	48.874
AAGAB	578.8154	AAGAB	1275.9943
AAK1	680.6869	AAK1	961.6675
AAMP	6258.1516	AAMP	2600.8625
AARS2	430.6386	AARS2	588.3948
AARSD1	1030.2913	AARSD1	564.9257
AARS	3303.8781	AARS	2632.4868
AASDHPPT	643.6427	AASDHPPT	864.3987
AASDH	100.328	AASDH	488.2607
AASS	104.9585	AASS	520.3642
AATF	1170.7505	AATF	1087.2065
AATK	17.7581	AATK	89.6023
ABAT	96.4692	ABAT	919.0225
ABCA10	12.3481	ABCA10	77.1442
ABCA11P	28.5703	ABCA11P	147.3503
ABCA12	5.4023	ABCA12	146.1428
ABCA13	115.7631	ABCA13	28.7494
ABCA17P	33.9572	ABCA17P	10.0623
ABCA1	364.2678	ABCA1	999.5113
ABCA2	721.5898	ABCA2	1325.3474
ABCA3	2566.0814	ABCA3	1101.5812
removed	removed	ABCA4	62.7695
ABCA5	240.0154	ABCA5	1158.1217
ABCA6	61.7403	ABCA6	91.0398
ABCA7	630.5229	ABCA7	381.4087
ABCA8	30.0984	ABCA8	274.5568
ABCA9	20.0656	ABCA9	118.8309
ABCB10	469.2263	ABCB10	413.0331
ABCB1	65.5991	ABCB1	512.6977
ABCB4	13.8916	ABCB4	8.6248
removed	removed	ABCB5	12.9372
ABCB6	427.4899	ABCB6	455.8745
ABCB7	217.6346	ABCB7	462.8654
ABCB8	629.7511	ABCB8	428.8452
ABCB9	266.4094	ABCB9	160.7092
ABCC10	1065.0203	ABCC10	454.2405
ABCC11	96.4692	ABCC11	2307.1394
removed	removed	ABCC12	5.2707
ABCC1	870.5383	ABCC1	783.4212
removed	removed	ABCC2	11.0206
ABCC3	148.9485	ABCC3	619.0704
ABCC4	122.7089	ABCC4	79.54
ABCC5	612.7725	ABCC5	689.5065
removed	removed	ABCC6P1	10.5414
removed	removed	ABCC6P2	24.437
ABCC6	13.8916	ABCC6	176.8088
removed	removed	ABCC8	398.1792
ABCC9	87.9799	ABCC9	144.7053
ABCD1	1681.6516	ABCD1	244.8491
ABCD2	43.2182	ABCD2	51.7489
ABCD3	633.6099	ABCD3	1868.7111
ABCD4	378.1594	ABCD4	689.5065
ABCE1	1599.8456	ABCE1	1367.9923
ABCF1	1125.9888	ABCF1	1457.1155
ABCF2	1415.3965	ABCF2	1138.9554
ABCF3	870.5383	ABCF3	1091.5189
ABCG1	321.8213	ABCG1	525.1557
ABCG2	15.4351	ABCG2	379.4921
ABHD10	995.5624	ABHD10	771.4423
ABHD11	1033.3784	ABHD11	555.8218
ABHD12	2268.9562	ABHD12	954.001
ABHD13	717.731	ABHD13	518.4475
ABHD14A	455.3347	ABHD14A	272.4485
ABHD14B	1795.0994	ABHD14B	2717.7767
ABHD15	236.9284	ABHD15	345.9511
ABHD1	7.7175	ABHD1	23.9578
ABHD2	1328.1883	ABHD2	2573.5506
ABHD3	1020.2585	ABHD3	367.034
ABHD4	815.7438	ABHD4	1213.7039
ABHD5	766.3515	ABHD5	1082.8941
ABHD6	101.0997	ABHD6	130.3306
ABHD8	337.2564	ABHD8	269.2861
ABI1	2949.1491	ABI1	1562.5299
ABI2	635.1534	ABI2	1961.1883
ABI3BP	520.9338	ABI3BP	230.4744
ABI3	384.3334	ABI3	198.85
ABL1	1157.6307	ABL1	2190.7044
ABL2	1358.2867	ABL2	705.7978
ABLIM1	1548.9099	ABLIM1	4460.9487
ABLIM2	216.8628	ABLIM2	53.1864
ABLIM3	123.4806	ABLIM3	992.3335
ABO	11.5763	ABO	13.8955
ABP1	20.8374	removed	removed
ABR	1055.7592	ABR	2438.9075
ABT1	780.2431	ABT1	658.3613
ABTB1	812.6568	ABTB1	650.6948
ABTB2	240.0154	ABTB2	241.495
ACAA1	2833.88	ACAA1	1781.9837
ACAA2	701.5242	ACAA2	1114.9976
ACACA	583.4459	ACACA	2188.3086
ACACB	228.4391	ACACB	1318.6392
ACAD10	411.3448	ACAD10	570.1965
ACAD11	234.6132	ACAD11	361.2841
ACAD8	395.138	ACAD8	659.3196
ACAD9	896.7779	ACAD9	819.9425
ACADL	6.9458	ACADL	22.0412
ACADM	594.2504	ACADM	1157.6425
ACADSB	181.3621	ACADSB	2988.5002
ACADS	696.8937	ACADS	767.609
ACADVL	3962.9558	ACADVL	6241.4566
ACAN	5877.677	removed	removed
ACAP1	518.6186	ACAP1	110.206
ACAP2	405.9425	ACAP2	1250.1198
ACAP3	1089.7704	ACAP3	352.2425
ACAT1	755.547	ACAT1	1143.2678
ACAT2	681.6284	ACAT2	385.587
ACBD3	994.7907	ACBD3	1255.8697
ACBD4	179.0469	ACBD4	432.6785
ACBD5	882.8864	ACBD5	785.817
ACBD6	823.4613	ACBD6	320.0767
ACBD7	107.2738	ACBD7	68.9986
ACCN2	67.1426	ACCN2	123.6224
ACCN3	95.6975	ACCN3	6.229
ACCN4	23.9244	removed	removed
ACCS	169.7858	ACCS	319.1184
ACD	311.7885	ACD	419.2621
ACE2	6.9458	ACE2	23.4787
ACER2	11.5763	ACER2	183.517
ACER3	326.4519	ACER3	223.7662
ACE	334.9412	ACE	283.1816
ACHE	41.6747	ACHE	59.8946
ACIN1	4131.1981	ACIN1	3285.0982
ACLY	3118.6571	ACLY	3331.5764
removed	removed	ACMSD	8.1457
ACN9	226.8956	ACN9	135.1222
ACO1	735.4814	ACO1	1044.0824
ACO2	4099.7492	ACO2	2041.6148
ACOT11	72.3442	ACOT11	41.241
ACOT13	843.4189	ACOT13	540.8864
ACOT1	707.6982	ACOT1	411.1164
ACOT2	314.8756	ACOT2	291.8064
ACOT4	111.1325	ACOT4	114.9976
ACOT7	1444.7231	ACOT7	280.3067
ACOT8	709.126	ACOT8	238.1888
ACOT9	754.0035	ACOT9	326.3057
ACOX1	1153.0002	ACOX1	1579.1902
ACOX2	80.2624	ACOX2	252.5156
ACOX3	546.4017	ACOX3	951.126
ACOXL	12.3481	removed	removed
ACP1	1837.5458	ACP1	1391.471
ACP2	1350.5692	ACP2	907.5228
ACP5	2516.6892	ACP5	1293.2439
ACP6	175.9599	ACP6	398.1792
ACPL2	329.5389	ACPL2	552.4677
ACPP	10.8046	ACPP	90.5606
ACRBP	21.6091	ACRBP	11.0206
ACRC	23.1526	ACRC	32.1035
ACR	41.6747	ACR	8.1457
ACSBG1	11.5763	ACSBG1	9.104
ACSF2	247.733	ACSF2	1345.472
ACSF3	277.0596	ACSF3	417.8246
ACSL1	2938.0668	ACSL1	2328.7015
ACSL3	2506.6564	ACSL3	4157.1634
ACSL4	579.5871	ACSL4	938.1888
ACSL5	476.1721	ACSL5	820.7954
ACSL6	543.3147	ACSL6	17.2496
removed	removed	ACSM1	42.1658
ACSM3	13.3359	ACSM3	163.6943
ACSM5	22.3809	ACSM5	52.2281
ACSS1	993.2472	ACSS1	1535.218
ACSS2	566.4673	ACSS2	1455.1989
ACSS3	100.328	ACSS3	330.6181
ACTA1	90.2952	ACTA1	16.2913
ACTA2	10992.0741	ACTA2	22261.9837
removed	removed	ACTBL2	5.7499
ACTB	188365.8113	ACTB	67243.2726
ACTC1	68.6861	removed	removed
ACTG1	77240.9801	ACTG1	53064.6862
ACTG2	17338.2211	ACTG2	2641.1116
ACTL6A	923.0176	ACTL6A	909.4394
ACTL8	184.4492	removed	removed
ACTN1	12211.4605	ACTN1	8710.5894
ACTN2	81.8059	removed	removed
ACTN4	16164.6845	ACTN4	11889.5113
ACTR10	836.5811	ACTR10	1112.1227
