gene_id	TCGA-E2-A1LS-01A-12R-A157-07	gene_id	TCGA-E2-A1LS-11A-32R-A157-07
?|100133144	10.7307	removed	removed
?|100134869	8.7888	removed	removed
?|10357	136.1011	?|10357	121.4576
?|10431	1211.7117	?|10431	940.9314
?|155060	99.5996	?|155060	96.7243
?|390284	13.013	removed	removed
?|57714	78.0781	?|57714	578.4931
?|645851	7.007	removed	removed
removed	removed	?|652919	5.9406
?|653553	51.5516	?|653553	239.7726
?|729884	57.0571	removed	removed
?|8225	110.1101	?|8225	332.0499
?|90288	7.007	?|90288	31.8709
A1BG	67.5676	A1BG	7.7824
A2LD1	40.3754	A2LD1	113.1564
A2ML1	89.5896	removed	removed
A2M	15580.5105	A2M	28799.8473
A4GALT	23.5235	A4GALT	250.8903
AAAS	604.6046	AAAS	515.122
AACS	1555.0551	AACS	2042.3289
removed	removed	AADAC	163.4308
removed	removed	AADAT	111.1774
AAGAB	824.8248	AAGAB	628.1523
AAK1	378.3784	AAK1	1511.6421
AAMP	1183.6837	AAMP	1895.9454
AARS2	508.008	AARS2	293.1266
AARSD1	359.8599	AARSD1	579.2343
AARS	2132.6326	AARS	3261.9451
AASDHPPT	731.7317	AASDHPPT	852.3601
AASDH	281.7818	AASDH	357.9912
AASS	996.997	AASS	982.0671
AATF	560.0601	AATF	914.2489
AATK	29.029	AATK	27.7944
ABAT	238.7387	ABAT	275.3494
ABCA10	110.6106	ABCA10	365.7737
ABCA11P	139.1241	ABCA11P	119.2748
ABCA12	10.5105	removed	removed
ABCA13	849.8498	ABCA13	18.9002
ABCA17P	64.0641	removed	removed
ABCA1	532.5325	ABCA1	4460.9267
ABCA2	750.2503	ABCA2	1577.978
ABCA3	531.5315	ABCA3	1073.9737
removed	removed	ABCA4	21.1237
ABCA5	1362.8629	ABCA5	1170.6981
ABCA6	468.4685	ABCA6	1295.2168
ABCA7	69.5696	ABCA7	440.6331
ABCA8	7.5075	ABCA8	5559.6115
ABCA9	180.6807	ABCA9	1831.4625
ABCB10	982.983	ABCB10	526.2397
removed	removed	ABCB11	33.7238
ABCB1	35.035	ABCB1	111.9186
ABCB4	5.5055	ABCB4	33.7238
removed	removed	ABCB5	50.771
ABCB6	460.8759	ABCB6	711.213
ABCB7	354.8549	ABCB7	661.135
ABCB8	199.1992	ABCB8	422.1036
ABCB9	73.7638	ABCB9	42.4698
ABCC10	231.2312	ABCC10	251.2609
ABCC11	7.007	ABCC11	11.1177
ABCC1	832.8328	ABCC1	742.6651
removed	removed	ABCC2	12.9707
ABCC3	27.5275	ABCC3	17.0472
ABCC4	118.1181	ABCC4	72.6359
ABCC5	771.2713	ABCC5	333.9028
removed	removed	ABCC6P1	26.312
ABCC6P2	16.016	ABCC6P2	53.3652
ABCC6	6.5065	ABCC6	1336.3524
removed	removed	ABCC8	7.0412
ABCC9	63.0631	ABCC9	3485.4117
ABCD1	83.0831	ABCD1	486.2159
ABCD2	39.5395	ABCD2	1952.6458
ABCD3	601.1011	ABCD3	1369.7056
ABCD4	163.1632	ABCD4	576.6401
ABCE1	2455.4555	ABCE1	1347.0996
ABCF1	1273.7738	ABCF1	1542.4012
ABCF2	1490.991	ABCF2	1032.4675
ABCF3	565.0651	ABCF3	863.4779
ABCG1	315.3153	ABCG1	204.937
ABCG2	702.2022	ABCG2	49.2886
removed	removed	ABCG8	11.1177
ABHD10	1821.8218	ABHD10	642.6054
ABHD11	401.4014	ABHD11	159.3543
removed	removed	ABHD12B	24.0884
ABHD12	1012.5125	ABHD12	658.1702
ABHD13	684.6847	ABHD13	538.8398
ABHD14A	529.029	ABHD14A	469.9469
ABHD14B	1810.8108	ABHD14B	3748.5315
ABHD15	58.5586	ABHD15	1960.0577
ABHD1	26.026	ABHD1	77.083
ABHD2	1350.8509	ABHD2	2081.241
ABHD3	155.6557	ABHD3	466.5745
ABHD4	656.1562	ABHD4	1401.9471
ABHD5	2975.976	ABHD5	3233.039
ABHD6	82.5826	ABHD6	570.3401
ABHD8	112.1121	ABHD8	130.4482
ABI1	2667.7928	ABI1	1219.568
ABI2	1634.1341	ABI2	747.1122
ABI3BP	215.7157	ABI3BP	2561.1568
ABI3	69.0691	ABI3	77.8242
ABL1	1667.6677	ABL1	2943.2365
ABL2	1545.045	ABL2	963.1669
ABLIM1	1582.5826	ABLIM1	5581.1058
ABLIM2	5.5055	ABLIM2	58.1828
ABLIM3	15.5155	ABLIM3	3997.5689
removed	removed	ABO	40.0239
removed	removed	ABRA	15.1942
ABR	236.2362	ABR	1456.7946
ABT1	796.2963	ABT1	387.6386
ABTB1	118.1181	ABTB1	434.7037
ABTB2	245.2452	ABTB2	113.401
