gene_id	TCGA-E9-A1N4-01A-11R-A14M-07	gene_id	TCGA-E9-A1N4-11A-33R-A14M-07
?|100133144	6.8786	?|100133144	16.6243
?|100134869	6.1977	?|100134869	16.9392
?|10357	78.6134	?|10357	89.3146
?|10431	926.1983	?|10431	616.9154
?|155060	128.7894	?|155060	294.3491
?|390284	5.6746	?|390284	11.2868
?|57714	926.1983	?|57714	848.8899
?|645851	5.6746	?|645851	15.1481
?|652919	9.9824	removed	removed
?|653553	73.5235	?|653553	49.0087
removed	removed	?|728788	5.3464
?|8225	444.8417	?|8225	410.4849
?|90288	10.6091	?|90288	10.6928
A1BG	99.3751	A1BG	89.8998
A2LD1	124.1042	A2LD1	79.2604
removed	removed	A2ML1	6.8315
A2M	18397.815	A2M	17617.5421
A4GALT	152.2281	A4GALT	155.9367
AAAS	637.7791	AAAS	632.3606
AACS	996.021	AACS	1342.541
AADAT	18.751	AADAT	48.1176
AAGAB	1220.7857	AAGAB	872.3546
AAK1	946.6764	AAK1	935.6204
AAMP	1261.0015	AAMP	1721.5415
AARS2	504.0379	AARS2	562.5366
AARSD1	439.4138	AARSD1	528.6998
AARS	2149.9447	AARS	2018.8609
AASDHPPT	993.307	AASDHPPT	1103.6608
AASDH	375.5125	AASDH	586.0251
AASS	390.0692	AASS	796.3169
AATF	1181.8034	AATF	1068.9834
AATK	19.7378	AATK	33.8605
ABAT	1498.1024	ABAT	636.2219
ABCA10	11.3493	ABCA10	204.4286
ABCA11P	69.0158	ABCA11P	204.0128
ABCA12	6.4148	ABCA12	57.0283
removed	removed	ABCA13	44.8504
ABCA17P	5.4279	ABCA17P	8.6136
ABCA1	1770.946	ABCA1	618.0768
ABCA2	764.1013	ABCA2	1286.4038
ABCA3	1667.6011	ABCA3	1401.6485
ABCA4	58.2266	ABCA4	44.8504
ABCA5	498.6273	ABCA5	1973.3393
ABCA6	137.9182	ABCA6	294.6462
ABCA7	277.5634	ABCA7	244.4494
ABCA8	124.3484	ABCA8	237.9149
ABCA9	100.4163	ABCA9	345.734
ABCB10	611.133	ABCB10	586.3221
ABCB1	118.6738	ABCB1	450.8799
ABCB4	146.5535	ABCB4	10.0988
