gene_id	TCGA-E9-A1N9-01A-11R-A14D-07	gene_id	TCGA-E9-A1N9-11A-71R-A14D-07
?|100133144	16.7637	?|100133144	11.6943
removed	removed	?|100134869	7.884
?|10357	151.6459	?|10357	69.0248
?|10431	898.4268	?|10431	644.2018
?|155060	145.9489	?|155060	417.5452
?|390284	5.0014	?|390284	5.2711
?|57714	496.9537	?|57714	824.1717
?|645851	7.7294	?|645851	16.5663
?|652919	27.8712	?|652919	65.7455
?|653553	84.1138	?|653553	161.5211
removed	removed	?|729884	100.1506
?|8225	417.8412	?|8225	503.012
?|90288	9.0934	?|90288	14.6837
A1BG	25.4115	A1BG	62.4774
A2LD1	65.286	A2LD1	82.4172
A2ML1	180.0491	A2ML1	14.6837
A2M	11666.2908	A2M	19931.2764
A4GALT	139.1289	A4GALT	307.2289
AAAS	333.2727	AAAS	609.1867
AACS	433.3	AACS	8994.3524
removed	removed	AADAC	419.0512
AADAT	265.527	AADAT	378.7651
AAGAB	977.0847	AAGAB	973.6446
AAK1	775.2114	AAK1	1329.0663
AAMP	1859.5981	AAMP	2163.0271
AARS2	585.587	AARS2	570.6928
AARSD1	394.6531	AARSD1	467.244
AARS	2810.3119	AARS	2600.1506
AASDHPPT	826.5891	AASDHPPT	722.0934
AASDH	470.1282	AASDH	452.5602
AASS	144.1302	AASS	576.0542
AATF	1569.519	AATF	788.7801
AATK	55.4697	AATK	38.7801
ABAT	160.953	ABAT	689.3825
ABCA10	18.6414	ABCA10	516.9428
ABCA11P	248.4268	ABCA11P	90.93
ABCA12	141.4022	ABCA12	4403.6145
ABCA13	6.3654	ABCA13	9.7892
ABCA17P	28.1895	ABCA17P	8.6596
ABCA1	1107.111	ABCA1	1259.7063
ABCA2	356.9155	ABCA2	1316.6416
ABCA3	551.9687	ABCA3	4523.3434
ABCA4	9.0934	ABCA4	25.9789
ABCA5	201.8732	ABCA5	1192.7711
ABCA6	181.4131	ABCA6	836.2199
ABCA7	72.7471	ABCA7	340.3614
ABCA8	248.2495	ABCA8	2093.3735
ABCA9	128.6715	ABCA9	1270.3313
ABCB10	488.315	ABCB10	425.0753
ABCB1	237.7921	ABCB1	424.6988
ABCB4	15.0041	ABCB4	13.9307
removed	removed	ABCB5	64.3825
ABCB6	289.7245	ABCB6	1525.7342
ABCB7	502.8644	ABCB7	506.0241
ABCB8	352.3688	ABCB8	485.6928
ABCB9	47.1174	ABCB9	172.8916
ABCC10	620.6238	ABCC10	455.5723
ABCC11	62.2897	ABCC11	22457.8313
removed	removed	ABCC12	304.9699
ABCC1	1167.1365	ABCC1	2441.2651
ABCC2	101.3913	ABCC2	1086.9729
ABCC3	195.0532	ABCC3	625.753
ABCC4	107.302	ABCC4	637.4247
ABCC5	294.1711	ABCC5	674.6988
removed	removed	ABCC6P1	19.5783
ABCC6P2	7.7294	ABCC6P2	33.8855
ABCC6	15.9134	ABCC6	446.9127
ABCC8	529.6899	ABCC8	50.4518
ABCC9	319.178	ABCC9	984.1867
ABCD1	321.4513	ABCD1	496.2349
ABCD2	15.0041	ABCD2	240.5873
ABCD3	1601.8005	ABCD3	1570.7831
ABCD4	358.7342	ABCD4	768.0723
ABCE1	2839.4107	ABCE1	1393.0723
ABCF1	1778.6669	ABCF1	1647.2139
ABCF2	1202.146	ABCF2	1080.1958
ABCF3	928.8897	ABCF3	1082.8313
ABCG1	1604.5285	ABCG1	442.3946
ABCG2	233.7001	ABCG2	117.0934
ABHD10	625.1705	ABHD10	673.5693
ABHD11	3018.0958	ABHD11	940.512
ABHD12	1233.5182	ABHD12	1086.5964
ABHD13	398.2904	ABHD13	513.5542
ABHD14A	89.1152	ABHD14A	176.9578
ABHD14B	499.2271	ABHD14B	2597.5151
ABHD15	240.5201	ABHD15	468.75
ABHD1	6.3654	ABHD1	30.1205
ABHD2	2644.8122	ABHD2	2080.9488
ABHD3	566.0635	ABHD3	1080.1958
ABHD4	602.437	ABHD4	1387.0482
ABHD5	1043.4664	ABHD5	1250
ABHD6	110.03	ABHD6	401.7319
ABHD8	138.2195	ABHD8	163.0271
ABI1	2128.6123	ABI1	1510.9149
ABI2	3786.4872	ABI2	1378.012
ABI3BP	544.2393	ABI3BP	1234.5633
ABI3	137.3102	ABI3	127.6355
ABL1	3463.6719	ABL1	2892.6958
ABL2	1415.386	ABL2	914.9096
ABLIM1	2562.0624	ABLIM1	6070.4066
ABLIM2	104.1193	ABLIM2	68.1476
ABLIM3	225.516	ABLIM3	2088.4789
removed	removed	ABO	17.6958
ABR	1679.549	ABR	1932.9819
ABT1	488.7697	ABT1	428.8404
ABTB1	334.6367	ABTB1	595.256
ABTB2	227.3347	ABTB2	189.759
ACAA1	716.1044	ACAA1	2398.7199
ACAA2	1040.7384	ACAA2	1283.1325
ACACA	6082.1133	ACACA	10681.4759
ACACB	369.6463	ACACB	5069.2771
ACAD10	322.8153	ACAD10	603.5392
ACAD11	170.3692	ACAD11	500.2937
ACAD8	318.2686	ACAD8	848.2681
ACAD9	520.5965	ACAD9	814.0173
removed	removed	ACADL	457.8313
ACADM	601.073	ACADM	4984.5633
ACADSB	2499.7727	ACADSB	2241.3404
ACADS	116.8501	ACADS	589.2319
ACADVL	1770.4829	ACADVL	6736.378
ACAN	44.1029	removed	removed
ACAP1	76.3845	ACAP1	65.8886
ACAP2	1314.9041	ACAP2	1407.756
ACAP3	305.1059	ACAP3	683.302
ACAT1	604.2557	ACAT1	1346.762
ACAT2	909.6572	ACAT2	764.2395
ACBD3	1963.7174	ACBD3	1393.0723
ACBD4	85.9325	ACBD4	277.8614
ACBD5	1075.2933	ACBD5	870.8584
ACBD6	616.0771	ACBD6	308.7349
ACBD7	194.1439	ACBD7	14.6837
ACCN2	88.2059	ACCN2	84.3373
ACCN3	7.2747	ACCN3	15.8133
ACCS	53.1963	ACCS	347.1386
ACD	298.7178	ACD	320.4066
removed	removed	ACE2	25.6024
ACER1	9.5481	removed	removed
ACER2	81.3858	ACER2	346.009
ACER3	424.6613	ACER3	366.7169
ACE	400.1091	ACE	782.003
ACHE	27.2802	ACHE	39.5331
ACIN1	2512.0487	ACIN1	3501.1295
ACLY	7434.7549	ACLY	5644.5783
ACN9	130.4901	ACN9	143.4488
ACO1	419.6599	ACO1	2401.7319
ACO2	1922.8426	ACO2	2841.5437
ACOT11	10.4574	ACOT11	52.5339
ACOT13	716.1544	ACOT13	516.5926
ACOT1	224.152	ACOT1	834.0437
ACOT2	190.0518	ACOT2	557.5226
ACOT4	74.1111	ACOT4	137.0482
ACOT7	503.7738	ACOT7	169.4277
ACOT8	176.5345	ACOT8	220.2447
ACOT9	455.5788	ACOT9	477.4096
ACOX1	1596.5672	ACOX1	2398.5279
ACOX2	66.8364	ACOX2	234.9398
ACOX3	1841.4113	ACOX3	1337.7259
ACP1	1414.022	ACP1	1270.3313
ACP2	599.2543	ACP2	856.9277
ACP5	342.8208	ACP5	1216.1145
ACP6	199.1452	ACP6	1046.3102
ACPL2	669.7281	ACPL2	345.256
ACPP	84.1138	ACPP	135.9187
ACRBP	11.3667	ACRBP	10.1657
ACRC	6.3654	ACRC	23.7199
ACRV1	6.82	removed	removed
removed	removed	ACR	5.6476
removed	removed	ACSBG1	62.8765
ACSF2	772.4834	ACSF2	2259.7892
ACSF3	273.711	ACSF3	566.6416
ACSL1	1502.2279	ACSL1	21829.8193
ACSL3	3380.9221	ACSL3	32129.8946
ACSL4	595.617	ACSL4	1237.9518
ACSL5	423.2973	ACSL5	958.2078
ACSL6	27.7348	ACSL6	9.0361
ACSM1	9.0934	ACSM1	30029.744
ACSM3	33.2909	ACSM3	2845.9563
ACSM5	15.9134	ACSM5	282.756
ACSS1	839.3198	ACSS1	1673.9458
ACSS2	412.8399	ACSS2	2850.5271
ACSS3	82.2952	ACSS3	1524.0964
ACTA1	9.0934	removed	removed
ACTA2	5550.1182	ACTA2	14343.509
removed	removed	ACTBL2	7.5301
ACTB	56130.7629	ACTB	59166.4157
ACTG1	66486.7691	ACTG1	37225.1506
ACTG2	171.4104	ACTG2	3384.0361
ACTL6A	1381.2858	ACTL6A	739.0813
ACTL8	52.287	removed	removed
ACTN1	3454.5785	ACTN1	7180.7229
ACTN4	6427.2802	ACTN4	10281.7545
ACTR10	890.6975	ACTR10	996.988
ACTR1A	3595.5261	ACTR1A	2578.6898
ACTR1B	523.7792	ACTR1B	1320.7831
ACTR2	7991.725	ACTR2	5262.8012
ACTR3B	464.2175	ACTR3B	148.7199
ACTR3C	39.5562	ACTR3C	57.6054
ACTR3	3909.7026	ACTR3	2398.7199
ACTR5	265.0723	ACTR5	215.3614
ACTR6	485.587	ACTR6	769.9548
ACTR8	397.8358	ACTR8	387.4247
ACVR1B	1765.9362	ACVR1B	1106.1747
ACVR1C	8.6387	ACVR1C	746.6114
ACVR1	744.2939	ACVR1	1152.8614
