gene_id	TCGA-E9-A1NA-01A-11R-A144-07	gene_id	TCGA-E9-A1NA-11A-33R-A144-07
?|100133144	8.9147	?|100133144	6.9665
?|100134869	6.2369	removed	removed
?|10357	67.4861	?|10357	93.1275
?|10431	824.0569	?|10431	668.2651
?|155060	169.1404	?|155060	210.2235
?|390284	5.2566	removed	removed
?|57714	631.4162	?|57714	963.2684
?|645851	25.974	?|645851	8.8232
removed	removed	?|652919	31.0578
?|653553	1465.9864	?|653553	197.9476
?|729884	91.5275	removed	removed
?|8225	527.8293	?|8225	598.83
?|90288	23.8095	?|90288	15.7284
A1BG	213.9858	A1BG	74.7943
A2LD1	89.0816	A2LD1	76.605
A2ML1	5.5659	removed	removed
A2M	5332.6654	A2M	31529.2069
A4GALT	145.3309	A4GALT	654.4548
A4GNT	5.8751	removed	removed
AAAS	488.5591	AAAS	579.2654
AACS	1182.4366	AACS	980.1477
AADAT	196.0421	AADAT	80.5601
AAGAB	1401.979	AAGAB	933.7297
AAK1	911.2554	AAK1	1185.3841
AAMP	2149.0414	AAMP	2294.0443
AARS2	244.5887	AARS2	427.3444
AARSD1	271.1812	AARSD1	483.3605
AARS	8514.8423	AARS	3171.7656
AASDHPPT	729.128	AASDHPPT	647.166
AASDH	311.3791	AASDH	308.43
AASS	122.7582	AASS	498.7053
AATF	4536.4873	AATF	951.7599
AATK	17.0068	AATK	49.1033
ABAT	473.0983	ABAT	359.835
removed	removed	ABCA10	125.8272
ABCA11P	158.3735	ABCA11P	115.6421
ABCA12	1135.7452	ABCA12	7.6724
ABCA17P	21.9542	ABCA17P	5.3707
ABCA1	1254.1713	ABCA1	2498.8626
ABCA2	1445.5782	ABCA2	1798.408
ABCA3	2793.1354	ABCA3	1299.7027
ABCA4	74.8299	ABCA4	79.7928
ABCA5	262.5232	ABCA5	777.9802
ABCA6	49.4743	ABCA6	673.2521
ABCA7	127.0872	ABCA7	392.0591
ABCA8	21.9542	ABCA8	1383.3317
ABCA9	6.8027	ABCA9	913.0143
ABCB10	825.2938	ABCB10	385.9212
removed	removed	ABCB11	10.3577
ABCB1	12.3686	ABCB1	214.0597
ABCB4	21.0266	ABCB4	15.7284
removed	removed	ABCB5	97.0557
ABCB6	1045.0247	ABCB6	644.5421
ABCB7	435.6834	ABCB7	427.3521
ABCB8	585.9617	ABCB8	483.3605
ABCB9	279.162	ABCB9	116.2175
ABCC10	316.3265	ABCC10	436.5589
ABCC11	64.0074	ABCC11	42.1981
ABCC13	17.9344	removed	removed
ABCC1	1441.5584	ABCC1	1353.0258
ABCC2	213.3581	ABCC2	21.0991
ABCC3	812.9252	ABCC3	760.7174
ABCC4	195.4236	ABCC4	302.6757
ABCC5	2764.3785	ABCC5	672.8685
removed	removed	ABCC6P1	8.056
ABCC6P2	21.3358	ABCC6P2	16.4956
ABCC6	7.7304	ABCC6	247.8182
removed	removed	ABCC8	34.9094
ABCC9	122.7582	ABCC9	1089.8629
ABCD1	1282.9314	ABCD1	452.671
ABCD2	6.4935	ABCD2	241.6803
ABCD3	1749.5362	ABCD3	1130.1429
ABCD4	391.7749	ABCD4	806.7517
ABCE1	2447.7427	ABCE1	1302.7717
ABCF1	1066.7904	ABCF1	1695.598
ABCF2	1325.2938	ABCF2	1372.5904
ABCF3	1792.8262	ABCF3	1016.2079
ABCG1	1872.6036	ABCG1	408.1711
ABCG2	24.428	ABCG2	135.8013
ABHD10	448.9796	ABHD10	512.132
ABHD11	734.3847	ABHD11	374.7962
ABHD12	1773.0365	ABHD12	850.8679
ABHD13	447.1243	ABHD13	415.4599
ABHD14A	139.1466	ABHD14A	305.9825
ABHD14B	876.9326	ABHD14B	2566.7977
ABHD15	539.8887	ABHD15	781.8164
ABHD1	15.4607	ABHD1	30.3059
ABHD2	13181.1998	ABHD2	2923.9474
ABHD3	183.6735	ABHD3	286.9473
ABHD4	2433.8281	ABHD4	1215.3064
ABHD5	1020.7174	ABHD5	1422.4609
ABHD6	84.1064	ABHD6	365.2057
ABHD8	428.5714	ABHD8	249.3526
ABI1	1966.2647	ABI1	1427.448
ABI2	1098.3302	ABI2	1361.4654
ABI3BP	621.8306	ABI3BP	2083.8208
ABI3	263.4508	ABI3	302.6757
ABL1	1579.4682	ABL1	3123.4296
ABL2	1150.8967	ABL2	858.9239
ABLIM1	2298.7013	ABLIM1	6976.5033
ABLIM2	73.2839	ABLIM2	196.7968
ABLIM3	285.7143	ABLIM3	2130.6224
removed	removed	ABO	45.2671
ABP1	17.9344	removed	removed
ABR	1940.3216	ABR	2454.0136
