gene_id	TCGA-E9-A1ND-01A-11R-A144-07	gene_id	TCGA-E9-A1ND-11A-43R-A144-07
?|10357	88.3304	?|10357	97.2054
?|10431	897.047	?|10431	847.3469
?|155060	74.9621	?|155060	285.0299
removed	removed	?|388795	5.3231
?|57714	1277.8547	?|57714	145.1765
?|645851	8.4957	?|645851	7.2588
removed	removed	?|652919	14.5177
?|653553	297.8496	?|653553	328.0989
?|729884	12.4937	removed	removed
?|8225	998.9955	?|8225	894.7712
removed	removed	?|90288	14.5177
A1BG	36.5166	A1BG	116.6251
A2LD1	105.8116	A2LD1	134.235
A2ML1	3915.0229	removed	removed
removed	removed	A2M	39173.8682
A4GALT	389.8031	A4GALT	920.903
AAAS	384.3059	AAAS	848.3147
AACS	1652.1657	AACS	1043.3352
AADACL2	6.9965	removed	removed
AADAC	16.4917	AADAC	403.1068
AADAT	165.9162	AADAT	69.2008
AAGAB	1180.9036	AAGAB	823.6347
AAK1	796.5977	AAK1	913.6442
AAMP	2134.9219	AAMP	2539.6211
AARS2	690.6112	AARS2	433.5938
AARSD1	286.3554	AARSD1	705.0739
AARS	2889.041	AARS	2935.953
AASDHPPT	1035.9768	AASDHPPT	511.5052
AASDH	160.9187	AASDH	240.5091
AASS	210.3938	AASS	325.1954
AATF	1040.9743	AATF	1188.5117
AATK	40.4796	AATK	50.8118
ABAT	275.8607	ABAT	278.7389
removed	removed	ABCA10	349.8754
ABCA11P	126.1713	ABCA11P	92.3565
ABCA12	115.4417	ABCA12	7.7427
removed	removed	ABCA17P	6.291
ABCA1	1364.7558	ABCA1	1240.7172
ABCA2	1256.8653	ABCA2	1477.8969
ABCA3	294.8511	ABCA3	1018.6552
ABCA4	36.9813	ABCA4	15.0016
ABCA5	173.4124	ABCA5	495.0519
ABCA6	13.4932	ABCA6	709.4292
ABCA7	180.4089	ABCA7	375.0393
removed	removed	ABCA8	2135.5465
ABCA9	9.995	ABCA9	1186.576
ABCB10	271.8627	ABCB10	409.3978
ABCB11	9.4952	ABCB11	7.2588
ABCB1	65.9667	ABCB1	229.8628
ABCB4	20.9894	ABCB4	33.3906
removed	removed	ABCB5	60.0063
ABCB6	333.5715	ABCB6	613.7627
ABCB7	617.6881	ABCB7	460.2095
ABCB8	636.1787	ABCB8	722.979
ABCB9	153.6474	ABCB9	157.7052
ABCC10	752.1202	ABCC10	474.7272
removed	removed	ABCC11	134.5302
ABCC13	7.4962	removed	removed
ABCC1	1060.9642	ABCC1	1218.0309
removed	removed	ABCC2	32.4228
ABCC3	443.7759	ABCC3	773.7908
ABCC4	402.7966	ABCC4	90.0094
ABCC5	535.2297	ABCC5	1426.1173
removed	removed	ABCC6P1	8.7106
removed	removed	ABCC6P2	21.7765
removed	removed	ABCC6	220.1844
removed	removed	ABCC8	10.1624
ABCC9	74.4624	ABCC9	678.9421
ABCD1	1120.9339	ABCD1	773.3069
ABCD2	37.4811	ABCD2	127.2714
ABCD3	1541.7214	ABCD3	736.5288
ABCD4	509.2428	ABCD4	1117.8591
ABCE1	1878.5513	ABCE1	1033.1728
ABCF1	2539.7174	ABCF1	1675.3369
ABCF2	1878.0516	ABCF2	1170.1227
ABCF3	1343.8214	ABCF3	1089.7917
ABCG1	632.6805	ABCG1	632.9696
