gene_id	TCGA-E9-A1NF-01A-11R-A14D-07	gene_id	TCGA-E9-A1NF-11A-73R-A14D-07
?|100133144	10.5875	removed	removed
?|100134869	7.3679	removed	removed
?|10357	98.6558	?|10357	88.3624
?|10431	1030.2704	?|10431	677.9817
?|155060	237.7547	?|155060	211.9266
?|388795	8.049	removed	removed
?|390284	8.6681	?|390284	7.3394
?|57714	721.3131	?|57714	1121.1009
removed	removed	?|645851	11.0092
?|652919	43.0745	?|652919	106.9128
?|653553	391.3046	?|653553	176.6055
?|729884	17.9554	removed	removed
?|8225	485.4159	?|8225	435.3211
?|90288	13.0022	?|90288	11.4679
A1BG	63.8223	A1BG	26
A2LD1	80.2298	A2LD1	98.7982
A2ML1	44.579	removed	removed
A2M	15455.8513	A2M	34436.0275
A4GALT	292.2402	A4GALT	735.3211
AAAS	897.1525	AAAS	568.3486
AACS	821.6159	AACS	548.6239
removed	removed	AADACL2	15.5963
removed	removed	AADAC	824.7706
AADAT	79.2516	AADAT	75.6881
AAGAB	1466.154	AAGAB	665.5963
AAK1	941.7315	AAK1	1244.0367
AAMP	3162.0137	AAMP	1738.5321
AARS2	276.7118	AARS2	293.0963
AARSD1	421.024	AARSD1	401.8349
AARS	3054.2811	AARS	3178.8991
AASDHPPT	699.6427	AASDHPPT	641.2844
AASDH	181.4118	AASDH	253.211
AASS	267.474	AASS	453.6697
AATF	921.9186	AATF	966.9725
AATK	23.5278	AATK	60.0917
ABAT	1045.7492	ABAT	183.945
removed	removed	ABCA10	450
ABCA11P	154.4539	ABCA11P	56.8394
ABCA12	765.273	removed	removed
ABCA17P	8.049	removed	removed
ABCA1	1349.1341	ABCA1	5210.2523
ABCA2	1067.4196	ABCA2	1285.3211
ABCA3	1370.1853	ABCA3	1239.4495
ABCA4	73.06	ABCA4	17.8899
ABCA5	63.1536	ABCA5	690.8257
ABCA6	247.6612	ABCA6	1731.1927
ABCA7	191.9374	ABCA7	281.6514
ABCA8	21.6704	ABCA8	5267.4312
ABCA9	152.9308	ABCA9	3243.578
ABCB10	306.4807	ABCB10	492.2018
removed	removed	ABCB11	13.7615
ABCB1	27.8619	ABCB1	120.6422
ABCB4	63.1536	ABCB4	23.3945
ABCB5	27.2427	ABCB5	24.7706
ABCB6	647.8382	ABCB6	512.9358
ABCB7	381.3982	ABCB7	435.3211
ABCB8	640.8232	ABCB8	453.211
ABCB9	281.4545	ABCB9	62.0596
ABCC10	348.5831	ABCC10	370.6422
ABCC11	2179.4181	removed	removed
ABCC12	649.4914	removed	removed
ABCC1	995.5978	ABCC1	1679.3578
ABCC2	71.8217	ABCC2	78.4404
ABCC3	312.6722	ABCC3	373.8532
ABCC4	336.2	ABCC4	200
ABCC5	873.0056	ABCC5	875.6881
removed	removed	ABCC6P1	14.2202
ABCC6P2	17.9554	ABCC6P2	18.8073
ABCC6	74.9175	ABCC6	514.2202
ABCC8	79.8707	removed	removed
ABCC9	983.8339	ABCC9	2994.9541
ABCD1	934.9208	ABCD1	719.7248
ABCD2	6.8107	ABCD2	506.8807
ABCD3	1177.6288	ABCD3	983.4862
ABCD4	576.4313	ABCD4	796.789
ABCE1	1727.4365	ABCE1	1272.9358
ABCF1	1326.2255	ABCF1	1432.1101
ABCF2	1229.0185	ABCF2	996.3303
ABCF3	1487.8244	ABCF3	855.0459
ABCG1	897.7717	ABCG1	674.3119
ABCG2	108.3518	ABCG2	182.1101
ABCG4	11.1448	removed	removed
ABHD10	876.1013	ABHD10	479.3578
ABHD11	1128.0965	ABHD11	185.3211
ABHD12B	6.1915	ABHD12B	10.5505
ABHD12	3502.5478	ABHD12	1085.3211
ABHD13	522.565	ABHD13	542.6606
ABHD14A	230.3249	ABHD14A	265.1376
ABHD14B	1806.0689	ABHD14B	2277.9817
