gene_id	TCGA-E9-A1NG-01A-21R-A14M-07	gene_id	TCGA-E9-A1NG-11A-52R-A14M-07
?|100133144	8.5901	?|100133144	9.1547
removed	removed	?|100134869	10.5233
?|10357	98.6449	?|10357	97.7191
?|10431	978.6845	?|10431	742.8444
?|155060	94.7016	?|155060	161.0018
?|390284	7.9172	?|390284	7.6029
?|57714	718.3313	?|57714	699.0161
?|652919	26.8484	?|652919	44.0564
?|653553	359.3179	?|653553	165.9213
?|729884	214.3727	removed	removed
?|8225	254.5676	?|8225	371.1986
?|90288	28.0146	?|90288	10.2862
A1BG	148.3496	A1BG	39.2844
A2LD1	75.676	A2LD1	81.2478
A2ML1	34.7138	removed	removed
A2M	24006.0414	A2M	35003.4928
A4GALT	454.324	A4GALT	832.737
AAAS	565.1644	AAAS	470.0358
AACS	746.3459	AACS	556.7979
removed	removed	AADACL2	5.814
removed	removed	AADAC	256.7084
AADAT	90.4385	AADAT	67.9785
AAGAB	1690.0122	AAGAB	799.6422
AAK1	1082.5213	AAK1	1064.8479
AAMP	1896.7722	AAMP	1829.6064
AARS2	418.3922	AARS2	292.0394
AARSD1	433.6175	AARSD1	405.6351
AARS	2373.6297	AARS	2750.4472
AASDHPPT	673.8733	AASDHPPT	694.0966
AASDH	338.3069	AASDH	368.9624
AASS	334.3484	AASS	482.5581
AATF	1066.9915	AATF	984.7943
AATK	24.3605	AATK	47.8533
ABAT	3795.3715	ABAT	381.0376
removed	removed	ABCA10	307.2451
ABCA11P	83.8764	ABCA11P	97.4106
ABCA12	314.5554	ABCA12	18.3363
ABCA13	9.1352	removed	removed
ABCA17P	7.6127	removed	removed
ABCA1	1187.2564	ABCA1	3359.0877
ABCA2	884.592	ABCA2	1191.4132
ABCA3	668.6967	ABCA3	1067.9785
ABCA4	180.877	ABCA4	70.6619
ABCA5	130.0244	ABCA5	814.4007
ABCA6	154.9939	ABCA6	1537.1199
ABCA7	127.2838	ABCA7	326.0286
removed	removed	ABCA8	3849.7317
ABCA9	88.916	ABCA9	2671.288
ABCB10	348.6602	ABCB10	475.8497
removed	removed	ABCB11	6.2612
ABCB1	23.447	ABCB1	242.3971
ABCB4	107.1864	ABCB4	41.1449
removed	removed	ABCB5	41.1449
ABCB6	221.2363	ABCB6	416.7174
ABCB7	495.7369	ABCB7	470.0358
ABCB8	460.7186	ABCB8	326.9231
ABCB9	205.2984	ABCB9	54.3023
ABCC10	325.8222	ABCC10	318.873
ABCC11	53.2887	ABCC11	48.7478
ABCC13	16.4434	removed	removed
ABCC1	1718.3313	ABCC1	1389.0877
ABCC2	6.0901	ABCC2	14.7585
ABCC3	765.5298	ABCC3	292.0394
ABCC4	363.2765	ABCC4	163.6852
ABCC5	1264.3118	ABCC5	559.4812
removed	removed	ABCC6P1	21.4669
ABCC6P2	9.4397	ABCC6P2	25.4919
ABCC6	26.4921	ABCC6	341.6816
ABCC8	21.011	ABCC8	7.1556
ABCC9	780.7552	ABCC9	2011.1807
ABCD1	310.2923	ABCD1	534.8837
ABCD2	9.4397	ABCD2	557.6923
ABCD3	1898.9038	ABCD3	1285.7782
ABCD4	455.8465	ABCD4	705.7245
ABCE1	1806.3337	ABCE1	1597.0483
ABCF1	1742.9963	ABCF1	1426.2075
ABCF2	1311.5104	ABCF2	1129.6959
ABCF3	1075.5177	ABCF3	756.2612
ABCG1	1324.9086	ABCG1	539.356
ABCG2	65.7734	ABCG2	125.6708
ABHD10	536.8453	ABHD10	521.4669
ABHD11	640.0731	ABHD11	275.0447
removed	removed	ABHD12B	13.864
ABHD12	1285.3228	ABHD12	857.7818
ABHD13	615.408	ABHD13	582.737
ABHD14A	157.1315	ABHD14A	312.6118
ABHD14B	917.7832	ABHD14B	2375.2236
ABHD15	388.8551	ABHD15	942.3077
ABHD1	8.2217	ABHD1	41.1449
ABHD2	5019.1839	ABHD2	3431.5742
ABHD3	269.4884	ABHD3	326.0286
ABHD4	1043.849	ABHD4	1213.7746
ABHD5	698.8429	ABHD5	1607.7818
ABHD6	180.877	ABHD6	557.6923
ABHD8	265.8343	ABHD8	177.9964
ABI1	1688.3526	ABI1	1535.1565
ABI2	1649.5128	ABI2	1065.7424
ABI3BP	77.6492	ABI3BP	3401.1628
ABI3	215.5907	ABI3	170.3936
ABL1	2150.1218	ABL1	3709.3023
ABL2	1175.3959	ABL2	1818.873
ABLIM1	2495.7369	ABLIM1	9301.4311
ABLIM2	42.0219	ABLIM2	161.0018
ABLIM3	1085.8709	ABLIM3	2708.4079
removed	removed	ABO	9.3918
ABP1	23.447	ABP1	5.814
ABR	1495.1279	ABR	1901.1628
ABT1	503.9586	ABT1	432.0215
ABTB1	337.6979	ABTB1	656.0823
ABTB2	177.8319	ABTB2	121.1986
ACAA1	1249.6955	ACAA1	1186.0465
ACAA2	795.067	ACAA2	2876.5653
ACACA	1312.1194	ACACA	1710.644
ACACB	191.2302	ACACB	8161.0018
ACAD10	480.8161	ACAD10	392.6655
ACAD11	274.6346	ACAD11	656.4982
ACAD8	283.8002	ACAD8	360.9123
ACAD9	801.7661	ACAD9	928.8909
removed	removed	ACADL	283.542
ACADM	842.57	ACADM	1266.5474
ACADSB	1942.4482	ACADSB	1778.1753
ACADS	290.1949	ACADS	1123.8819
ACADVL	3161.6352	ACADVL	6271.4311
ACAN	204.0195	ACAN	13.864
ACAP1	93.179	ACAP1	46.5116
ACAP2	1448.5384	ACAP2	1703.9356
ACAP3	582.5365	ACAP3	462.9159
ACAT1	1080.0853	ACAT1	2406.9767
ACAT2	391.4647	ACAT2	217.9025
ACBD3	1859.0134	ACBD3	1608.6762
ACBD4	199.4519	ACBD4	281.3059
ACBD5	730.2071	ACBD5	988.8193
ACBD6	449.4519	ACBD6	353.7567
ACBD7	21.3155	ACBD7	17.8891
ACCN2	41.4129	ACCN2	58.5868
removed	removed	ACCN3	5.814
ACCS	131.2424	ACCS	392.6655
ACD	223.8124	ACD	233.8998
removed	removed	ACE2	29.0698
ACER2	143.1181	ACER2	330.0537
ACER3	617.2351	ACER3	814.4007
removed	removed	ACE	1059.4812
ACHE	11.8758	ACHE	18.3363
ACIN1	3098.9647	ACIN1	2593.4705
ACLY	4519.4884	ACLY	3090.7871
ACN9	85.8709	ACN9	98.39
ACO1	1081.9123	ACO1	5455.2773
ACO2	1424.19	ACO2	2641.1002
ACOT11	75.5177	ACOT11	26.4401
ACOT13	660.5481	ACOT13	665.6306
ACOT1	358.4044	ACOT1	1101.5206
ACOT2	301.4616	ACOT2	790.2504
ACOT4	163.5201	ACOT4	194.9911
removed	removed	ACOT6	11.1807
ACOT7	453.715	ACOT7	223.1664
ACOT8	288.511	ACOT8	185.483
ACOT9	725.335	ACOT9	827.8175
ACOX1	1738.7333	ACOX1	2985.814
ACOX2	457.3691	ACOX2	250.4472
ACOX3	667.4787	ACOX3	481.6637
ACOXL	8.2217	removed	removed
ACP1	1389.7686	ACP1	926.2075
ACP2	1538.3678	ACP2	843.0233
ACP5	507.6127	ACP5	838.1038
ACP6	246.0414	ACP6	146.2433
ACPL2	357.7954	ACPL2	246.4222
ACPP	24.9695	ACPP	18.3363
ACRBP	24.056	ACRBP	34.4365
ACRC	6.3946	ACRC	18.7835
removed	removed	ACR	7.6029
ACSBG1	5.4811	ACSBG1	6.2612
ACSF2	1006.6991	ACSF2	906.0823
ACSF3	237.5152	ACSF3	265.653
ACSL1	1202.8015	ACSL1	12016.9946
ACSL3	3133.0694	ACSL3	2167.263
ACSL4	1613.2765	ACSL4	2896.6905
ACSL5	214.0682	ACSL5	1114.9374
ACSL6	13.3983	ACSL6	5.814
ACSM1	32.5822	ACSM1	15.2057
ACSM3	39.9117	ACSM3	16.0689
ACSM5	12.7893	ACSM5	563.5063
ACSS1	601.0962	ACSS1	414.5796
ACSS2	575.5177	ACSS2	3043.8283
ACSS3	118.4531	ACSS3	827.3703
removed	removed	ACTA1	30.4114
ACTA2	24063.5566	ACTA2	12829.7004
ACTBL2	5.1766	removed	removed
ACTB	162354.1413	ACTB	80366.2791
ACTC1	7.9172	ACTC1	5.814
ACTG1	94877.2838	ACTG1	44958.8551
ACTG2	354.7503	ACTG2	4332.737
ACTL6A	1076.1267	ACTL6A	673.0769
ACTN1	13549.6346	ACTN1	8366.2791
removed	removed	ACTN2	5.3667
ACTN4	14020.2345	ACTN4	10882.822
ACTR10	1334.6529	ACTR10	1260.7335
ACTR1A	3316.9915	ACTR1A	3065.7424
ACTR1B	1210.1096	ACTR1B	1154.7406
ACTR2	9890.3776	ACTR2	6513.864
ACTR3B	80.3898	ACTR3B	113.1485
ACTR3C	26.4921	ACTR3C	29.517
ACTR3	5943.0572	ACTR3	3560.8229
ACTR5	161.3886	ACTR5	142.6655
ACTR6	556.0292	ACTR6	517.4419
ACTR8	608.0999	ACTR8	432.4687
ACVR1B	936.3581	ACVR1B	957.0662
ACVR1C	15.2253	ACVR1C	1559.4812
ACVR1	1882.4604	ACVR1	1184.2576
ACVR2A	571.5591	ACVR2A	479.8748
ACVR2B	159.5615	ACVR2B	148.4794
ACVRL1	818.514	ACVRL1	1455.7245
ACY1	516.1328	ACY1	454.3828
ACY3	6.0901	removed	removed
ACYP1	43.24	ACYP1	41.1449
ACYP2	73.9951	ACYP2	240.161
ADAD2	5.7856	ADAD2	6.6682
ADAL	147.9903	ADAL	194.9911
ADAM10	3047.503	ADAM10	1633.7209
ADAM11	5.7856	ADAM11	6.2612
ADAM12	4313.0329	ADAM12	877.4597
ADAM15	3254.0469	ADAM15	3168.2424
ADAM17	1004.8721	ADAM17	877.4597
ADAM19	871.1937	ADAM19	101.9678
ADAM22	44.458	ADAM22	190.966
ADAM23	48.1121	ADAM23	43.381
ADAM28	253.6541	ADAM28	116.2791
ADAM32	10.3532	ADAM32	39.356
ADAM33	40.1949	ADAM33	589.2934
ADAM6	1760.7856	ADAM6	4352.1512
ADAM8	1186.6626	ADAM8	48.3005
ADAM9	3989.3423	ADAM9	3000
ADAMDEC1	12.1803	removed	removed
ADAMTS10	179.0499	ADAMTS10	300.9839
ADAMTS12	1116.6261	ADAMTS12	304.1145
ADAMTS13	27.7101	ADAMTS13	37.1199
ADAMTS14	459.8051	removed	removed
ADAMTS15	97.7467	ADAMTS15	674.8658
ADAMTS16	361.1449	ADAMTS16	322.0036
ADAMTS17	71.2546	ADAMTS17	29.9642
ADAMTS18	86.7844	ADAMTS18	298.3005
ADAMTS19	17.9659	removed	removed
ADAMTS1	482.9476	ADAMTS1	11419.9463
ADAMTS2	1198.2339	ADAMTS2	1203.9356
ADAMTS3	67.905	ADAMTS3	149.3739
ADAMTS4	1119.0621	ADAMTS4	3307.6923
ADAMTS5	916.8697	ADAMTS5	3854.2039
ADAMTS6	176.3094	ADAMTS6	63.059
ADAMTS7	856.5773	ADAMTS7	176.2075
removed	removed	ADAMTS8	42.4866
ADAMTS9	503.0451	ADAMTS9	1397.585
ADAMTSL1	785.6273	ADAMTSL1	252.2361
ADAMTSL2	567.6005	ADAMTSL2	56.7979
ADAMTSL3	400.4263	ADAMTSL3	644.9016
ADAMTSL4	465.8952	ADAMTSL4	1648.4794
ADAMTSL5	97.4421	ADAMTSL5	32.2004
ADAP1	82.3873	ADAP1	127.737
ADAP2	426.0049	ADAP2	449.0161
ADARB1	1579.1717	ADARB1	939.6243
ADAR	7895.8587	ADAR	5828.712
ADAT1	264.0073	ADAT1	296.0644
ADAT2	71.8636	ADAT2	110.0179
ADAT3	19.1839	ADAT3	23.703
ADA	227.162	ADA	150.7156
ADCK1	179.0499	ADCK1	181.127
ADCK2	653.4714	ADCK2	481.2165
ADCK4	593.179	ADCK4	340.3399
ADCK5	88.6114	ADCK5	75.5814
ADCY1	83.4348	ADCY1	445.8855
ADCY2	78.8672	ADCY2	81.8426
ADCY3	438.4896	ADCY3	1479.6467
ADCY4	130.0244	ADCY4	786.6726
removed	removed	ADCY5	531.7531
ADCY6	657.7345	ADCY6	3048.3005
ADCY7	1219.5493	ADCY7	1056.7979
removed	removed	ADCY8	9.3918
ADCY9	736.9062	ADCY9	753.5778
removed	removed	ADCYAP1R1	34.8837
removed	removed	ADCYAP1	6.2612
ADC	243.9099	ADC	105.9928
ADD1	5986.6017	ADD1	7504.025
ADD2	24.056	ADD2	102.415
ADD3	1632.1559	ADD3	3607.7818
removed	removed	ADH1A	499.9821
removed	removed	ADH1B	53801.4311
removed	removed	ADH1C	445.4383
removed	removed	ADH4	13.864
ADH5	2150.7308	ADH5	4455.2773
ADHFE1	40.8039	ADHFE1	338.1038
ADI1	1463.4592	ADI1	1887.746
removed	removed	ADIPOQ	56835.4204
ADIPOR1	2695.1888	ADIPOR1	2152.9517
ADIPOR2	2289.5859	ADIPOR2	4038.4615
ADK	455.2375	ADK	416.3685
ADM2	47.1985	ADM2	22.3614
ADM	1040.4994	ADM	1834.9732
ADNP2	665.3471	ADNP2	581.3953
