gene_id	TCGA-E9-A1R7-01A-11R-A14M-07	gene_id	TCGA-E9-A1R7-11A-42R-A14M-07
?|100133144	11.1576	?|100133144	5.3762
?|100134869	6.0837	?|100134869	6.7597
?|10357	101.9458	?|10357	113.4628
?|10431	1137.2273	?|10431	695.3883
?|155060	133.7087	?|155060	137.1359
?|390284	11.9634	?|390284	14.9676
?|57714	1388.8107	?|57714	900.4854
removed	removed	?|645851	9.7087
?|652919	77.7621	?|652919	86.2824
?|653553	243.1386	?|653553	112.8641
?|8225	162.9134	?|8225	291.2621
?|90288	44.6868	?|90288	16.5858
A1BG	36.3125	A1BG	20.2265
A2LD1	31.981	A2LD1	89.8665
A2ML1	56.6502	A2ML1	6.068
A2M	7903.5749	A2M	43998.3172
A4GALT	125.2639	A4GALT	413.4304
AAAS	287.8255	AAAS	420.712
AACS	1047.8536	AACS	641.1812
removed	removed	AADACL2	10.9223
removed	removed	AADACL3	10.5178
removed	removed	AADAC	59.466
AADAT	26.3899	AADAT	78.0744
AAGAB	2578.4659	AAGAB	848.7055
AAK1	1399.0148	AAK1	1431.2298
AAMP	1793.4553	AAMP	1449.0291
AARS2	289.5778	AARS2	260.1092
AARSD1	552.7797	AARSD1	374.5955
AARS	1871.9212	AARS	2777.9126
AASDHPPT	735.3976	AASDHPPT	826.0518
AASDH	286.7699	AASDH	348.301
AASS	386.3476	AASS	678.3981
AATF	1840.9571	AATF	913.4304
AATK	6.6854	AATK	18.2039
ABAT	4348.3462	ABAT	276.699
ABCA10	14.0746	ABCA10	464.4013
ABCA11P	226.0978	ABCA11P	138.572
removed	removed	ABCA12	8.4951
ABCA13	24.9824	removed	removed
ABCA17P	9.5004	removed	removed
ABCA1	856.0697	ABCA1	5526.246
ABCA2	1649.5426	ABCA2	1162.2168
ABCA3	1285.3624	ABCA3	868.932
removed	removed	ABCA4	23.8673
ABCA5	125.6158	ABCA5	1024.6764
ABCA6	100.9852	ABCA6	1772.6537
ABCA7	380.7178	ABCA7	193.7702
ABCA8	90.4293	ABCA8	6333.3333
ABCA9	49.2611	ABCA9	3855.178
ABCB10	1061.9282	ABCB10	483.8188
removed	removed	ABCB11	14.9676
ABCB1	84.7994	ABCB1	365.2913
ABCB4	27.4455	ABCB4	33.9806
ABCB5	8.7966	ABCB5	101.5372
ABCB6	481.1576	ABCB6	485.8091
ABCB7	721.323	ABCB7	531.5534
ABCB8	362.4208	ABCB8	273.8673
ABCB9	442.449	ABCB9	48.8107
ABCC10	329.3455	ABCC10	247.1683
ABCC11	209.0077	ABCC11	32.767
ABCC12	7.3892	removed	removed
ABCC1	1943.7016	ABCC1	1157.767
removed	removed	ABCC2	37.2168
ABCC3	1513.3709	ABCC3	448.2201
ABCC4	279.7326	ABCC4	242.7184
ABCC5	1310.3448	ABCC5	770.6311
removed	removed	ABCC6P1	17.3948
ABCC6P2	13.3709	ABCC6P2	36.4078
ABCC6	162.2097	ABCC6	492.7184
ABCC8	34.1309	ABCC8	16.9903
ABCC9	137.2273	ABCC9	3028.7217
ABCD1	329.6974	ABCD1	384.7087
removed	removed	ABCD2	665.8576
ABCD3	2020.0563	ABCD3	1384.3042
ABCD4	215.6932	ABCD4	628.2362
ABCE1	2577.0584	ABCE1	1494.7411
ABCF1	1866.6432	ABCF1	1250.4045
ABCF2	1160.8023	ABCF2	975.3236
ABCF3	1032.7234	ABCF3	684.466
ABCG1	1256.1576	ABCG1	583.3333
ABCG2	54.1872	ABCG2	302.9935
ABHD10	1032.0197	ABHD10	762.945
ABHD11	355.0317	ABHD11	170.712
removed	removed	ABHD12B	13.754
ABHD12	1179.4511	ABHD12	749.1909
ABHD13	737.1569	ABHD13	516.5858
ABHD14A	135.468	ABHD14A	223.7662
ABHD14B	1321.6045	ABHD14B	2375.4045
ABHD15	1301.1963	ABHD15	840.2104
ABHD1	12.3153	ABHD1	40.4531
ABHD2	31990.8515	ABHD2	4199.8382
ABHD3	1152.0056	ABHD3	297.7346
ABHD4	920.8304	ABHD4	1352.7508
ABHD5	762.8431	ABHD5	2232.2006
ABHD6	294.5109	ABHD6	619.7411
ABHD8	176.6362	ABHD8	104.3689
ABI1	2238.2301	ABI1	1525.4854
ABI2	1242.083	ABI2	1325.6472
ABI3BP	246.3054	ABI3BP	7046.9256
ABI3	43.2794	ABI3	145.6311
ABL1	1641.4497	ABL1	3063.9159
ABL2	1494.3702	ABL2	1164.644
ABLIM1	1775.8621	ABLIM1	14169.0939
ABLIM2	30.2604	ABLIM2	98.7055
ABLIM3	497.8888	ABLIM3	3144.822
removed	removed	ABO	12.5405
removed	removed	ABP1	6.068
removed	removed	ABR	1934.8706
ABT1	525.3343	ABT1	353.9644
ABTB1	232.2308	ABTB1	500.8091
ABTB2	35.8902	ABTB2	82.1197
ACAA1	372.9768	ACAA1	1055.0162
ACAA2	1195.285	ACAA2	3716.4239
