gene_id	TCGA-E9-A1RB-01A-11R-A157-07	gene_id	TCGA-E9-A1RB-11A-33R-A157-07
?|100133144	6.2799	?|100133144	7.8301
?|100134869	5.1665	removed	removed
?|10357	141.4698	?|10357	101.8006
?|10431	1793.1842	?|10431	679.9407
?|155060	167.2737	?|155060	104.318
?|390284	13.5276	?|390284	13.1178
?|57714	941.7274	?|57714	1095.9631
?|645851	8.3247	?|645851	8.7452
removed	removed	?|652919	33.7659
?|653553	283.2986	?|653553	121.8084
removed	removed	?|729884	19.0521
?|8225	215.9209	?|8225	325.447
?|90288	27.0552	?|90288	18.7398
A1BG	76.0614	A1BG	40.6871
A2LD1	20.9235	A2LD1	63.9494
A2ML1	27.3153	A2ML1	10.3069
A2M	14530.1483	A2M	31633.1662
A4GALT	285.3798	A4GALT	264.8552
AAAS	675.078	AAAS	486.2966
AACS	1814.5161	AACS	1221.2072
removed	removed	AADACL2	20.6137
removed	removed	AADAC	164.5975
AADAT	27.5754	AADAT	69.3371
AAGAB	2359.5213	AAGAB	846.0998
AAK1	1137.6171	AAK1	1258.3743
AAMP	1422.7367	AAMP	1790.8956
AARS2	210.9599	AARS2	306.0607
AARSD1	225.8065	AARSD1	423.8307
AARS	4181.0614	AARS	2823.7683
AASDHPPT	1196.41	AASDHPPT	854.8013
AASDH	530.1769	AASDH	426.3294
AASS	56.7118	AASS	878.8944
AATF	971.6441	AATF	867.6505
AATK	53.3299	AATK	45.2877
ABAT	3777.3153	ABAT	605.294
removed	removed	ABCA10	439.4472
ABCA11P	84.8829	ABCA11P	116.9829
ABCA12	952.1332	ABCA12	298.5867
removed	removed	ABCA13	22.1754
ABCA17P	8.0645	removed	removed
ABCA1	968.7643	ABCA1	4097.6653
ABCA2	1795.5255	ABCA2	1063.4809
ABCA3	1357.7003	ABCA3	1177.1687
ABCA4	7.8044	ABCA4	57.4686
ABCA5	195.6296	ABCA5	1164.6756
ABCA6	23.9334	ABCA6	2165.3783
ABCA7	140.4787	ABCA7	229.2496
removed	removed	ABCA8	6181.3071
ABCA9	21.8522	ABCA9	5814.008
ABCB10	751.3007	ABCB10	539.0802
removed	removed	ABCB11	111.8139
ABCB1	14.5682	ABCB1	455.0636
ABCB4	10.4058	ABCB4	15.9288
removed	removed	ABCB5	242.6798
ABCB6	268.2622	ABCB6	437.898
ABCB7	700.8325	ABCB7	665.8858
ABCB8	487.2529	ABCB8	241.7428
ABCB9	311.345	ABCB9	81.8302
ABCC10	184.1831	ABCC10	232.6853
ABCC11	274.4537	ABCC11	316.0771
ABCC1	2425.8585	ABCC1	1089.4042
ABCC2	5.9834	ABCC2	16.5534
ABCC3	186.5245	ABCC3	284.5319
ABCC4	70.7596	ABCC4	182.7126
ABCC5	772.1124	ABCC5	581.557
