gene_id	TCGA-E9-A1RC-01A-11R-A157-07	gene_id	TCGA-E9-A1RC-11A-33R-A157-07
?|100133144	24.6974	removed	removed
?|100134869	10.2728	removed	removed
?|10357	83.125	?|10357	129.4521
?|10431	1004.9603	?|10431	906.7552
?|155060	103.9187	?|155060	129.3367
removed	removed	?|390284	6.9912
?|57714	1476.6865	?|57714	1071.0478
?|645851	15.377	?|645851	9.7876
?|652919	71.4286	?|652919	84.9043
?|653553	1393.3532	?|653553	144.3677
?|8225	347.9663	?|8225	529.2318
?|90288	264.6329	?|90288	25.5178
A1BG	116.1062	A1BG	19.0335
A2LD1	29.6627	A2LD1	104.4027
A2ML1	10.4167	removed	removed
A2M	3230.6027	A2M	41209.473
A4GALT	343.006	A4GALT	500.9176
AAAS	534.4742	AAAS	582.3648
AACS	1206.1012	AACS	620.4667
removed	removed	AADAC	295.7266
AADAT	80.3571	AADAT	79.0003
AAGAB	2536.9544	AAGAB	699.8165
AAK1	1088.2937	AAK1	1175.9154
AAMP	2084.3254	AAMP	2122.5203
AARS2	323.4053	AARS2	237.3119
AARSD1	365.0794	AARSD1	486.5857
AARS	3609.871	AARS	3483.3523
AASDHPPT	797.619	AASDHPPT	719.7413
AASDH	500.9921	AASDH	291.5319
AASS	66.4683	AASS	664.8606
AATF	1228.9187	AATF	1025.2556
AATK	30.0099	AATK	40.5488
ABAT	2517.3611	ABAT	182.8192
removed	removed	ABCA10	268.1115
ABCA11P	109.3552	ABCA11P	114.0994
ABCA12	631.2004	removed	removed
ABCA17P	20.5853	removed	removed
ABCA1	1172.3462	ABCA1	6671.3449
ABCA2	1537.9464	ABCA2	1811.4131
ABCA3	8677.0833	ABCA3	1126.9772
ABCA4	16.8651	ABCA4	20.9735
ABCA5	156.25	ABCA5	897.6667
ABCA6	20.5853	ABCA6	1417.81
ABCA7	101.4385	ABCA7	271.6071
ABCA8	13.3929	ABCA8	6041.0731
ABCA9	11.1607	ABCA9	1690.4658
ABCB10	977.4306	ABCB10	489.0326
removed	removed	ABCB11	40.8984
removed	removed	ABCB1	149.6111
ABCB4	32.7381	ABCB4	41.5975
removed	removed	ABCB5	50.686
ABCB6	120.8234	ABCB6	738.7259
ABCB7	542.6587	ABCB7	592.502
ABCB8	295.8829	ABCB8	461.4175
ABCB9	275.9673	ABCB9	53.3776
ABCC10	205.1091	ABCC10	241.8946
ABCC11	102.4306	ABCC11	11.5354
ABCC13	361.3591	removed	removed
ABCC1	3962.0536	ABCC1	1224.8536
ABCC2	9.4246	ABCC2	44.394
ABCC3	142.1131	ABCC3	63.2701
ABCC4	79.6131	ABCC4	131.0845
ABCC5	1983.879	ABCC5	487.6344
ABCC6P1	10.4167	ABCC6P1	39.5001
ABCC6P2	31.746	ABCC6P2	73.0578
ABCC6	150.7937	ABCC6	1041.3353
ABCC8	75.8929	removed	removed
ABCC9	143.1052	ABCC9	4122.6951
ABCD1	310.2679	ABCD1	743.1618
removed	removed	ABCD2	1627.1957
ABCD3	1605.6548	ABCD3	1173.8181
ABCD4	390.129	ABCD4	722.5378
ABCE1	1654.0179	ABCE1	1215.066
ABCF1	1478.6706	ABCF1	1523.3767
ABCF2	793.4028	ABCF2	1049.0256
ABCF3	1296.131	ABCF3	880.8879
ABCG1	1054.0675	ABCG1	840.3391
ABCG2	22.5694	ABCG2	109.7614
ABHD10	664.9306	ABHD10	592.8515
ABHD11	2412.2024	ABHD11	148.912
ABHD12B	20.0893	ABHD12B	17.8275
ABHD12	2280.506	ABHD12	836.1444
ABHD13	401.2897	ABHD13	425.0634
ABHD14A	201.9172	ABHD14A	438.0599
ABHD14B	1346.9742	ABHD14B	3478.1089
ABHD15	351.6865	ABHD15	1776.8068
ABHD1	35.7143	ABHD1	59.7745
ABHD2	2730.6548	ABHD2	2763.6109
ABHD3	729.4147	ABHD3	328.9347
ABHD4	1326.3889	ABHD4	1554.1379
ABHD5	1896.0813	ABHD5	2444.8134
ABHD6	161.2103	ABHD6	671.1527
ABHD8	200.1488	ABHD8	132.1332
ABI1	1514.881	ABI1	1146.902
ABI2	1235.119	ABI2	623.9622
ABI3BP	81.3492	ABI3BP	3637.5076
ABI3	49.3552	ABI3	145.4164
ABL1	2126.9841	ABL1	2820.9386
ABL2	2303.8194	ABL2	778.8167
ABLIM1	1099.2063	ABLIM1	8845.932
ABLIM2	23.8095	ABLIM2	121.2969
ABLIM3	323.6607	ABLIM3	4767.2813
ABO	67.2123	ABO	19.5753
removed	removed	ABP1	6.2921
removed	removed	ABRA	10.4868
ABR	2416.1706	ABR	1549.2441
ABT1	562.5	ABT1	401.9925
ABTB1	141.121	ABTB1	851.8745
ABTB2	146.0813	ABTB2	76.5534
ACAA1	1035.9623	ACAA1	1845.6698
ACAA2	809.5238	ACAA2	4668.7058
ACACA	1937.252	ACACA	2958.6647
ACACB	440.7242	ACACB	15333.7412
ACAD10	1994.2956	ACAD10	544.2629
ACAD11	468.9013	ACAD11	1207.0087
ACAD8	616.0714	ACAD8	577.1214
ACAD9	1411.0441	ACAD9	1388.0905
ACADL	15.625	ACADL	672.5509
ACADM	967.7579	ACADM	2788.7792
ACADSB	2273.3135	ACADSB	1548.1954
ACADS	340.5258	ACADS	1714.9349
ACADVL	4556.4335	ACADVL	8073.0473
ACAN	8.9286	ACAN	18.1771
ACAP1	10.6647	ACAP1	44.394
ACAP2	1575.8929	ACAP2	1768.7669
ACAP3	431.0739	ACAP3	414.5766
ACAT1	2591.0218	ACAT1	4612.7764
ACAT2	551.9395	ACAT2	270.4955
ACBD3	4261.1607	ACBD3	1191.9951
ACBD4	171.627	ACBD4	310.4081
ACBD5	772.3214	ACBD5	1156.6897
ACBD6	644.0972	ACBD6	337.3241
ACBD7	48.8591	ACBD7	6.6416
ACCN2	99.9504	ACCN2	68.1639
removed	removed	ACCN3	14.3319
ACCS	239.0873	ACCS	542.1655
ACD	259.6726	ACD	190.859
ACE2	7.1925	ACE2	20.9735
ACER2	133.1845	ACER2	454.4263
ACER3	161.4583	ACER3	1349.9956
ACE	508.4325	ACE	1069.3
ACHE	6.6964	ACHE	7.6903
ACIN1	3396.8254	ACIN1	2357.4238
ACLY	6756.4484	ACLY	3101.2846
ACMSD	6.9444	removed	removed
ACN9	12.6488	ACN9	135.6288
ACO1	1067.2123	ACO1	11857.0305
ACO2	2082.9315	ACO2	4480.0559
ACOT11	13.0779	ACOT11	6.376
ACOT13	472.3239	ACOT13	964.2297
ACOT1	391.6171	ACOT1	2191.7329
ACOT2	295.3869	ACOT2	1352.4425
ACOT4	420.8829	ACOT4	336.9746
removed	removed	ACOT6	19.2257
ACOT7	415.1786	ACOT7	230.3592
ACOT8	371.121	ACOT8	200.5173
ACOT9	223.4623	ACOT9	803.985
ACOX1	1499.6553	ACOX1	4769.6443
ACOX2	1410.2183	ACOX2	608.2321
ACOX3	653.5218	ACOX3	465.9617
ACP1	1680.8036	ACP1	1058.1141
ACP2	638.1448	ACP2	1053.9194
ACP5	663.4425	ACP5	298.1736
ACP6	493.7996	ACP6	199.2484
ACPL2	308.0357	ACPL2	214.9786
ACPP	12.4008	ACPP	8.0398
ACRBP	33.4821	ACRBP	37.0532
ACRC	7.4405	ACRC	33.2081
removed	removed	ACR	7.3407
removed	removed	ACSBG1	12.2346
ACSF2	671.875	ACSF2	1215.066
ACSF3	357.6389	ACSF3	273.7044
ACSL1	642.1131	ACSL1	39093.9439
ACSL3	1886.1607	ACSL3	1856.5062
ACSL4	324.6528	ACSL4	2869.8768
ACSL5	643.3532	ACSL5	1134.3179
ACSL6	156.746	removed	removed
ACSM1	36.4583	removed	removed
removed	removed	ACSM2A	11.1859
removed	removed	ACSM2B	5.2434
ACSM3	7.3065	ACSM3	6.3305
ACSM5	7.1925	ACSM5	2048.7634
ACSS1	254.9603	ACSS1	370.8818
ACSS2	612.5992	ACSS2	6957.2665
ACSS3	212.0536	ACSS3	2015.9049
ACTA1	81.3492	removed	removed
ACTA2	4043.7103	ACTA2	5757.9726
ACTB	73929.5635	ACTB	58416.4992
removed	removed	ACTC1	24.4691
ACTG1	54397.3214	ACTG1	24393.2535
ACTG2	375.496	ACTG2	444.6386
ACTL6A	1493.3036	ACTL6A	572.9267
ACTL8	10.6647	removed	removed
ACTN1	5178.5714	ACTN1	5194.442
ACTN2	13.3929	removed	removed
ACTN4	8240.8705	ACTN4	9293.7202
ACTR10	1110.119	ACTR10	1256.6635
ACTR1A	1419.3948	ACTR1A	3603.95
ACTR1B	1106.1508	ACTR1B	1305.9512
ACTR2	6384.1766	ACTR2	6047.7148
ACTR3B	147.3214	ACTR3B	96.1286
ACTR3C	29.7619	ACTR3C	19.5753
ACTR3	3654.5139	ACTR3	2814.297
ACTR5	273.3135	ACTR5	149.6111
ACTR6	874.0079	ACTR6	460.0192
ACTR8	429.0675	ACTR8	473.3025
ACVR1B	1421.131	ACVR1B	953.2465
ACVR1C	10.1687	ACVR1C	4942.0606
ACVR1	1042.1627	ACVR1	1031.1981
ACVR2A	222.2222	ACVR2A	526.7849
ACVR2B	543.1548	ACVR2B	277.2
ACVRL1	285.4663	ACVRL1	1632.0895
ACY1	756.4162	ACY1	743.798
ACYP1	79.1171	ACYP1	33.2081
ACYP2	21.8254	ACYP2	269.8593
ADAL	216.5179	ADAL	336.2755
ADAM10	2883.4325	ADAM10	1296.8627
ADAM11	5.9524	removed	removed
ADAM12	3571.9246	ADAM12	1315.0398
ADAM15	7026.4534	ADAM15	4548.503
ADAM17	647.8175	ADAM17	669.0553
ADAM19	667.6587	ADAM19	164.6421
removed	removed	ADAM21	5.2434
ADAM22	104.4147	ADAM22	384.165
ADAM23	29.2659	ADAM23	68.1639
ADAM28	29.5139	ADAM28	8.3894
ADAM32	33.2341	ADAM32	41.2479
ADAM33	9.9206	ADAM33	332.0807
ADAM6	3980.4043	ADAM6	844.74
ADAM8	305.5556	ADAM8	44.0444
ADAM9	4194.9405	ADAM9	2679.0177
