gene_id	TCGA-E9-A1RD-01A-11R-A157-07	gene_id	TCGA-E9-A1RD-11A-33R-A157-07
?|100133144	14.6549	?|100133144	11.691
?|10357	76.4469	?|10357	114.6254
?|10431	871.1649	?|10431	763.7551
?|155060	152.3123	?|155060	186.82
?|390284	12.3496	?|390284	12.7448
?|553137	10.2914	removed	removed
?|57714	872.9658	?|57714	778.9866
?|645851	24.6993	removed	removed
removed	removed	?|652919	35.6357
?|653553	172.1232	?|653553	178.1163
?|8225	387.9848	?|8225	390.4259
?|90288	82.8456	?|90288	31.0849
A1BG	118.2891	A1BG	31.0196
A2LD1	54.6858	A2LD1	92.1977
A2M	12156.3877	A2M	36859.9223
A4GALT	58.1463	A4GALT	506.3724
removed	removed	A4GNT	15.8533
AAAS	777.5133	AAAS	612.0609
AACS	933.1704	AACS	709.3565
removed	removed	AADACL3	9.9472
removed	removed	AADAC	422.7541
AADAT	18.2672	AADAT	90.7678
AAGAB	2020.9687	AAGAB	826.8573
AAK1	1270.9848	AAK1	1194.5912
AAMP	1605.1971	AAMP	1767.7961
AARS2	298.9001	AARS2	262.3003
AARSD1	438.1553	AARSD1	469.6923
AARS	1847.559	AARS	2732.3593
AASDHPPT	1126.1337	AASDHPPT	765.931
AASDH	516.1124	AASDH	360.5844
AASS	219.4636	AASS	739.8197
AATF	957.0978	AATF	941.8713
AATK	13.3788	AATK	33.2608
ABAT	4075.6416	ABAT	398.5079
ABCA10	22.1265	ABCA10	534.9705
ABCA11P	146.1632	ABCA11P	112.838
ABCA12	63.292	ABCA12	35.1259
ABCA17P	8.4904	removed	removed
ABCA1	351.965	ABCA1	4538.5514
ABCA2	961.9862	ABCA2	1377.0594
ABCA3	2917.6047	ABCA3	1081.4423
ABCA4	503.5055	ABCA4	58.7504
ABCA5	327.2657	ABCA5	992.2288
ABCA6	99.569	ABCA6	1618.8996
ABCA7	478.5489	ABCA7	244.6379
ABCA8	37.3062	ABCA8	5475.2875
ABCA9	40.6509	ABCA9	2176.2512
ABCB10	609.5067	ABCB10	517.5629
removed	removed	ABCB11	12.4339
