gene_id	TCGA-E9-A1RF-01A-11R-A157-07	gene_id	TCGA-E9-A1RF-11A-32R-A157-07
?|100133144	13.4891	removed	removed
?|10357	107.2538	?|10357	93.3628
?|10431	767.2931	?|10431	613.1621
?|155060	168.9547	?|155060	116.3724
?|390284	8.5331	?|390284	6.4205
?|553137	34.4736	removed	removed
?|57714	707.5617	?|57714	1035.7143
?|645851	27.3058	?|645851	18.8604
?|652919	28.7428	removed	removed
?|653553	876.175	?|653553	194.6228
?|8225	463.516	?|8225	292.9374
?|90288	51.5397	?|90288	20.0642
A1BG	99.9529	A1BG	12.4398
A2LD1	91.3516	A2LD1	85.7624
A2M	8412.4951	A2M	38299.6228
A4GALT	302.4118	A4GALT	337.0787
AAAS	691.1782	AAAS	518.4591
AACSL	18.0901	removed	removed
AACS	1230.8091	AACS	535.313
removed	removed	AADACL2	25.2809
removed	removed	AADACL3	6.4205
removed	removed	AADAC	425.3612
AADAT	35.1562	AADAT	74.2376
AAGAB	1343.1043	AAGAB	709.8716
AAK1	1037.2792	AAK1	1492.7769
AAMP	2387.21	AAMP	1072.6324
AARS2	344.3535	AARS2	125.5979
AARSD1	459.0788	AARSD1	336.6774
AARS	3772.2969	AARS	2422.1509
AASDHPPT	396.9581	AASDHPPT	880.4173
AASDH	334.1548	AASDH	407.3034
AASS	122.5348	AASS	962.6806
AATF	850.5758	AATF	652.0867
AATK	10.581	AATK	16.4526
ABAT	236.1952	ABAT	194.6228
ABCA10	10.2397	ABCA10	556.4165
ABCA11P	93.5497	ABCA11P	115.939
ABCA12	750.5683	removed	removed
ABCA17P	5.1198	removed	removed
ABCA1	1349.2276	ABCA1	4845.4414
ABCA2	1113.0529	ABCA2	832.2632
ABCA3	1131.8256	ABCA3	838.2825
ABCA4	11.9463	ABCA4	8.0257
ABCA5	452.935	ABCA5	1400.6461
ABCA6	110.5885	ABCA6	1996.3884
ABCA7	239.9498	ABCA7	134.8315
ABCA8	12.9703	ABCA8	6774.4783
ABCA9	83.2827	ABCA9	4102.3274
ABCB10	596.6318	ABCB10	514.0449
removed	removed	ABCB11	5.618
ABCB1	37.8868	ABCB1	252.0064
ABCB4	24.2339	ABCB4	48.5554
removed	removed	ABCB5	88.6838
ABCB6	477.186	ABCB6	462.8491
ABCB7	380.5747	ABCB7	619.1814
ABCB8	409.9284	ABCB8	260.0321
ABCB9	274.3141	ABCB9	24.077
ABCC10	522.5648	ABCC10	199.4382
ABCC11	833.851	removed	removed
ABCC12	10.2397	removed	removed
ABCC1	1530.149	ABCC1	1215.0883
ABCC2	11.605	ABCC2	79.8555
ABCC3	490.4805	ABCC3	86.2761
ABCC4	125.6067	ABCC4	221.9101
ABCC5	4556.9975	ABCC5	674.5586
removed	removed	ABCC6P1	12.4398
ABCC6P2	18.7727	ABCC6P2	67.4157
ABCC6	173.0505	ABCC6	646.0674
ABCC8	107.1753	removed	removed
ABCC9	219.4704	ABCC9	3611.557
ABCD1	470.0012	ABCD1	284.1091
ABCD2	11.9463	ABCD2	1333.8684
ABCD3	1614.4557	ABCD3	1362.7608
ABCD4	560.4516	ABCD4	578.6517
ABCE1	1456.7647	ABCE1	1567.0144
ABCF1	1734.6012	ABCF1	1152.8892
ABCF2	965.2602	ABCF2	926.1637
ABCF3	1087.1123	ABCF3	536.1156
ABCG1	2333.6223	ABCG1	585.0722
ABCG2	26.9645	ABCG2	167.3355
removed	removed	ABCG8	5.2167
ABHD10	1144.4545	ABHD10	684.992
ABHD11	1002.8057	ABHD11	115.9711
removed	removed	ABHD12B	16.8539
ABHD12	3014.9021	ABHD12	709.8716
removed	removed	ABHD13	559.39
ABHD14A	284.663	ABHD14A	339.0851
ABHD14B	1261.8695	ABHD14B	3091.8941
ABHD15	709.9509	ABHD15	1618.3788
ABHD1	10.581	ABHD1	38.9246
