gene_id	TCGA-E9-A1RH-01A-21R-A169-07	gene_id	TCGA-E9-A1RH-11A-34R-A169-07
?|100134869	5.7093	removed	removed
?|10357	184.2677	?|10357	95.9003
?|10431	1633.4946	?|10431	760.0503
?|155060	41.551	?|155060	144.0536
?|340602	7.9296	removed	removed
?|390284	5.0749	?|390284	8.3752
?|57714	2142.8911	?|57714	844.6399
removed	removed	?|645851	8.3752
?|652919	21.2101	removed	removed
?|653553	374.5936	?|653553	168.7605
?|729884	110.0626	removed	removed
?|8225	363.8094	?|8225	428.8107
?|90288	6.6609	?|90288	34.3384
A1BG	117.1834	A1BG	31.2605
A2LD1	67.2778	A2LD1	129.7529
A2ML1	168.7416	A2ML1	5.4439
A2M	2875.5689	A2M	43016.5913
A4GALT	321.3068	A4GALT	460.2178
AAAS	570.613	AAAS	523.8693
AACS	2486.0836	AACS	2050.67
AADAC	34.2558	AADAC	314.4891
AADAT	1961.7794	AADAT	82.0771
AAGAB	700.9753	AAGAB	695.5611
AAK1	1846.6418	AAK1	1634.4221
AAMP	2806.4388	AAMP	1927.9732
AARS2	284.8307	AARS2	220.6491
AARSD1	295.6149	AARSD1	456.4489
AARS	5162.4772	AARS	3099.665
AASDHPPT	1158.3538	AASDHPPT	850.0838
AASDH	847.5141	AASDH	395.7286
AASS	52.6524	AASS	1291.0385
AATF	1962.4138	AATF	923.3668
AATK	11.7358	AATK	30.1508
ABAT	302.2758	ABAT	390.2848
removed	removed	ABCA10	506.093
ABCA11P	163.194	ABCA11P	143.2873
ABCA12	1480.9293	ABCA12	18.0067
ABCA13	81.8333	removed	removed
ABCA17P	10.4671	ABCA17P	5.0251
ABCA1	1053.0458	ABCA1	4890.4858
ABCA2	604.5516	ABCA2	1523.4506
ABCA3	526.2073	ABCA3	1157.4539
ABCA4	252.478	ABCA4	71.608
ABCA5	416.1446	ABCA5	1020.2889
ABCA6	17.4451	ABCA6	1105.1089
ABCA7	150.6621	ABCA7	285.5946
ABCA8	19.031	ABCA8	6556.5327
ABCA9	8.2468	ABCA9	3392.3786
ABCB10	498.6123	ABCB10	533.0821
removed	removed	ABCB11	7.9564
removed	removed	ABCB1	351.7588
ABCB4	32.3527	ABCB4	49.4137
removed	removed	ABCB5	281.407
ABCB6	766.9336	ABCB6	605.3099
ABCB7	538.5774	ABCB7	677.9732
ABCB8	431.6866	ABCB8	369.3467
