gene_id	TCGA-E9-A1RI-01A-11R-A169-07	gene_id	TCGA-E9-A1RI-11A-41R-A169-07
?|100133144	15.6181	removed	removed
?|100134869	5.6004	removed	removed
?|10357	88.2366	?|10357	84.4595
?|10431	1203.9865	?|10431	765.5299
?|155060	130.2041	?|155060	64.9213
?|390284	12.8597	?|390284	8.1152
?|553137	5.4654	removed	removed
?|57714	1064.1376	?|57714	873.732
?|645851	20.897	?|645851	7.3423
?|652919	39.4181	?|652919	135.0826
?|653553	217.0069	?|653553	163.076
?|8225	268.4456	?|8225	194.3774
?|90288	49.1882	?|90288	18.5489
A1BG	147.7994	A1BG	12.4471
A2LD1	175.5409	A2LD1	107.5297
removed	removed	A2ML1	6.5694
A2M	13538.5436	A2M	28054.7619
A4GALT	163.6393	A4GALT	210.6077
AAAS	757.113	AAAS	502.7534
AACS	816.589	AACS	1122.2104
removed	removed	AADAC	606.3182
AADAT	68.4777	AADAT	83.0838
AAGAB	1909.3393	AAGAB	819.631
AAK1	979.9068	AAK1	1337.8418
AAMP	1366.0183	AAMP	1076.2245
AARS2	334.6472	AARS2	139.5034
AARSD1	701.1734	AARSD1	305.6709
AARS	1698.7623	AARS	2647.0872
AASDHPPT	1373.4126	AASDHPPT	936.7211
AASDH	439.1577	AASDH	356.2941
AASS	734.9301	AASS	733.0693
AATF	1363.4464	AATF	769.0078
AATK	26.6935	AATK	16.6554
ABAT	4266.5166	ABAT	235.3396
ABCA10	61.4049	ABCA10	447.493
ABCA11P	213.702	ABCA11P	125.1821
ABCA12	69.7637	removed	removed
ABCA17P	13.8241	removed	removed
ABCA1	1151.5673	ABCA1	3810.4724
ABCA2	664.5234	ABCA2	1183.2673
ABCA3	1925.7354	ABCA3	803.7871
ABCA4	22.8259	ABCA4	16.6168
ABCA5	640.09	ABCA5	1699.1595
ABCA6	224.7227	ABCA6	1865.7135
ABCA7	132.4546	ABCA7	141.0492
ABCA8	178.4279	ABCA8	6310.5014
ABCA9	159.1384	ABCA9	1408.1731
ABCB10	505.385	ABCB10	622.1621
removed	removed	ABCB11	20.0947
ABCB1	74.2646	ABCB1	70.7178
ABCB4	48.8667	ABCB4	27.8234
ABCB5	10.9307	ABCB5	71.8771
ABCB6	344.5073	ABCB6	536.6477
ABCB7	443.0156	ABCB7	674.331
ABCB8	634.6247	ABCB8	215.2449
ABCB9	121.6042	ABCB9	37.4843
ABCC10	343.0317	ABCC10	160.7574
ABCC11	690.8857	ABCC11	55.2604
ABCC12	5.4654	removed	removed
ABCC13	229.8666	removed	removed
ABCC1	1399.4535	ABCC1	1174.3793
ABCC2	5.4654	ABCC2	24.3455
ABCC3	598.9391	ABCC3	88.4939
ABCC4	144.6713	ABCC4	86.5617
ABCC5	4856.4539	ABCC5	461.7911
removed	removed	ABCC6P1	10.0473
ABCC6P2	54.6536	ABCC6P2	58.3519
