gene_id	TCGA-GI-A2C8-01A-11R-A16F-07	gene_id	TCGA-GI-A2C8-11A-22R-A16F-07
?|100133144	14.8728	?|100133144	6.8563
?|100134869	6.8809	?|100134869	11.241
?|10357	72.7778	?|10357	70.5843
?|10431	664.324	?|10431	1698.0352
?|155060	219.8795	?|155060	61.5305
?|390284	5.6894	?|390284	7.7559
?|553137	7.0281	removed	removed
?|57714	658.6345	?|57714	456.5667
?|645851	28.1124	?|645851	10.3413
?|652919	51.0843	?|652919	69.819
?|653553	334.3373	?|653553	1139.607
?|8225	349.0629	?|8225	628.7487
?|90288	32.7979	removed	removed
A1BG	147.8012	A1BG	9.8242
removed	removed	A2BP1	2753.878
A2LD1	77.7811	A2LD1	49.1158
A2M	18412.5602	A2M	18552.5388
A4GALT	232.2624	A4GALT	357.2906
AAAS	408.9692	AAAS	692.8645
AACS	549.5315	AACS	287.4871
AADAT	108.7684	AADAT	24.302
AAGAB	2218.2062	AAGAB	1003.1024
AAK1	938.0857	AAK1	852.12
AAMP	2059.2369	AAMP	1800.4137
AARS2	265.6928	AARS2	214.0538
AARSD1	303.5475	AARSD1	2914.1675
AARS	3230.9237	AARS	3208.8935
AASDHPPT	995.9471	AASDHPPT	1552.1406
AASDH	200.4685	AASDH	295.243
AASS	129.5181	AASS	363.4953
AATF	865.4618	AATF	465.3568
AATK	39.1934	AATK	11.3754
ABAT	223.2262	ABAT	43.9504
ABCA10	21.7537	ABCA10	75.5119
ABCA11P	40.994	ABCA11P	99.9897
ABCA12	376.1714	removed	removed
ABCA13	30.4552	removed	removed
removed	removed	ABCA17P	8.273
ABCA1	1039.1031	ABCA1	2487.8852
ABCA2	2300.5355	ABCA2	927.0941
ABCA3	1411.6466	ABCA3	467.9421
ABCA4	164.6586	ABCA4	8.7901
ABCA5	309.9063	ABCA5	1978.2627
ABCA6	110.7764	ABCA6	367.1148
ABCA7	206.4926	ABCA7	98.759
ABCA8	125.502	ABCA8	1575.4912
ABCA9	38.822	ABCA9	257.4974
ABCB10	404.2838	ABCB10	778.1799
ABCB1	124.8327	ABCB1	21.7166
ABCB4	45.1807	ABCB4	297.8283
ABCB5	5.6894	ABCB5	6.7218
ABCB6	526.0308	ABCB6	854.7001
ABCB7	330.656	ABCB7	1033.6091
ABCB8	968.5408	ABCB8	375.3878
ABCB9	211.5897	ABCB9	21.303
ABCC10	393.2396	ABCC10	232.1613
ABCC11	17.0683	removed	removed
removed	removed	ABCC12	39.2968
ABCC1	1049.1968	ABCC1	1106.515
ABCC2	27.7778	ABCC2	27.4043
ABCC3	296.5194	removed	removed
ABCC4	1554.5515	ABCC4	285.4188
ABCC5	4379.5181	ABCC5	1066.1841
ABCC6P2	14.7256	ABCC6P2	28.4385
ABCC6	15.0602	ABCC6	35.6774
ABCC8	827.6439	ABCC8	20.6825
ABCC9	271.419	ABCC9	3763.7022
ABCD1	613.4538	ABCD1	686.1427
ABCD2	14.0562	ABCD2	10.8583
ABCD3	2248.3266	ABCD3	1375.9049
ABCD4	350.4016	ABCD4	282.8335
ABCE1	1197.1218	ABCE1	1376.939
ABCF1	1316.9344	ABCF1	3290.5895
ABCF2	1476.573	ABCF2	2522.2337
ABCF3	1215.8635	ABCF3	1792.1406
ABCG1	913.3199	ABCG1	1815.4085
ABCG2	290.4953	ABCG2	52.2234
ABHD10	542.5033	ABHD10	817.4767
ABHD11	847.0549	ABHD11	299.3795
ABHD12B	620.8166	removed	removed
ABHD12	2105.087	ABHD12	275.0776
ABHD13	514.7256	ABHD13	483.971
ABHD14A	172.3561	ABHD14A	458.635
ABHD14B	1274.0964	ABHD14B	535.6774
ABHD15	198.4605	ABHD15	114.788
ABHD1	7.3628	ABHD1	50.6722
ABHD2	6611.4458	ABHD2	1892.4509
ABHD3	338.6881	ABHD3	189.7622
ABHD4	1410.6426	ABHD4	736.2978
ABHD5	589.0228	ABHD5	906.4116
ABHD6	135.5422	ABHD6	129.7828
ABHD8	260.0402	ABHD8	219.2347
ABI1	1429.6386	ABI1	987.0683
ABI2	1296.1847	ABI2	732.1613
ABI3BP	700.8032	ABI3BP	1375.9049
ABI3	322.9585	ABI3	72.9059
ABL1	2672.3561	ABL1	1492.2441
ABL2	1486.6131	ABL2	716.6494
ABLIM1	2938.755	ABLIM1	4928.1282
ABLIM2	62.249	ABLIM2	5495.8635
ABLIM3	306.2249	ABLIM3	1299.8966
ABO	5.3548	removed	removed
ABP1	9.7055	removed	removed
removed	removed	ABRA	11661.3237
ABR	1909.9732	ABR	1533.6091
ABT1	416.6667	ABT1	438.4695
ABTB1	603.7483	ABTB1	617.3733
ABTB2	4006.3588	ABTB2	634.9535
ACAA1	858.7684	ACAA1	1157.7042
ACAA2	527.7778	ACAA2	4516.546
ACACA	1150.9371	ACACA	859.8759
ACACB	255.6894	ACACB	5481.9028
ACAD10	394.2436	ACAD10	504.1365
ACAD11	430.2845	ACAD11	259.0486
ACAD8	754.6854	ACAD8	1177.3526
ACAD9	1047.2624	ACAD9	1016.546
removed	removed	ACADL	447.2596
ACADM	773.0924	ACADM	11752.8438
ACADSB	3093.0388	ACADSB	3719.7518
ACADS	64.5917	ACADS	3632.3681
ACADVL	3960.7363	ACADVL	25832.9628
ACAN	82.664	ACAN	34.6432
ACAP1	59.2369	ACAP1	38.2627
ACAP2	1553.8822	ACAP2	688.728
ACAP3	613.8722	ACAP3	593.092
ACAT1	1202.1419	ACAT1	18108.5832
ACAT2	205.2811	ACAT2	133.4953
ACBD3	2745.9839	ACBD3	1223.8883
ACBD4	169.6787	ACBD4	105.4809
ACBD5	1001.3387	ACBD5	1572.3888
ACBD6	465.8635	ACBD6	301.9648
ACCN2	33.8019	ACCN2	28.4385
ACCN3	83.3333	ACCN3	25.3361
ACCS	265.0602	ACCS	47.5698
ACD	226.573	ACD	132.8852
ACER2	108.0991	ACER2	41.8821
ACER3	528.1124	ACER3	118.9245
ACE	1040.4953	ACE	980.8687
ACHE	44.1767	ACHE	4510.8583
removed	removed	ACIN1	2240.4343
ACLY	2698.1258	ACLY	1038.2627
ACN9	151.2718	ACN9	323.6815
ACO1	690.4284	ACO1	1621.5098
ACO2	2724.913	ACO2	22869.8604
ACOT11	54.8862	ACOT11	536.6908
ACOT13	411.5361	ACOT13	889.2244
ACOT1	783.1325	ACOT1	1606.515
ACOT2	476.2383	ACOT2	1071.8718
ACOT4	179.3842	ACOT4	16.029
removed	removed	ACOT6	24.302
ACOT7	783.4672	ACOT7	68.7694
ACOT8	421.0375	ACOT8	576.8149
ACOT9	337.0147	ACOT9	829.8862
ACOX1	1396.2517	ACOX1	3127.1975
ACOX2	1523.0924	ACOX2	259.5657
ACOX3	420.3481	ACOX3	233.1954
ACOXL	58.2329	removed	removed
ACP1	1026.1044	ACP1	1484.4881
ACP2	835.676	ACP2	516.029
ACP5	4593.7082	ACP5	31.5408
ACP6	202.8112	ACP6	114.788
ACPL2	396.921	ACPL2	135.4705
ACPP	51.2048	removed	removed
ACRBP	39.826	ACRBP	6.7218
ACRC	10.0402	ACRC	38.2627
removed	removed	ACR	5.1706
ACSBG1	6.0241	ACSBG1	31.0238
ACSF2	218.5408	ACSF2	756.9804
ACSF3	266.0643	ACSF3	370.2172
ACSL1	2775.7697	ACSL1	26967.425
ACSL3	3086.0107	ACSL3	3708.3764
ACSL4	934.0696	ACSL4	1256.9804
ACSL5	838.6881	ACSL5	171.6649
ACSL6	11.7135	ACSL6	24.302
ACSM1	5.3548	removed	removed
ACSM3	15.0736	ACSM3	51.696
ACSM5	57.5636	ACSM5	270.424
ACSS1	1496.6533	ACSS1	1591.5202
ACSS2	1182.7309	ACSS2	5474.6639
ACSS3	63.5877	ACSS3	204.2399
removed	removed	ACTA1	1486514.995
ACTA2	9485.5857	ACTA2	2541.9493
ACTB	91635.2075	ACTB	24155.636
ACTC1	5.0201	ACTC1	5736.2978
ACTG1	48647.5904	ACTG1	13925.0259
ACTG2	76.6399	ACTG2	62.0476
ACTL6A	869.8126	ACTL6A	331.9545
ACTN1	6095.7162	ACTN1	834.5398
ACTN2	13.0522	ACTN2	308880.5584
removed	removed	ACTN3	31844.8811
ACTN4	8902.7477	ACTN4	2394.2037
ACTR10	1080.9906	ACTR10	1610.1344
ACTR1A	3145.917	ACTR1A	5235.7808
ACTR1B	1370.1473	ACTR1B	2566.7011
ACTR2	5913.9893	ACTR2	3765.2534
ACTR3B	184.0696	ACTR3B	117.3733
ACTR3C	23.427	ACTR3C	11.3754
ACTR3	4667.0013	ACTR3	1777.6629
ACTR5	192.1017	ACTR5	116.8563
ACTR6	555.8902	ACTR6	516.029
ACTR8	310.5756	ACTR8	450.3619
ACVR1B	1522.0884	ACVR1B	567.7353
removed	removed	ACVR1C	47.5698
ACVR1	1124.1633	ACVR1	902.7921
ACVR2A	469.2102	ACVR2A	385.7291
ACVR2B	390.8969	ACVR2B	777.6629
ACVRL1	423.6948	ACVRL1	722.8542
ACY1	517.7376	ACY1	673.7332
ACYP1	23.0924	ACYP1	125.6463
ACYP2	47.5234	ACYP2	1748.1903
ADAL	167.6707	ADAL	875.9049
ADAM10	4544.1767	ADAM10	785.4188
ADAM11	6.0241	removed	removed
ADAM12	3769.0763	ADAM12	33.092
ADAM15	2158.33	ADAM15	1307.1355
ADAM17	598.3936	ADAM17	506.7218
removed	removed	ADAM19	341.7787
removed	removed	ADAM21P1	9.3071
ADAM21	5.3548	ADAM21	8.7901
ADAM22	154.6185	ADAM22	118.4074
ADAM23	40.83	ADAM23	338.6763
ADAM28	175.0335	removed	removed
ADAM32	14.3909	removed	removed
ADAM33	149.2637	ADAM33	128.2316
ADAM6	4859.2303	ADAM6	37.4974
ADAM8	143.5743	ADAM8	13.9607
ADAM9	2866.1312	ADAM9	1678.3868
ADAMDEC1	14.3909	removed	removed
ADAMTS10	200.8032	ADAMTS10	40.848
ADAMTS12	544.1767	ADAMTS12	165.9772
ADAMTS13	121.8206	ADAMTS13	41.8821
ADAMTS14	278.1124	ADAMTS14	19.1313
ADAMTS15	56.5596	ADAMTS15	54.2916
ADAMTS16	268.7416	ADAMTS16	93.5884
ADAMTS17	36.4793	ADAMTS17	35.1603
ADAMTS18	14.0562	ADAMTS18	6.7218
removed	removed	ADAMTS19	29.4726
ADAMTS1	725.2343	ADAMTS1	7951.3961
removed	removed	ADAMTS2	296.2771
ADAMTS3	38.1526	ADAMTS3	25.3361
ADAMTS4	697.7912	ADAMTS4	911.0651
ADAMTS5	298.8621	ADAMTS5	361.4271
ADAMTS6	122.1553	ADAMTS6	12.4095
ADAMTS7	251.6734	ADAMTS7	124.0951
ADAMTS8	7.0281	ADAMTS8	40.3309
ADAMTS9	460.5087	ADAMTS9	914.1675
ADAMTSL1	157.2959	ADAMTSL1	34.6432
ADAMTSL2	374.498	ADAMTSL2	124.6122
ADAMTSL3	234.6051	ADAMTSL3	691.8304
ADAMTSL4	115.7965	ADAMTSL4	3757.4974
ADAMTSL5	5.0201	ADAMTSL5	387.7973
ADAP1	40.7999	ADAP1	8.8573
ADAP2	654.6185	ADAP2	67.2182
ADARB1	827.6439	ADARB1	413.6505
ADARB2	14.7256	removed	removed
ADAR	11135.8768	ADAR	1826.7839
ADAT1	381.8608	ADAT1	177.3526
ADAT2	61.9143	ADAT2	47.5698
ADAT3	50.2008	ADAT3	13.4436
ADA	102.7443	ADA	169.0796
ADCK1	130.5221	ADCK1	167.5284
ADCK2	1158.2999	ADCK2	349.5346
ADCK4	529.1165	ADCK4	243.0196
ADCK5	84.0027	ADCK5	65.667
ADCY1	96.7202	ADCY1	1143.7435
ADCY2	52.5435	ADCY2	4628.2316
ADCY3	770.1339	ADCY3	414.2451
ADCY4	243.9759	ADCY4	304.0331
ADCY5	1811.5797	ADCY5	27.9214
ADCY6	1568.2731	ADCY6	642.7094
ADCY7	804.2169	ADCY7	442.0889
ADCY9	923.6948	ADCY9	3496.3806
removed	removed	ADCYAP1R1	23.2678
ADCYAP1	13.0522	removed	removed
ADC	247.992	ADC	74.9741
ADD1	4701.1379	ADD1	8417.2699
