gene_id	TCGA-GI-A2C9-01A-11R-A21T-07	gene_id	TCGA-GI-A2C9-11A-22R-A21T-07
?|100133144	17.295	?|100133144	9.9332
?|100134869	23.1124	?|100134869	5.0207
?|10357	166.0144	?|10357	120.9068
?|10431	1334.7804	?|10431	665.9243
?|155060	284.1877	?|155060	283.8053
?|390284	5.6771	removed	removed
?|57714	607.7809	?|57714	521.7945
removed	removed	?|645851	11.454
removed	removed	?|652919	41.3108
?|653553	201.3692	?|653553	220.49
removed	removed	?|729884	5.727
?|8225	565.3698	?|8225	482.978
removed	removed	?|90288	11.454
A1BG	91.9553	A1BG	71.979
A2LD1	127.3602	A2LD1	71.3777
A2ML1	772.75	A2ML1	11.7722
A2M	11824.6652	A2M	29384.6357
A4GALT	870.93	A4GALT	891.1868
removed	removed	A4GNT	5.4088
AAAS	414.0925	AAAS	460.07
AACS	787.1097	AACS	759.7836
AADAT	138.9214	AADAT	93.5412
AAGAB	1118.3837	AAGAB	918.5492
AAK1	1066.2882	AAK1	1101.8136
AAMP	2007.6807	AAMP	1904.2316
AARS2	319.2453	AARS2	416.7897
AARSD1	384.3713	AARSD1	526.8851
AARS	9310.7363	AARS	2279.0328
AASDHPPT	864.201	AASDHPPT	741.6481
AASDH	334.9474	AASDH	426.0261
AASS	112.5397	AASS	627.426
AATF	1161.7966	AATF	907.0951
AATK	75.8056	AATK	79.5418
ABAT	162.6315	ABAT	316.8947
ABCA10	9.3505	ABCA10	599.1091
ABCA11P	70.2655	ABCA11P	90.8654
ABCA12	23.0422	ABCA12	5.727
ABCA13	381.3658	ABCA13	22.908
ABCA17P	50.4258	removed	removed
ABCA1	502.2541	ABCA1	1670.035
ABCA2	915.3448	ABCA2	1240.8527
ABCA3	2239.7729	ABCA3	1014.9539
ABCA4	18.367	ABCA4	63.9516
ABCA5	436.8008	ABCA5	1114.8584
ABCA6	30.389	ABCA6	1115.1766
ABCA7	320.2538	ABCA7	287.6233
ABCA8	8.0147	ABCA8	3602.609
ABCA9	6.6789	ABCA9	1893.4139
ABCB10	784.4381	ABCB10	428.8896
ABCB1	29.7212	ABCB1	349.0296
ABCB4	27.0496	ABCB4	31.1804
removed	removed	ABCB5	170.5377
ABCB6	370.3256	ABCB6	371.7467
ABCB7	348.3052	ABCB7	443.8435
ABCB8	364.3346	ABCB8	339.1664
ABCB9	190.9167	ABCB9	163.7512
ABCC10	640.8415	ABCC10	423.4808
ABCC11	12.6899	ABCC11	9.545
ABCC1	1822.341	ABCC1	1205.8543
ABCC2	7.0129	ABCC2	20.6809
ABCC3	284.5216	ABCC3	784.2825
ABCC4	1168.4755	ABCC4	169.5832
ABCC5	2008.6826	ABCC5	918.8673
removed	removed	ABCC6P2	10.8177
ABCC6	24.0441	ABCC6	103.0862
removed	removed	ABCC8	23.5444
ABCC9	71.4644	ABCC9	1317.531
ABCD1	677.9095	ABCD1	264.0789
ABCD2	14.3597	ABCD2	80.4963
ABCD3	1172.1489	ABCD3	1307.3497
ABCD4	263.4831	ABCD4	731.4668
ABCE1	1923.8604	ABCE1	1774.4193
ABCF1	2382.0337	ABCF1	1441.6163
ABCF2	1164.8021	ABCF2	1101.1772
ABCF3	1407.5806	ABCF3	920.14
ABCG1	470.8632	ABCG1	653.5157
ABCG2	38.7377	ABCG2	186.4461
ABHD10	501.2523	ABHD10	566.0197
ABHD11	877.9429	ABHD11	597.8365
ABHD12	1946.5687	ABHD12	718.1037
ABHD13	669.2269	ABHD13	772.8285
ABHD14A	111.2139	ABHD14A	212.0172
ABHD14B	1194.8572	ABHD14B	1629.0169
ABHD15	207.3802	ABHD15	321.0309
ABHD1	12.356	ABHD1	12.4085
ABHD2	5201.5361	ABHD2	2875.2784
ABHD3	863.2493	ABHD3	260.2609
ABHD4	563.3662	ABHD4	715.2402
ABHD5	566.7056	ABHD5	1124.0853
ABHD6	176.3233	ABHD6	335.0302
ABHD8	425.4467	ABHD8	217.6265
ABI1	2399.4423	ABI1	1655.6952
ABI2	2027.3835	ABI2	1851.734
ABI3BP	49.4239	ABI3BP	2951.6386
ABI3	121.5562	ABI3	255.8066
ABL1	1076.6405	ABL1	3192.8094
ABL2	2212.7233	ABL2	1402.7999
ABLIM1	2701.9536	ABLIM1	7985.3643
ABLIM2	155.9526	ABLIM2	153.6748
ABLIM3	156.2865	ABLIM3	1589.8823
ABO	41.4093	ABO	21.3172
ABP1	47.7542	ABP1	12.4085
ABR	2334.6135	ABR	2141.5845
ABT1	659.8764	ABT1	540.8845
ABTB1	473.8688	ABTB1	872.0967
ABTB2	1052.2625	ABTB2	159.0837
ACAA1	673.2343	ACAA1	806.2361
ACAA2	620.1369	ACAA2	1412.0267
ACACA	1318.0832	ACACA	1259.6246
ACACB	303.2226	ACACB	2839.3255
ACAD10	384.0374	ACAD10	462.9335
ACAD11	302.8886	ACAD11	522.0872
ACAD8	497.5789	ACAD8	489.3414
ACAD9	1028.2151	ACAD9	751.279
ACADL	32.0588	ACADL	35.6347
ACADM	1702.4545	ACADM	1193.4458
ACADSB	643.8471	ACADSB	1563.1562
ACADS	247.1197	ACADS	468.0242
ACADVL	3837.0045	ACADVL	6862.5199
ACAN	1437.9696	ACAN	7.9542
ACAP1	66.7891	ACAP1	103.0862
ACAP2	2428.4522	ACAP2	1601.6545
ACAP3	316.6138	ACAP3	469.615
ACAT1	1524.7955	ACAT1	1171.4922
ACAT2	337.0646	ACAT2	245.132
ACBD3	3134.0791	ACBD3	1739.1028
ACBD4	152.2792	ACBD4	266.9424
ACBD5	1006.178	ACBD5	745.7843
ACBD6	565.3698	ACBD6	343.9389
ACBD7	78.1433	ACBD7	62.0426
removed	removed	ACCN1	9.8632
ACCN2	172.6499	ACCN2	147.6297
ACCN3	33.0606	ACCN3	9.8632
removed	removed	ACCS	329.9395
ACD	332.9437	ACD	329.6214
ACE2	32.0588	ACE2	34.3621
ACER2	68.7928	ACER2	125.3579
ACER3	386.375	ACER3	360.1654
ACE	380.6979	ACE	1065.5425
ACHE	11.0202	ACHE	29.9077
ACIN1	2081.8167	ACIN1	3541.839
ACLY	2997.8294	ACLY	2869.8696
ACN9	206.0444	ACN9	182.3099
ACO1	766.0711	ACO1	1557.111
ACO2	3952.8769	ACO2	1683.0608
ACOT11	86.158	ACOT11	41.5304
ACOT13	811.6013	ACOT13	452.2717
ACOT1	311.2373	ACOT1	345.2116
ACOT2	213.3912	ACOT2	228.4442
ACOT4	62.7818	ACOT4	42.6344
ACOT7	967.4403	ACOT7	220.1718
ACOT8	326.8192	ACOT8	224.1871
ACOT9	641.1755	ACOT9	508.1133
ACOX1	1839.8931	ACOX1	1322.9749
ACOX2	24.0441	ACOX2	308.6223
ACOX3	262.4812	ACOX3	557.7474
ACOXL	5.0092	removed	removed
