gene_id	TCGA-22-5491-01A-01R-1635-07	gene_id	TCGA-22-5491-11A-01R-1858-07
?|100133144	22.8634	?|100133144	5.0359
?|100134869	18.3978	removed	removed
?|10357	177.5609	?|10357	108.5392
?|10431	1550.6621	?|10431	607.5949
?|155060	40.0907	?|155060	48.5802
?|390284	6.4379	?|390284	5.1317
?|57714	187.5777	?|57714	365.0359
?|645851	5.5600	removed	removed
?|652919	10.6723	removed	removed
?|653553	1719.2187	?|653553	263.7701
?|729884	2996.5616	removed	removed
?|8225	1563.8306	?|8225	808.0739
?|90288	21.0696	?|90288	5.1317
A1BG	17.5580	A1BG	87.6223
A2LD1	129.9759	A2LD1	78.9531
A2ML1	11137.9033	removed	removed
A2M	2796.9508	A2M	99867.4718
A4GALT	2957.9340	A4GALT	463.2227
AAAS	998.4637	AAAS	556.9620
AACS	1205.3552	AACS	707.8344
AADACL2	48.8697	removed	removed
AADAC	555.7100	AADAC	181.6627
AADAT	56.4782	AADAT	114.6083
AAGAB	2477.7233	AAGAB	752.9935
AAK1	631.5019	AAK1	789.9418
AAMP	2761.2847	AAMP	2165.9254
AARS2	270.9781	AARS2	306.1923
AARSD1	559.5142	AARSD1	386.5891
AARS	5661.8626	AARS	2671.9124
AASDHPPT	1114.0537	AASDHPPT	605.5423
AASDH	300.8267	AASDH	219.6374
AASS	655.7905	AASS	712.2819
AATF	1378.5939	AATF	1159.7674
AATK	19.8990	AATK	1055.8946
ABAT	607.5060	ABAT	230.9271
ABCA10	7.6085	ABCA10	35.9220
ABCA11P	93.7391	ABCA11P	67.1707
ABCA12	601.3607	removed	removed
ABCA13	1339.9663	ABCA13	9.5792
ABCA1	1492.7208	ABCA1	1348.2621
ABCA2	217.1337	ABCA2	778.6521
ABCA3	25.1664	ABCA3	45983.5785
ABCA4	14.0464	ABCA4	53.0277
ABCA5	302.2899	ABCA5	205.2686
ABCA6	9.9495	ABCA6	180.2942
ABCA7	137.8301	ABCA7	492.6445
ABCA8	15.8022	ABCA8	723.9138
ABCA9	6.7306	ABCA9	140.2668
ABCB10	524.9835	ABCB10	375.9836
ABCB1	46.2360	ABCB1	216.2162
removed	removed	ABCB4	5.8159
ABCB6	494.5878	ABCB6	280.7253
ABCB7	523.5204	ABCB7	340.0616
ABCB8	688.2727	ABCB8	727.6770
ABCB9	211.5356	ABCB9	110.0753
ABCC10	465.5790	ABCC10	485.8023
ABCC11	10.8274	removed	removed
removed	removed	ABCC13	8.8950
ABCC1	3943.2292	ABCC1	1796.7841
ABCC3	89.8383	ABCC3	411.9056
ABCC4	583.5101	ABCC4	1312.3503
ABCC5	17234.3258	ABCC5	334.2456
removed	removed	ABCC6P1	39.3431
ABCC6P2	7.3158	ABCC6P2	103.3185
ABCC6	14.9243	ABCC6	848.7855
removed	removed	ABCC8	72.1861
removed	removed	ABCC9	566.8833
ABCD1	228.8390	ABCD1	351.6935
ABCD2	16.3874	ABCD2	16.7636
ABCD3	2077.9867	ABCD3	1351.3514
ABCD4	313.7025	ABCD4	744.0985
ABCE1	2251.8107	ABCE1	770.0992
ABCF1	1592.5086	ABCF1	1668.1492
ABCF2	2297.7540	ABCF2	908.3134
ABCF3	4095.6910	ABCF3	1083.4759
ABCG1	1227.0100	ABCG1	1139.9247
ABCG2	203.0873	ABCG2	396.1683
ABHD10	1442.6805	ABHD10	492.9867
ABHD11	1599.2392	ABHD11	374.9572
ABHD12B	182.8956	removed	removed
ABHD12	1705.4649	ABHD12	1331.1666
ABHD13	397.9808	ABHD13	575.0941
ABHD14A	156.0553	ABHD14A	527.2460
ABHD14B	817.6165	ABHD14B	2440.3011
ABHD15	412.0272	ABHD15	292.1656
ABHD2	2250.0549	ABHD2	5998.2894
ABHD3	1540.4199	ABHD3	309.2713
ABHD4	873.5094	ABHD4	1075.6073
ABHD5	984.7099	ABHD5	595.9631
ABHD6	445.0947	ABHD6	715.0188
ABHD8	456.2148	ABHD8	308.2450
ABI1	3100.8881	ABI1	1184.8341
ABI2	676.5674	ABI2	1435.5115
ABI3BP	55.3076	ABI3BP	3238.7958
ABI3	136.9522	ABI3	507.0133
ABL1	1175.2140	ABL1	1952.7882
ABL2	312.5320	ABL2	565.1728
ABLIM1	3258.7607	ABLIM1	5280.5337
ABLIM2	79.8888	ABLIM2	124.5296
ABLIM3	85.4488	ABLIM3	1270.2703
ABO	152.4618	ABO	170.3729
ABP1	28.9707	ABP1	14.7109
ABR	709.9276	ABR	3257.6120
ABT1	1028.8975	ABT1	703.7290
ABTB1	389.2018	ABTB1	1374.6151
removed	removed	ABTB2	81.7653
ACAA1	763.1868	ACAA1	1840.2326
ACAA2	835.1745	ACAA2	1987.6839
ACACA	2149.9744	ACACA	2563.1201
ACACB	74.0361	ACACB	614.7793
ACAD10	418.1725	ACAD10	449.8803
ACAD11	235.2506	ACAD11	361.2727
ACAD8	532.2994	ACAD8	578.1731
ACAD9	1640.3892	ACAD9	791.6524
ACADL	9.9495	ACADL	399.2473
ACADM	364.9133	ACADM	852.8909
ACADSB	524.3983	ACADSB	915.8399
ACADS	287.6582	ACADS	791.6524
ACADVL	2095.2345	ACADVL	3981.3548
ACAN	23.9959	ACAN	9.2371
ACAP1	59.6971	ACAP1	235.3746
ACAP2	7902.5532	ACAP2	1007.1844
ACAP3	506.2580	ACAP3	365.3815
ACAT1	932.3286	ACAT1	1781.0469
ACAT2	1694.2278	ACAT2	736.9449
ACBD3	1557.9779	ACBD3	1336.2983
ACBD4	43.0170	ACBD4	362.6411
ACBD5	749.1404	ACBD5	846.7328
ACBD6	718.9992	ACBD6	399.9316
ACBD7	49.4550	ACBD7	10.9477
ACCN2	371.0586	ACCN2	24.2901
ACCN3	5.2674	removed	removed
ACCS	105.3479	ACCS	194.6630
ACD	376.9113	ACD	352.0356
ACE2	894.2863	ACE2	85.5286
ACER2	129.3438	ACER2	55.7646
ACER3	501.2803	ACER3	353.4040
ACE	145.1460	ACE	3171.3992
removed	removed	ACHE	71.5019
ACIN1	1198.6246	ACIN1	2256.9278
ACLY	4099.4952	ACLY	2781.7311
ACN9	473.1875	ACN9	126.5823
ACO1	610.4324	ACO1	1193.2946
ACO2	6406.1980	ACO2	2767.3144
ACOT11	77.5477	ACOT11	79.7776
ACOT13	704.1656	ACOT13	575.5183
ACOT1	242.5927	ACOT1	522.7506
ACOT2	233.5211	ACOT2	310.2976
ACOT4	30.4338	ACOT4	61.5806
ACOT7	848.6356	ACOT7	472.4598
ACOT8	510.4689	ACOT8	453.4417
ACOT9	1279.0987	ACOT9	700.6500
ACOX1	2772.4047	ACOX1	1684.5706
ACOX2	17.5580	ACOX2	419.7742
ACOX3	419.3430	ACOX3	434.1430
removed	removed	ACOXL	326.0349
ACP1	2809.8617	ACP1	1238.7958
ACP2	995.2447	ACP2	1175.1625
ACP5	1052.6008	ACP5	4163.5306
ACP6	152.7544	ACP6	191.2419
ACPL2	880.2400	ACPL2	249.4013
ACPP	859.7557	ACPP	184.0575
ACRBP	14.9243	ACRBP	39.0010
ACRC	9.0716	ACRC	15.3951
removed	removed	ACR	16.7636
ACSBG1	20.7769	ACSBG1	13.6846
ACSF2	225.9126	ACSF2	939.1037
ACSF3	352.6227	ACSF3	450.9066
ACSL1	2891.2137	ACSL1	5210.0582
ACSL3	2571.9511	ACSL3	1719.4663
ACSL4	891.6526	ACSL4	4914.1293
ACSL5	115.2974	ACSL5	2775.9152
ACSL6	7.3158	ACSL6	8.8950
removed	removed	ACSM1	10.2634
ACSM3	98.5266	ACSM3	536.8081
removed	removed	ACSM5	44.1327
ACSS1	1571.1464	ACSS1	1603.4896
ACSS2	1518.1798	ACSS2	3890.5234
ACSS3	23.7033	ACSS3	586.0417
ACTA2	739.3723	ACTA2	7459.5039
ACTBL2	5.2674	removed	removed
ACTB	112194.3083	ACTB	119829.9692
ACTG1	90346.0385	ACTG1	61121.1085
ACTG2	165.6303	ACTG2	756.7568
ACTL6A	6979.0036	ACTL6A	474.5125
ACTL8	30.1412	removed	removed
ACTN1	1762.8210	ACTN1	3069.1071
removed	removed	ACTN2	69.7913
ACTN4	12371.6643	ACTN4	13429.9247
ACTR10	912.7222	ACTR10	1002.7369
ACTR1A	2470.7001	ACTR1A	3996.9210
ACTR1B	2056.3318	ACTR1B	1805.3370
ACTR2	7394.2498	ACTR2	4447.1433
ACTR3B	114.4195	ACTR3B	84.1601
ACTR3C	99.4952	ACTR3C	65.0017
ACTR3	9546.8579	ACTR3	2617.5163
ACTR5	225.0348	ACTR5	157.7147
ACTR6	963.6404	ACTR6	393.0893
ACTR8	411.4419	ACTR8	397.5368
ACVR1B	1568.2201	ACVR1B	1149.8460
ACVR1C	122.6132	ACVR1C	13.0003
ACVR1	1191.0162	ACVR1	883.6811
ACVR2A	606.3355	ACVR2A	347.9302
ACVR2B	101.8363	ACVR2B	199.4526
ACVRL1	206.5989	ACVRL1	5517.2768
ACY1	730.3299	ACY1	607.2049
ACY3	13.7537	ACY3	9.9213
ACYP1	90.4236	ACYP1	35.5799
ACYP2	201.0388	ACYP2	114.9504
ADAD2	36.4826	removed	removed
ADAL	256.6391	ADAL	88.9497
ADAM10	2479.7717	ADAM10	1438.9326
ADAM11	13.4611	removed	removed
ADAM12	143.3902	ADAM12	52.3435
ADAM15	3538.5500	ADAM15	3309.6134
ADAM17	1893.3353	ADAM17	650.7013
ADAM19	88.0825	ADAM19	404.3791
ADAM20	5.2674	removed	removed
removed	removed	ADAM22	9.2371
ADAM23	1093.2768	ADAM23	69.1071
ADAM28	162.9966	ADAM28	54.0541
ADAM32	93.0573	removed	removed
ADAM33	13.4611	ADAM33	69.7913
removed	removed	ADAM6	21867.3452
ADAM8	85.7415	ADAM8	293.5340
ADAM9	3959.0314	ADAM9	3323.9822
ADAMDEC1	262.7844	ADAMDEC1	19.5005
ADAMTS10	6.7306	ADAMTS10	136.1615
ADAMTS12	11.9980	ADAMTS12	64.3175
ADAMTS13	16.3874	ADAMTS13	31.8166
ADAMTS14	22.8254	ADAMTS14	9.9213
ADAMTS15	5.2674	ADAMTS15	70.1334
ADAMTS17	120.5648	ADAMTS17	51.6593
ADAMTS18	5.8527	removed	removed
ADAMTS1	511.8151	ADAMTS1	5807.3897
ADAMTS20	9.9495	removed	removed
removed	removed	ADAMTS2	298.3236
ADAMTS3	41.8465	ADAMTS3	42.4222
ADAMTS4	98.9099	ADAMTS4	1349.9829
ADAMTS5	14.3390	ADAMTS5	210.7424
removed	removed	ADAMTS6	15.7373
ADAMTS7	24.5812	ADAMTS7	180.6363
ADAMTS8	15.5095	ADAMTS8	1223.0585
ADAMTS9	61.7456	ADAMTS9	267.1912
ADAMTSL1	21.0696	ADAMTSL1	190.2155
ADAMTSL2	57.3561	ADAMTSL2	649.3329
ADAMTSL3	63.2087	ADAMTSL3	815.2583
ADAMTSL4	65.5498	ADAMTSL4	882.3127
ADAMTSL5	172.9461	ADAMTSL5	30.4482
ADAP1	65.1313	ADAP1	400.2121
ADAP2	161.2408	ADAP2	219.6374
ADARB1	43.8949	ADARB1	1285.3233
ADARB2	8.4864	ADARB2	12.6582
ADAR	4893.1158	ADAR	6810.4687
ADAT1	363.1575	ADAT1	177.2152
ADAT2	174.1166	ADAT2	75.6073
ADAT3	73.1582	ADAT3	25.3165
